呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			呪術士ギルドのヤヤケは冒険者に頼みごとがあるようだ。			声を聞きし者							
へぇえッェ、カザグ・チャーが言うだけのことはあるッゥ！Forename、見事だったぜッェ！「メンディカント269 ダ・ザ」の様子も、見てくれッェ！			へぇえッェ、カザグ・チャーが言うだけのことはあるッゥ！Forename、見事だったぜッェ！「メンディカント269 ダ・ザ」の様子も、見てくれッェ！			異郷なる友							
カザグ・チャー　言ってたよねー？「ヴォイドクラック」　みつけたー！さあ　閉じてみよー！			カザグ・チャー　言ってたよねー？「ヴォイドクラック」　みつけたー！さあ　閉じてみよー！			異郷なる友							
すごいすごーい！　さすがだね　Forenameはー？カザグ・チャーの　言ってたとーりー！カザグ・チャーに　終わったって　つたえてねー！			すごいすごーい！　さすがだね　Forenameはー？カザグ・チャーの　言ってたとーりー！カザグ・チャーに　終わったって　つたえてねー！			異郷なる友							
「ヴォイドクラック」より現れる妖異を討ち、その血を大地に刻み込むのだ。			「ヴォイドクラック」より現れる妖異を討ち、その血を大地に刻み込むのだ。			異郷なる友							
試練を乗り越えし其の時。「シャトトの魔石」は、新たな輝きに満ちようぞ。			試練を乗り越えし其の時。「シャトトの魔石」は、新たな輝きに満ちようぞ。			異郷なる友							
流石は黒魔道士Forename。見事な手並であった……。いざ、「バーガンディ滝」へ戻ろうぞ。			流石は黒魔道士Forename。見事な手並であった……。いざ、「バーガンディ滝」へ戻ろうぞ。			異郷なる友							
……黒魔道士Forename Surname。意気軒昂たる姿、やれ、戻ってきたか。			……黒魔道士Forename Surname。意気軒昂たる姿、やれ、戻ってきたか。			異郷なる友							
汝の持つ「シャトトの魔石」の輝き、光輝燦然。其の眩さ……古に途絶えし「力の導き手」たる証。今こそ、術士ククルカの言葉、真と認めん。			汝の持つ「シャトトの魔石」の輝き、光輝燦然。其の眩さ……古に途絶えし「力の導き手」たる証。今こそ、術士ククルカの言葉、真と認めん。			異郷なる友							
曽祖父は、一家眷族に告げた。「魔の道を知る4名の者、荒れ野にて出会いし時……　古の破壊の力もて邪なるものを封じ正しき道を切り開かん」			曽祖父は、一家眷族に告げた。「魔の道を知る4名の者、荒れ野にて出会いし時……　古の破壊の力もて邪なるものを封じ正しき道を切り開かん」			異郷なる友							
「古の破壊の力」は、汝に目覚めし「黒魔法」。「邪なるもの」は、異界「ヴォイド」より来たる「妖異」。			「古の破壊の力」は、汝に目覚めし「黒魔法」。「邪なるもの」は、異界「ヴォイド」より来たる「妖異」。			異郷なる友							
程なく「ヴォイドゲート」の封が解かれよう……。使命に従わんとする汝の覚悟、しかと見届けた。			程なく「ヴォイドゲート」の封が解かれよう……。使命に従わんとする汝の覚悟、しかと見届けた。			異郷なる友							
吾輩は、ここに誓わん。曽祖父より、一家眷族に伝えられし知を、汝に授けん。旧怨を捨て、力合わせて大望を成そうぞ。			吾輩は、ここに誓わん。曽祖父より、一家眷族に伝えられし知を、汝に授けん。旧怨を捨て、力合わせて大望を成そうぞ。			異郷なる友							
寓話などではなかったと……古の術に憑かれた虚け者と嘲られし、曽祖父の悲願を果たすがため……。			寓話などではなかったと……古の術に憑かれた虚け者と嘲られし、曽祖父の悲願を果たすがため……。			異郷なる友							
汝の力と「ヴォイドゲート」の結びつきや深し。封が解かれし其の時……汝の身に或いは、異変が起こるやもしれぬ。			汝の力と「ヴォイドゲート」の結びつきや深し。封が解かれし其の時……汝の身に或いは、異変が起こるやもしれぬ。			異郷なる友							
鍛錬を積み、目覚めし其の力を汝がものとし、ふたたびこの地を訪ねよ。吾輩より、次なる使命を授けることになろうぞ。			鍛錬を積み、目覚めし其の力を汝がものとし、ふたたびこの地を訪ねよ。吾輩より、次なる使命を授けることになろうぞ。			異郷なる友							
敵の気配を感じた！！			敵の気配を感じた！！			異郷なる友							
バーガンディ滝のカザグ・チャーは冒険者に伝えたいことがあるようだ。			バーガンディ滝のカザグ・チャーは冒険者に伝えたいことがあるようだ。			いざないの霧							
カザグ・チャーから依頼を受けた。南部森林のウルズの恵みにある「苔むした石塔」を調べよう。			カザグ・チャーから依頼を受けた。南部森林のウルズの恵みにある「苔むした石塔」を調べよう。			いざないの霧							
石塔を調べた。南部森林のウルズの恵みにいる「メンディカント269 ダ・ザ」と話そう。			石塔を調べた。南部森林のウルズの恵みにいる「メンディカント269 ダ・ザ」と話そう。			いざないの霧							
