オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			オールド・シャーレアンの小柄なグリーナーは、冒険者のことを探しているようだ。			ギルドシップのモブハント（初級）							
ふふ、そのときの彼の顔ったら……！「誰にも言わないでくれ！」って大慌てで懇願されて、口止め料代わりに、ラストスタンドに連れていってもらったわ。			ふふ、そのときの彼の顔ったら……！「誰にも言わないでくれ！」って大慌てで懇願されて、口止め料代わりに、ラストスタンドに連れていってもらったわ。			魔法人形は自立する							
……あっ、私が喋ったことは内緒にしてね！			……あっ、私が喋ったことは内緒にしてね！			魔法人形は自立する							
ああ、良かった……ミラちゃん見つけられたわ。……でも、なんだか元気がないみたい。			ああ、良かった……ミラちゃん見つけられたわ。……でも、なんだか元気がないみたい。			魔法人形は自立する							
……ミラちゃん？			……ミラちゃん？			魔法人形は自立する							
ア、アメリアンスさん！？どうしてここに！？それに、Forenameさんまで……。			ア、アメリアンスさん！？どうしてここに！？それに、Forenameさんまで……。			魔法人形は自立する							
ちょっとお散歩がてら様子をみにきたの。こんな時間まで本当におつかれさま。お腹空いたでしょう？			ちょっとお散歩がてら様子をみにきたの。こんな時間まで本当におつかれさま。お腹空いたでしょう？			魔法人形は自立する							
あのっ……ごめんなさい、心配かけちゃいましたよね。つい夢中になっちゃって……！			あのっ……ごめんなさい、心配かけちゃいましたよね。つい夢中になっちゃって……！			魔法人形は自立する							
この子を使って、治癒魔法の練習をしていたのね？			この子を使って、治癒魔法の練習をしていたのね？			魔法人形は自立する							
はい……でも、全然上手くいかなくて……。			はい……でも、全然上手くいかなくて……。			魔法人形は自立する							
この魔法人形は、治癒魔法に反応するように作られているの。患者の代わりに使う、練習用のダミー人形と言ったところね。治癒魔法に成功すれば、起き上がる仕組みよ。			この魔法人形は、治癒魔法に反応するように作られているの。患者の代わりに使う、練習用のダミー人形と言ったところね。治癒魔法に成功すれば、起き上がる仕組みよ。			魔法人形は自立する							
