七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			「パンデモニウム」への警告							
死者の復活が、理に反することだというのはわかるが、あなたは、アテナという人物そのものを拒絶しているように思える。敵の思惑を推測するためにも、どうか真相を語ってはくれないか？			死者の復活が、理に反することだというのはわかるが、あなたは、アテナという人物そのものを拒絶しているように思える。敵の思惑を推測するためにも、どうか真相を語ってはくれないか？			変容を遂げし獄卒長							
この真相は、私以外の者に棘を向ける。それは……私の本意ではない……。			この真相は、私以外の者に棘を向ける。それは……私の本意ではない……。			変容を遂げし獄卒長							
何と言う？			何と言う？			変容を遂げし獄卒長							
口を閉ざすのは、エリクトニオスのため？			口を閉ざすのは、エリクトニオスのため？			変容を遂げし獄卒長							
葛藤は、想いを伝える機会を奪うことになる			葛藤は、想いを伝える機会を奪うことになる			変容を遂げし獄卒長							
その考えが、あそこまでエリクトニオスを追い詰めた			その考えが、あそこまでエリクトニオスを追い詰めた			変容を遂げし獄卒長							
お前は……何を……。			お前は……何を……。			変容を遂げし獄卒長							
……いや、お前の言うとおりだな。だからこそエリクトニオスは、ヘファイストスの誘惑に……。			……いや、お前の言うとおりだな。だからこそエリクトニオスは、ヘファイストスの誘惑に……。			変容を遂げし獄卒長							
わかった、真相を話そう。だが、今は獄卒長を倒すことを優先すべきだ。			わかった、真相を話そう。だが、今は獄卒長を倒すことを優先すべきだ。			変容を遂げし獄卒長							
最後の獄卒長……その名を「アグディスティス」という。パンデモニウム設立時から、ここで働いており、獄卒長の中でも、もっとも強い魔力を有している。			最後の獄卒長……その名を「アグディスティス」という。パンデモニウム設立時から、ここで働いており、獄卒長の中でも、もっとも強い魔力を有している。			変容を遂げし獄卒長							
ヘファイストスも、アグディスティスを奪われれば、終わりだということは理解しているらしい。足場すらない断絶された空間に隠匿しているようだ。			ヘファイストスも、アグディスティスを奪われれば、終わりだということは理解しているらしい。足場すらない断絶された空間に隠匿しているようだ。			変容を遂げし獄卒長							
だが……お前の存在がすべての計算を狂わせたな。エーテルの希薄なお前ならば、直接、転移魔法でアグディスティスの下まで送り込めるはずだ。			だが……お前の存在がすべての計算を狂わせたな。エーテルの希薄なお前ならば、直接、転移魔法でアグディスティスの下まで送り込めるはずだ。			変容を遂げし獄卒長							
