幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			幻術士ギルドのエ・スミ・ヤンは冒険者に頼みがあるようだ。			偉人の後継者							
ラヤ・オ・センナから依頼を受けた。西ラノシアの海蛇の巣穴近くにある「達観の墓標」と、モードゥナのタングル湿林の近くにある「探究の墓標」と、北ザナラーンのラウバーン緩衝地の近くにある「流転の墓標」にエモート「祈る」をして「鎮めの装束」を入手しよう。			ラヤ・オ・センナから依頼を受けた。西ラノシアの海蛇の巣穴近くにある「達観の墓標」と、モードゥナのタングル湿林の近くにある「探究の墓標」と、北ザナラーンのラウバーン緩衝地の近くにある「流転の墓標」にエモート「祈る」をして「鎮めの装束」を入手しよう。			偉人の足跡							
「達観の墓標」と、「探究の墓標」と、「流転の墓標」に「祈る」をして「鎮めの装束」を入手した。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」と話そう。			「達観の墓標」と、「探究の墓標」と、「流転の墓標」に「祈る」をして「鎮めの装束」を入手した。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」と話そう。			偉人の足跡							
ラヤ・オ・センナと話した。北部森林のプラウドクリークの近くにある「旅立の墓標」を調べよう。			ラヤ・オ・センナと話した。北部森林のプラウドクリークの近くにある「旅立の墓標」を調べよう。			偉人の足跡							
旅立の墓標を調べた。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に「真新しい装束」を渡そう。			旅立の墓標を調べた。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に「真新しい装束」を渡そう。			偉人の足跡							
ラヤ・オ・センナに真新しい装束を渡した。外地ラノシアのコボルド軍試掘地近くにある「終局の墓標」にエモート「祈る」をして「鎮めの装束」を入手しよう。			ラヤ・オ・センナに真新しい装束を渡した。外地ラノシアのコボルド軍試掘地近くにある「終局の墓標」にエモート「祈る」をして「鎮めの装束」を入手しよう。			偉人の足跡							
終局の墓標に「祈る」をして「鎮めの装束」を入手した。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			終局の墓標に「祈る」をして「鎮めの装束」を入手した。南部森林のキャンプ・トランキルにいる「ラヤ・オ・センナ」に報告しよう。			偉人の足跡							
ラヤ・オ・センナに報告した。彼女は墓荒らしに強い怒りを燃やしていた。必ずア・トワ・カントの聖櫃を盗んだ犯人を見つけ、取り返すことを、彼女は固く誓った。ア・トワ・カントの後継者として、犯人を見つけることに協力できるよう、さらなる修業を積もう。			ラヤ・オ・センナに報告した。彼女は墓荒らしに強い怒りを燃やしていた。必ずア・トワ・カントの聖櫃を盗んだ犯人を見つけ、取り返すことを、彼女は固く誓った。ア・トワ・カントの後継者として、犯人を見つけることに協力できるよう、さらなる修業を積もう。			偉人の足跡							
海蛇の巣穴の達観の墓標に「祈る」をして鎮めの装束を入手			海蛇の巣穴の達観の墓標に「祈る」をして鎮めの装束を入手			偉人の足跡							
タングル湿林の探究の墓標に「祈る」をして鎮めの装束を入手			タングル湿林の探究の墓標に「祈る」をして鎮めの装束を入手			偉人の足跡							
ラウバーン緩衝地の流転の墓標に「祈る」をして鎮めの装束を入手			ラウバーン緩衝地の流転の墓標に「祈る」をして鎮めの装束を入手			偉人の足跡							
キャンプ・トランキルのラヤ・オ・センナと話す			キャンプ・トランキルのラヤ・オ・センナと話す			偉人の足跡							
プラウドクリークの旅立の墓標を調べる			プラウドクリークの旅立の墓標を調べる			偉人の足跡							
キャンプ・トランキルのラヤ・オ・センナに真新しい装束を渡す			キャンプ・トランキルのラヤ・オ・センナに真新しい装束を渡す			偉人の足跡							
コボルド軍試掘地の終局の墓標に「祈る」をして鎮めの装束を入手			コボルド軍試掘地の終局の墓標に「祈る」をして鎮めの装束を入手			偉人の足跡							
キャンプ・トランキルのラヤ・オ・センナに報告			キャンプ・トランキルのラヤ・オ・センナに報告			偉人の足跡							
Forename、そろそろ頃合いだわ。「鎮撫の儀」の準備を始めるためのね。			Forename、そろそろ頃合いだわ。「鎮撫の儀」の準備を始めるためのね。			偉人の足跡							
「長老の木」の大精霊と交感する時には、その強い力に負けないために、特別な装束が必要になる。あんたには、それを用意してほしいの。			「長老の木」の大精霊と交感する時には、その強い力に負けないために、特別な装束が必要になる。あんたには、それを用意してほしいの。			偉人の足跡							
