ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
(-ヒルディブランド？-)もちろんですとも。私は大胆不敵で紳士な事件屋、ヒルディブランドです。			(-ヒルディブランド？-)もちろんですとも。私は大胆不敵で紳士な事件屋、ヒルディブランドです。			のめり込んだ男							
(-ヒルディブランド……？-)お待ちなさい。私もヒルディブランドですぞ。			(-ヒルディブランド……？-)お待ちなさい。私もヒルディブランドですぞ。			のめり込んだ男							
(-ヒルディブランド！？-)これは奇遇ですな。私もヒルディブランドですが……。			(-ヒルディブランド！？-)これは奇遇ですな。私もヒルディブランドですが……。			のめり込んだ男							
(-ヒルディブランド？？-)同じくヒルディブランドです！			(-ヒルディブランド？？-)同じくヒルディブランドです！			のめり込んだ男							
(-ヒルディブランド……！？-)私もですぞ！			(-ヒルディブランド……！？-)私もですぞ！			のめり込んだ男							
(-ヒルディブランド？-)わ、私がこんなにもたくさん……？			(-ヒルディブランド？-)わ、私がこんなにもたくさん……？			のめり込んだ男							
(-ヒルディブランド？-)素晴らしい！みなで輪になって踊ろうじゃありませんか！			(-ヒルディブランド？-)素晴らしい！みなで輪になって踊ろうじゃありませんか！			のめり込んだ男							
な、何か悪い夢でも見ているのでしょうか……？			な、何か悪い夢でも見ているのでしょうか……？			のめり込んだ男							
ナシュ、冒険者殿、お騒がせしましたな。今度こそ正真正銘の私ですぞ！			ナシュ、冒険者殿、お騒がせしましたな。今度こそ正真正銘の私ですぞ！			のめり込んだ男							
そして、こちらが私の新たなる友人、「コヨコヨ」殿です。			そして、こちらが私の新たなる友人、「コヨコヨ」殿です。			のめり込んだ男							
新手の異星人だーーーッ！			新手の異星人だーーーッ！			のめり込んだ男							
ハッ、そうか……さっきのは、星を侵略するためのシミュレーション！？			ハッ、そうか……さっきのは、星を侵略するためのシミュレーション！？			のめり込んだ男							
どなたか存じませんが、友好的なコヨコヨ殿は、星の侵略などしませんぞ。			どなたか存じませんが、友好的なコヨコヨ殿は、星の侵略などしませんぞ。			のめり込んだ男							
