ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			ヴォロク連王宮のエレンヴィルは、冒険者たちを待っていたようだ。			継承の儀							
騎乗用のアルパカは、好奇心旺盛で人なつっこい。初めて乗るおたくらでも、問題なく扱えるだろう。			騎乗用のアルパカは、好奇心旺盛で人なつっこい。初めて乗るおたくらでも、問題なく扱えるだろう。			オルコ・パチャ							
やっぱ、乗るしかねぇんだな……。			やっぱ、乗るしかねぇんだな……。			オルコ・パチャ							
役に立ったかな、私の情報は？			役に立ったかな、私の情報は？			オルコ・パチャ							
えっ……ああ、助かったぜ。あまり嬉しい内容じゃなかったけどな……。			えっ……ああ、助かったぜ。あまり嬉しい内容じゃなかったけどな……。			オルコ・パチャ							
役に立ったなら……いただくよ、情報料！			役に立ったなら……いただくよ、情報料！			オルコ・パチャ							
えぇっ！？　カネ取んのか！！			えぇっ！？　カネ取んのか！！			オルコ・パチャ							
って、お前らは商売に長けた部族だもんな、そりゃそうか。ちょっと待ってろ、対価を払うからよ。			って、お前らは商売に長けた部族だもんな、そりゃそうか。ちょっと待ってろ、対価を払うからよ。			オルコ・パチャ							
ペルペル族は、商売を通じて人を幸せにすることを美徳とする。双方にとって良い取引をすることが、こいつらの誇りなんだ。			ペルペル族は、商売を通じて人を幸せにすることを美徳とする。双方にとって良い取引をすることが、こいつらの誇りなんだ。			オルコ・パチャ							
ほれっ！お前に幸せにしてもらった分の礼だ！			ほれっ！お前に幸せにしてもらった分の礼だ！			オルコ・パチャ							
やったー！王女様と直接取引できただなんて、仲間に自慢できるよ！			やったー！王女様と直接取引できただなんて、仲間に自慢できるよ！			オルコ・パチャ							
ではでは、私はこれで。道中気をつけてね、みんな。			ではでは、私はこれで。道中気をつけてね、みんな。			オルコ・パチャ							
おう、ありがとよ！			おう、ありがとよ！			オルコ・パチャ							
また唾を吐きかけられたりしねぇだろうな……。			また唾を吐きかけられたりしねぇだろうな……。			オルコ・パチャ							
それはお前が悪さをしたからだろ。こいつらは何もしなければ基本的には大人しい。			それはお前が悪さをしたからだろ。こいつらは何もしなければ基本的には大人しい。			オルコ・パチャ							
そんじゃ、気乗りはしねぇが……アルパカに乗ってオルコ・パチャを目指すとするか……。			そんじゃ、気乗りはしねぇが……アルパカに乗ってオルコ・パチャを目指すとするか……。			オルコ・パチャ							
連王宮では、ふたりの王子の支持者が目立ったけれど、ウクラマトさんが目指す平和を望む人も、たしかにいるんだわ。			連王宮では、ふたりの王子の支持者が目立ったけれど、ウクラマトさんが目指す平和を望む人も、たしかにいるんだわ。			オルコ・パチャ							
雲海ほどではないにせよ、空気が薄いようだ。標高が上がってきたことを実感するよ。			雲海ほどではないにせよ、空気が薄いようだ。標高が上がってきたことを実感するよ。			オルコ・パチャ							
ボロノックって人が向かった方にも、建物が見えたわね。あっちには何があるのかしら。			ボロノックって人が向かった方にも、建物が見えたわね。あっちには何があるのかしら。			オルコ・パチャ							
