木工師ギルドのベアティヌは、相談したいことがあるようだ。			木工師ギルドのベアティヌは、相談したいことがあるようだ。			新人木工師、チェミ・ジンジャル！							
アダマントライデントを製作バルトヴューにアダマントライデントを納品			アダマントライデントを製作バルトヴューにアダマントライデントを納品			父と子の宿命							
フィリパレと話す			フィリパレと話す			父と子の宿命							
聖フィネア連隊の露営地北でバルトヴューに合流			聖フィネア連隊の露営地北でバルトヴューに合流			父と子の宿命							
聖フィネア連隊の露営地北でバルトヴューと話す			聖フィネア連隊の露営地北でバルトヴューと話す			父と子の宿命							
ゴルガニュ牧場東でバルトヴューと話す			ゴルガニュ牧場東でバルトヴューと話す			父と子の宿命							
すまねえ、また駄目だった……。罠は見事に成功し、一時はヌーグルヴィルを捕えたんだ。もがき苦しむ奴の姿は、まさに見物だったぜ。			すまねえ、また駄目だった……。罠は見事に成功し、一時はヌーグルヴィルを捕えたんだ。もがき苦しむ奴の姿は、まさに見物だったぜ。			父と子の宿命							
だが、奴は力任せで壊せないと悟ると、炎のブレスを吹いて、自分の体ごと罠を燃やしたんだ。			だが、奴は力任せで壊せないと悟ると、炎のブレスを吹いて、自分の体ごと罠を燃やしたんだ。			父と子の宿命							
俺は咄嗟に弓で応戦したが、奴の硬い鱗に、矢はことごとくはね返された。後は息子を思って……逃げるだけで精一杯だったよ。			俺は咄嗟に弓で応戦したが、奴の硬い鱗に、矢はことごとくはね返された。後は息子を思って……逃げるだけで精一杯だったよ。			父と子の宿命							
それでも、俺は諦めてないぜ……。ヌーグルヴィルにだって、どこかに弱点があるはずだ。それを解き明かすために、あんたに力を貸してもらいたい。			それでも、俺は諦めてないぜ……。ヌーグルヴィルにだって、どこかに弱点があるはずだ。それを解き明かすために、あんたに力を貸してもらいたい。			父と子の宿命							
何か弱点に繋がる手がかりはないか、罠の残骸を調べてきてほしいんだよ……。鱗一枚にだって、何かの手がかりになるかもしれない。			何か弱点に繋がる手がかりはないか、罠の残骸を調べてきてほしいんだよ……。鱗一枚にだって、何かの手がかりになるかもしれない。			父と子の宿命							
回収した罠の残骸は、「聖フィネア連隊の露営地」にある。現地の騎兵に声をかけて、俺の名前を出せば、見せてくれるはずさ。			回収した罠の残骸は、「聖フィネア連隊の露営地」にある。現地の騎兵に声をかけて、俺の名前を出せば、見せてくれるはずさ。			父と子の宿命							
情報が集まったら、戻ってきてくれ。それから、次の作戦を立てようって寸法だ……頼んだぜ！			情報が集まったら、戻ってきてくれ。それから、次の作戦を立てようって寸法だ……頼んだぜ！			父と子の宿命							
回収した罠の残骸は、「聖フィネア連隊の露営地」にある。現地の騎兵に声をかけて、俺の名前を出せば、見せてくれるはずさ。			回収した罠の残骸は、「聖フィネア連隊の露営地」にある。現地の騎兵に声をかけて、俺の名前を出せば、見せてくれるはずさ。			父と子の宿命							
……あ～ん、バルトヴューだ？ああ、そういや、罠がどうのこうの言ってたな……。あれだったら……もう薪にしちまったよ。			……あ～ん、バルトヴューだ？ああ、そういや、罠がどうのこうの言ってたな……。あれだったら……もう薪にしちまったよ。			父と子の宿命							
