錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			錬金術師ギルドのセヴェリアンは、憤慨しているようだ。			奇怪な死体							
銀泪湖北岸で、ワーウードの新しいアジトが発見された。突入をかけるぞ！			銀泪湖北岸で、ワーウードの新しいアジトが発見された。突入をかけるぞ！			ココロココニアラズ							
来たな！ついにワーウードを追いつめたぞ！			来たな！ついにワーウードを追いつめたぞ！			ココロココニアラズ							
みんな、集まったね！ワーウードをとっ捕まえるよ！			みんな、集まったね！ワーウードをとっ捕まえるよ！			ココロココニアラズ							
アジトはこの奥だ。さあ、いくぞ……突入ッ！			アジトはこの奥だ。さあ、いくぞ……突入ッ！			ココロココニアラズ							
ワーウード、確保！やったね、これで事件は解決だ！			ワーウード、確保！やったね、これで事件は解決だ！			ココロココニアラズ							
フッ……ぬか喜びだ……俗人ども……。			フッ……ぬか喜びだ……俗人ども……。			ココロココニアラズ							
やはり、例の怪しい老人がワーウードだったか。抵抗らしい抵抗もなかったが、まだ何か企んでるのか……？いずれにせよ、尋問次第だな。			やはり、例の怪しい老人がワーウードだったか。抵抗らしい抵抗もなかったが、まだ何か企んでるのか……？いずれにせよ、尋問次第だな。			ココロココニアラズ							
さて、Forename。我々も、一旦戻るとしよう。			さて、Forename。我々も、一旦戻るとしよう。			ココロココニアラズ							
ワーウードの尋問が始まったぞ。だがあの野郎、自分はワーウードではないと言い張っている！治安を預かる者として、確たる反証を提出せねばならん。			ワーウードの尋問が始まったぞ。だがあの野郎、自分はワーウードではないと言い張っている！治安を預かる者として、確たる反証を提出せねばならん。			ココロココニアラズ							
もっとも、首謀者が高位の錬金術師だという証拠は数多い。その時点で、容疑者はかなり絞られる。たとえば高名なジャルザーン師、セヴェリアン……そして君だ！			もっとも、首謀者が高位の錬金術師だという証拠は数多い。その時点で、容疑者はかなり絞られる。たとえば高名なジャルザーン師、セヴェリアン……そして君だ！			ココロココニアラズ							
……心配するな、君らにはアリバイがある！要はあの老人が、君らに比肩する錬金術師だと証明すればいい。どうだ、セヴェリアンとともに、その方法を探ってくれないか？			……心配するな、君らにはアリバイがある！要はあの老人が、君らに比肩する錬金術師だと証明すればいい。どうだ、セヴェリアンとともに、その方法を探ってくれないか？			ココロココニアラズ							
確保した際、奴は、「インデックス・オブ・オーラムレギス」を所持していた。これが、証拠になればいいんだがな……。			確保した際、奴は、「インデックス・オブ・オーラムレギス」を所持していた。これが、証拠になればいいんだがな……。			ココロココニアラズ							
あの老人が、君らに比肩する錬金術師だと証明すればいい。どうだ、セヴェリアンとともに、その方法を探ってくれないか？			あの老人が、君らに比肩する錬金術師だと証明すればいい。どうだ、セヴェリアンとともに、その方法を探ってくれないか？			ココロココニアラズ							
確保した際、奴は、「インデックス・オブ・オーラムレギス」を所持していた。これが、証拠になればいいんだがな……。			確保した際、奴は、「インデックス・オブ・オーラムレギス」を所持していた。これが、証拠になればいいんだがな……。			ココロココニアラズ							
