情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
可憐なる乙女の涙に濡れた、悲しみの事件が……ヒルディブランドの心を、キャッチしましたぞ！			可憐なる乙女の涙に濡れた、悲しみの事件が……ヒルディブランドの心を、キャッチしましたぞ！			くりかえす恋の悲哀							
あ、アナタはだれっ？			あ、アナタはだれっ？			くりかえす恋の悲哀							
天知る地知る、事件知る、旅の事件屋……。ヒルディィィィィィィィィブランドゥッ！！			天知る地知る、事件知る、旅の事件屋……。ヒルディィィィィィィィィブランドゥッ！！			くりかえす恋の悲哀							
助手のナシュです～。			助手のナシュです～。			くりかえす恋の悲哀							
冒険者殿、私の先をこすとは、お見事ですぞ！そこまでして、この事件屋の協力をしたいと……。貴方の情熱、キャッチしましたぞ！			冒険者殿、私の先をこすとは、お見事ですぞ！そこまでして、この事件屋の協力をしたいと……。貴方の情熱、キャッチしましたぞ！			くりかえす恋の悲哀							
さあ、お嬢さん、事件解決は我々にお任せあれ！まずは、お嬢さんが受けた被害について、詳しく教えて頂けますかな？			さあ、お嬢さん、事件解決は我々にお任せあれ！まずは、お嬢さんが受けた被害について、詳しく教えて頂けますかな？			くりかえす恋の悲哀							
えっと～、最近、色々な私物が盗まれちゃってるの……。今回盗まれたのは、片手幻具の「ピュアハート」よ。花咲く乙女を演出する流行の杖……大事にしてたのに～！			えっと～、最近、色々な私物が盗まれちゃってるの……。今回盗まれたのは、片手幻具の「ピュアハート」よ。花咲く乙女を演出する流行の杖……大事にしてたのに～！			くりかえす恋の悲哀							
お散歩に出る前までは、確かに持っていたの……。でも、「サンシルク」と「コロセウム」にお出かけした後、ここに戻ってきた時には、もうなくなってて……うぇ～ん！			お散歩に出る前までは、確かに持っていたの……。でも、「サンシルク」と「コロセウム」にお出かけした後、ここに戻ってきた時には、もうなくなってて……うぇ～ん！			くりかえす恋の悲哀							
ふぅむ、盗難場所は不明……と。では、立ち寄った場所で犯人の痕跡を探しましょう。まずは……サンシルクに向かいますぞー！			ふぅむ、盗難場所は不明……と。では、立ち寄った場所で犯人の痕跡を探しましょう。まずは……サンシルクに向かいますぞー！			くりかえす恋の悲哀							
うぇ～ん、私の宝物はどこいったんだろ～？イエロー・ムーン、困っちゃむ～ん！			うぇ～ん、私の宝物はどこいったんだろ～？イエロー・ムーン、困っちゃむ～ん！			くりかえす恋の悲哀							
う～ん、とくに何もないなぁ～。			う～ん、とくに何もないなぁ～。			くりかえす恋の悲哀							
ふぅむ……特に怪しい痕跡はありませんな。お嬢さん、ここではどんなことが？			ふぅむ……特に怪しい痕跡はありませんな。お嬢さん、ここではどんなことが？			くりかえす恋の悲哀							
う～ん……。ここで服を見ていたら、知らない男の人に告白されてぇ～。イエロー・ムーン驚いちゃって、荷物を落としちゃったの～。			う～ん……。ここで服を見ていたら、知らない男の人に告白されてぇ～。イエロー・ムーン驚いちゃって、荷物を落としちゃったの～。			くりかえす恋の悲哀							
その荷物が、男の人のつま先に落ちちゃって、男の人は悲鳴をあげて、どこかにいっちゃったの～。その荷物、120ポンズくらいあったから……。			その荷物が、男の人のつま先に落ちちゃって、男の人は悲鳴をあげて、どこかにいっちゃったの～。その荷物、120ポンズくらいあったから……。			くりかえす恋の悲哀							
120ポンズって、ララフェル族の二人分はありますぞ……。お、お嬢さんは、力持ちなのですな……。			120ポンズって、ララフェル族の二人分はありますぞ……。お、お嬢さんは、力持ちなのですな……。			くりかえす恋の悲哀							
と、とりあえず、次の現場も確認しましょう。確か「コロセウム」の前でしたな！			と、とりあえず、次の現場も確認しましょう。確か「コロセウム」の前でしたな！			くりかえす恋の悲哀							
うぇ～ん、私の宝物はどこいったんだろ～？イエロー・ムーン、困っちゃむ～ん！			うぇ～ん、私の宝物はどこいったんだろ～？イエロー・ムーン、困っちゃむ～ん！			くりかえす恋の悲哀							
(-暑苦しい木箱-)…………。			(-暑苦しい木箱-)…………。			くりかえす恋の悲哀							
なんかさっき……動いたような……？			なんかさっき……動いたような……？			くりかえす恋の悲哀							
ふぅむ……ここにも妙な痕跡はなし……と。お嬢さん、ここではどんなことが？			ふぅむ……ここにも妙な痕跡はなし……と。お嬢さん、ここではどんなことが？			くりかえす恋の悲哀							
う～ん……。コロセウムの対戦カードを確認してたら、今度は、知らない剣闘士の人に告白されちゃってぇ……。			う～ん……。コロセウムの対戦カードを確認してたら、今度は、知らない剣闘士の人に告白されちゃってぇ……。			くりかえす恋の悲哀							
