甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			甲冑師ギルドのハ・ナンザは、冒険者に話したいことがあるようだ。			個性を求めて							
以前、故郷で見かけた個性的な「降神祭」の兜に魅了され、これを作った職人の技を学びたいと、思い立った次第。噂では、このクガネに兜の作者がいるとか……。			以前、故郷で見かけた個性的な「降神祭」の兜に魅了され、これを作った職人の技を学びたいと、思い立った次第。噂では、このクガネに兜の作者がいるとか……。			東方の甲冑職人							
ほう……降神祭の「変わり兜」に……。何を隠そう、あれらの兜を拵えたのは私ですが、なぜ、その製法を知りたいと考えたのですか？			ほう……降神祭の「変わり兜」に……。何を隠そう、あれらの兜を拵えたのは私ですが、なぜ、その製法を知りたいと考えたのですか？			東方の甲冑職人							
なんと、貴方であったか！？技術を磨けば磨くほど、己の個性のなさに気付いた我は、あの「変わり兜」に、不足している何かを見出したのだ！			なんと、貴方であったか！？技術を磨けば磨くほど、己の個性のなさに気付いた我は、あの「変わり兜」に、不足している何かを見出したのだ！			東方の甲冑職人							
なるほど、甲冑師としての個性を……。まあ良いでしょう、歓迎いたしますよ。			なるほど、甲冑師としての個性を……。まあ良いでしょう、歓迎いたしますよ。			東方の甲冑職人							
本当か！？ありがたい、よろしく頼む！			本当か！？ありがたい、よろしく頼む！			東方の甲冑職人							
一度に、ふたりを手ほどきするのは初めてですが、指導することで、私自身も新たな発見をするやもしれません。こちらこそ、どうぞよろしくお願いいたしますね。			一度に、ふたりを手ほどきするのは初めてですが、指導することで、私自身も新たな発見をするやもしれません。こちらこそ、どうぞよろしくお願いいたしますね。			東方の甲冑職人							
……それでは、さっそくですが、おふたりの腕を拝見させていただくとしましょうか。得意な、エオルゼア式の鎧を作ってみてくれますか？			……それでは、さっそくですが、おふたりの腕を拝見させていただくとしましょうか。得意な、エオルゼア式の鎧を作ってみてくれますか？			東方の甲冑職人							
製作にあたって必要な素材については、弟子のウンリュウに声をかければ、用立ててくれるでしょう。完成したら、持ってきて見せてくださいね。			製作にあたって必要な素材については、弟子のウンリュウに声をかければ、用立ててくれるでしょう。完成したら、持ってきて見せてくださいね。			東方の甲冑職人							
Forenameも、弟子入り志願者だと思われてしまったな……。だが、東方の甲冑作りが学べる好機だ！さあ我とともに修行しようではないか！			Forenameも、弟子入り志願者だと思われてしまったな……。だが、東方の甲冑作りが学べる好機だ！さあ我とともに修行しようではないか！			東方の甲冑職人							
得意な、エオルゼア式の鎧を作ってみてくれますか？製作にあたって必要な素材については、弟子のウンリュウに声をかければ、用立ててくれるでしょう。			得意な、エオルゼア式の鎧を作ってみてくれますか？製作にあたって必要な素材については、弟子のウンリュウに声をかければ、用立ててくれるでしょう。			東方の甲冑職人							
Forenameも、弟子入り志願者だと思われてしまったな……。だが、東方の甲冑作りが学べる好機だ！さあ我とともに修行しようではないか！			Forenameも、弟子入り志願者だと思われてしまったな……。だが、東方の甲冑作りが学べる好機だ！さあ我とともに修行しようではないか！			東方の甲冑職人							
