クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
冒険者殿、お越しくださって感謝いたす。アケボノ一味の組織的な悪事について、先ほど、赤誠組による捜査も終わったところでござる。			冒険者殿、お越しくださって感謝いたす。アケボノ一味の組織的な悪事について、先ほど、赤誠組による捜査も終わったところでござる。			薬に侵されし最強の男							
詳しく調べたところ、勘定奉行のクモデは洗脳される以前より、アケボノと癒着していたことが判明し、お縄となったでござる。			詳しく調べたところ、勘定奉行のクモデは洗脳される以前より、アケボノと癒着していたことが判明し、お縄となったでござる。			薬に侵されし最強の男							
また、アケボノが商っていたラザハン製の良薬に関しては、実直な商人を介して、適切な価格で販売することが、ラザハン大使館と商人司との間で、まとまったでござる。			また、アケボノが商っていたラザハン製の良薬に関しては、実直な商人を介して、適切な価格で販売することが、ラザハン大使館と商人司との間で、まとまったでござる。			薬に侵されし最強の男							
これでもう、足元を見られて、借金をしたり、法外な利息で苦しむ人は生まれずに済むでござるよ。			これでもう、足元を見られて、借金をしたり、法外な利息で苦しむ人は生まれずに済むでござるよ。			薬に侵されし最強の男							
現在アケボノに借金を抱えている方々についても、法外な額や利息分についての分は、返済不要とする御沙汰が下ったでござる。			現在アケボノに借金を抱えている方々についても、法外な額や利息分についての分は、返済不要とする御沙汰が下ったでござる。			薬に侵されし最強の男							
今回の一件は、いろいろと勉強になったでござる。表面のみを見て、善と悪の二つに綺麗に分けられるほど、この世は単純ではないのでござるな……。			今回の一件は、いろいろと勉強になったでござる。表面のみを見て、善と悪の二つに綺麗に分けられるほど、この世は単純ではないのでござるな……。			薬に侵されし最強の男							
冒険者殿や事件屋殿がいてくださったおかげで、事件を深く追うことができ、隠れていた巨悪を暴けたでござる。改めて、感謝いたします。			冒険者殿や事件屋殿がいてくださったおかげで、事件を深く追うことができ、隠れていた巨悪を暴けたでござる。改めて、感謝いたします。			薬に侵されし最強の男							
そういえば、神隠しに遭ってしまった事件屋殿たちは、大丈夫なのでしょうか……？			そういえば、神隠しに遭ってしまった事件屋殿たちは、大丈夫なのでしょうか……？			薬に侵されし最強の男							
……いえ、拙者が心配するまでもないでしょうな。きっとあの方々なら、どんな危機も切り抜ける……なぜかそう信じることができるのでござる！			……いえ、拙者が心配するまでもないでしょうな。きっとあの方々なら、どんな危機も切り抜ける……なぜかそう信じることができるのでござる！			薬に侵されし最強の男							
もしも、事件屋殿たちに再び会うことがありましたら、その際は、よろしくお伝えください。			もしも、事件屋殿たちに再び会うことがありましたら、その際は、よろしくお伝えください。			薬に侵されし最強の男							
