八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
ウルダハ、は獣人排斥令が出てる、と聞いて、ます。私たち、はここにいて、いいのだろう、か？			ウルダハ、は獣人排斥令が出てる、と聞いて、ます。私たち、はここにいて、いいのだろう、か？			マスク・ザ・ブルー誕生							
私としたことが、肝心なあなたの返事を聞いてなかったわ。認識のズレを放っておくと、後に大きなリスクとなるから、こういうことは、キチンとしておかないとね。			私としたことが、肝心なあなたの返事を聞いてなかったわ。認識のズレを放っておくと、後に大きなリスクとなるから、こういうことは、キチンとしておかないとね。			マスク・ザ・ブルー誕生							
どう？あなたは、これから青魔道士の修行に打ち込んで、マスクカーニバルの闘士を目指す気はある……？			どう？あなたは、これから青魔道士の修行に打ち込んで、マスクカーニバルの闘士を目指す気はある……？			マスク・ザ・ブルー誕生							
マスクカーニバルの闘士を目指す？			マスクカーニバルの闘士を目指す？			マスク・ザ・ブルー誕生							
よかった、安心したわ。あなたには、大きな可能性を感じていたからね……。			よかった、安心したわ。あなたには、大きな可能性を感じていたからね……。			マスク・ザ・ブルー誕生							
残念ね……あなたには、大きな可能性を感じたのに……。どうかもう一度、考え直してもらえないかしら……？			残念ね……あなたには、大きな可能性を感じたのに……。どうかもう一度、考え直してもらえないかしら……？			マスク・ザ・ブルー誕生							
ところで、あなたの師となるマーティンだけど、用意した衣装に着替えてもらってるわ。あら、来たみたいよ……。			ところで、あなたの師となるマーティンだけど、用意した衣装に着替えてもらってるわ。あら、来たみたいよ……。			マスク・ザ・ブルー誕生							
これは……いったい……何でしょう？			これは……いったい……何でしょう？			マスク・ザ・ブルー誕生							
いいじゃない！まさに謎の青魔法使いの貴公子！名付けて……「マスク・ザ・ブルー」！			いいじゃない！まさに謎の青魔法使いの貴公子！名付けて……「マスク・ザ・ブルー」！			マスク・ザ・ブルー誕生							
は、はあ……。まるで、仮面舞踏会のようですが……。			は、はあ……。まるで、仮面舞踏会のようですが……。			マスク・ザ・ブルー誕生							
闘技場を盛り上げるためには、ちょっとした演出も必要なのよ。急遽、青色に染色したんだけど、しっくりきたわね。			闘技場を盛り上げるためには、ちょっとした演出も必要なのよ。急遽、青色に染色したんだけど、しっくりきたわね。			マスク・ザ・ブルー誕生							
とにかく、マーティンにはこれから、謎の貴公子キャラとして戦ってもらうわ。			とにかく、マーティンにはこれから、謎の貴公子キャラとして戦ってもらうわ。			マスク・ザ・ブルー誕生							
そういえばあなた、お名前は……？			そういえばあなた、お名前は……？			マスク・ザ・ブルー誕生							
Forenameね。あなたはこれからマスクカーニバルで、青魔道士として戦えるようになるまで、修行に励んでちょうだい。			Forenameね。あなたはこれからマスクカーニバルで、青魔道士として戦えるようになるまで、修行に励んでちょうだい。			マスク・ザ・ブルー誕生							
それから、助手のふたりだけど……このままウルダハに滞在してもらって、問題ないわよ。			それから、助手のふたりだけど……このままウルダハに滞在してもらって、問題ないわよ。			マスク・ザ・ブルー誕生							
獣人排斥令の条文を、隅々まで調べたんだけど、マムージャ族については、いっさい言及がなかったの。もともと、ゴブリン族商人の排斥が主目的の法律だったしね。			獣人排斥令の条文を、隅々まで調べたんだけど、マムージャ族については、いっさい言及がなかったの。もともと、ゴブリン族商人の排斥が主目的の法律だったしね。			マスク・ザ・ブルー誕生							
