聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に知らせたいことがあるようだ。			東風吹き込む占星院							
ジャンヌキナル、Forenameこれが、わしの最後の教えだ……！運命に抗う戦いの中で、占星術の真髄を掴み取れ！！			ジャンヌキナル、Forenameこれが、わしの最後の教えだ……！運命に抗う戦いの中で、占星術の真髄を掴み取れ！！			運命を切り拓く占星術師							
心得ました、レヴェヴァ師。Forenameさん、カンプラン……私たちも、力のかぎりを尽くし、運命を切り開きましょう！			心得ました、レヴェヴァ師。Forenameさん、カンプラン……私たちも、力のかぎりを尽くし、運命を切り開きましょう！			運命を切り拓く占星術師							
シャーレアンが編み出した叡智を、エオルゼアの野蛮人に伝えるなど、見過ごせん！			シャーレアンが編み出した叡智を、エオルゼアの野蛮人に伝えるなど、見過ごせん！			運命を切り拓く占星術師							
我らの力で、運命を切り開いてみせる！			我らの力で、運命を切り開いてみせる！			運命を切り拓く占星術師							
さすがは野蛮人……見事な蛮勇ぶりですね……。			さすがは野蛮人……見事な蛮勇ぶりですね……。			運命を切り拓く占星術師							
狂喜なさい……！これより、占星魔法の秘義を披露しましょう。			狂喜なさい……！これより、占星魔法の秘義を披露しましょう。			運命を切り拓く占星術師							
みなの者、心せよ……！あやつめ……なにか仕掛けてくるぞ……！			みなの者、心せよ……！あやつめ……なにか仕掛けてくるぞ……！			運命を切り拓く占星術師							
あの強大な力を帯びたアルカナは……！？属性作用を増幅する魔器か……！			あの強大な力を帯びたアルカナは……！？属性作用を増幅する魔器か……！			運命を切り拓く占星術師							
皆の者……アルカナを破壊せよ、術の威力を抑制できよう。			皆の者……アルカナを破壊せよ、術の威力を抑制できよう。			運命を切り拓く占星術師							
天球の運命を、この手に委ねよ……！我は汝……汝は我なれば……星天停止！！			天球の運命を、この手に委ねよ……！我は汝……汝は我なれば……星天停止！！			運命を切り拓く占星術師							
これぞ定められた運命の力……！止まった時の中で、死の運命を受け入れるがいい！			これぞ定められた運命の力……！止まった時の中で、死の運命を受け入れるがいい！			運命を切り拓く占星術師							
まだ運命に抗うのですか……罪の重さを思い知るといいでしょう。			まだ運命に抗うのですか……罪の重さを思い知るといいでしょう。			運命を切り拓く占星術師							
わしらは「占星術師」だ……運命を切り開く！			わしらは「占星術師」だ……運命を切り開く！			運命を切り拓く占星術師							
ばかな……この私が敗れるなど……ありえぬはず。			ばかな……この私が敗れるなど……ありえぬはず。			運命を切り拓く占星術師							
貴様の予測など、願望に過ぎん。遠く離れたシャーレアンから、眺めているだけでは、エオルゼアの真の姿なぞ、理解できるわけがないのだ。			貴様の予測など、願望に過ぎん。遠く離れたシャーレアンから、眺めているだけでは、エオルゼアの真の姿なぞ、理解できるわけがないのだ。			運命を切り拓く占星術師							
