解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
ほう、古の魔法や戦技を継承するクリスタルか……確かにそのようなものがあると、聞いたことがある。			ほう、古の魔法や戦技を継承するクリスタルか……確かにそのようなものがあると、聞いたことがある。			ウェポン襲来							
蒼の竜騎士が魔導城で遭遇した試作魔導兵器か……。確かに奴は「戦闘データをロード」していたと、証言していたな……。			蒼の竜騎士が魔導城で遭遇した試作魔導兵器か……。確かに奴は「戦闘データをロード」していたと、証言していたな……。			ウェポン襲来							
正直、詳しい理論については、さらに調査してみないことにはサッパリだ。だが、類似の事例がある以上、可能性は高いと見ていい。			正直、詳しい理論については、さらに調査してみないことにはサッパリだ。だが、類似の事例がある以上、可能性は高いと見ていい。			ウェポン襲来							
軍団長級の戦闘経験と、蛮神から吸収した特殊能力か……。確かに合理的ではあるが、人と機械を融合させるなど、人の道から外れている……！			軍団長級の戦闘経験と、蛮神から吸収した特殊能力か……。確かに合理的ではあるが、人と機械を融合させるなど、人の道から外れている……！			ウェポン襲来							
しかし、技術的に可能だとしても、まだ疑問は残ります。第七霊災直前に死んだはずのネールのデータを、彼らは、どうやって入手したのでしょう？			しかし、技術的に可能だとしても、まだ疑問は残ります。第七霊災直前に死んだはずのネールのデータを、彼らは、どうやって入手したのでしょう？			ウェポン襲来							
その点に関しては、思い当たる節がある。オレの方で引き続き調べさせてみるさ。			その点に関しては、思い当たる節がある。オレの方で引き続き調べさせてみるさ。			ウェポン襲来							
では、セウェラを補佐につけよう。彼女は従軍経験も豊富で、最新の魔導兵器についても詳しい。お前のサポートもこなせるはずだ。			では、セウェラを補佐につけよう。彼女は従軍経験も豊富で、最新の魔導兵器についても詳しい。お前のサポートもこなせるはずだ。			ウェポン襲来							
我はヴァルドランとともに、ルビーウェポンの侵攻ルートを辿って、「ウェポン」の開発拠点を探る。			我はヴァルドランとともに、ルビーウェポンの侵攻ルートを辿って、「ウェポン」の開発拠点を探る。			ウェポン襲来							
アルフォンスらを探し出して、あやつらの目的を聞き出さなければなるまい。			アルフォンスらを探し出して、あやつらの目的を聞き出さなければなるまい。			ウェポン襲来							
貴殿には、「解放軍の将校」に戦況を報告しておいてもらいたい。何かわかったら、同盟軍の者らに使いを頼もう。			貴殿には、「解放軍の将校」に戦況を報告しておいてもらいたい。何かわかったら、同盟軍の者らに使いを頼もう。			ウェポン襲来							
孤児たちとの再会をキッカケに、帝国軍に戻ろうなどという思いが芽生えてはいないだろうな？			孤児たちとの再会をキッカケに、帝国軍に戻ろうなどという思いが芽生えてはいないだろうな？			ウェポン襲来							
あの約定を忘れたとは言わせない。もし、違えることがあれば……			あの約定を忘れたとは言わせない。もし、違えることがあれば……			ウェポン襲来							
お前は、私が殺す……ガイウス・バエサル。			お前は、私が殺す……ガイウス・バエサル。			ウェポン襲来							
ルビーウェポンの操縦者はどうなったのだ？遠目には、コクピットに、激しい破損はないようだが……。			ルビーウェポンの操縦者はどうなったのだ？遠目には、コクピットに、激しい破損はないようだが……。			ウェポン襲来							
ルビーウェポンの破壊に成功し、エオルゼア侵攻を食い止めたとのこと、伝令より聞き及んでいます！さすがのご活躍ですね！			ルビーウェポンの破壊に成功し、エオルゼア侵攻を食い止めたとのこと、伝令より聞き及んでいます！さすがのご活躍ですね！			ウェポン襲来							
それでは、詳細な戦況をお聞かせ願えますか？			それでは、詳細な戦況をお聞かせ願えますか？			ウェポン襲来							
