ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			ラストスタンドのグ・ラハ・ティアは、冒険者の返事が気になるようだ。			明日への一歩							
アタシはトライヨラの獰猛な獣を相手に鍛錬を積んできたんだ。生半可な獲物じゃ、互いのことを知る前に終わっちまうぞ？			アタシはトライヨラの獰猛な獣を相手に鍛錬を積んできたんだ。生半可な獲物じゃ、互いのことを知る前に終わっちまうぞ？			その瞳が見据えるもの							
狩りを通じて、背中を預けられる協力者を……。			狩りを通じて、背中を預けられる協力者を……。			その瞳が見据えるもの							
ごめんなさい……私、ちょっと準備してくる！すぐに追いかけるから、みんなは先にハーム島へ向かってて！			ごめんなさい……私、ちょっと準備してくる！すぐに追いかけるから、みんなは先にハーム島へ向かってて！			その瞳が見据えるもの							
そういうことなら遠慮なく……俺たちは「知神の港」に行くとしよう。ギルドシップの依頼だと話せば、船を調達できるはずだ。			そういうことなら遠慮なく……俺たちは「知神の港」に行くとしよう。ギルドシップの依頼だと話せば、船を調達できるはずだ。			その瞳が見据えるもの							
さっきのクルル、ちょっと様子が変だったよな。大がかりな狩りってわけでもないし、何の準備だ？			さっきのクルル、ちょっと様子が変だったよな。大がかりな狩りってわけでもないし、何の準備だ？			その瞳が見据えるもの							
船を貸してくれたのは、妙に陽気な船頭だ。操船なら俺にもできるから、同行は不要だと言っておいたぞ。			船を貸してくれたのは、妙に陽気な船頭だ。操船なら俺にもできるから、同行は不要だと言っておいたぞ。			その瞳が見据えるもの							
トラル大陸からずっと波に揺られて、ようやくシャーレアンに着いたっていうのによ。まーた船に乗らなきゃならないのか……。			トラル大陸からずっと波に揺られて、ようやくシャーレアンに着いたっていうのによ。まーた船に乗らなきゃならないのか……。			その瞳が見据えるもの							
けど、向かう先に獲物がいるんなら構わねぇ！早く行こうぜ！			けど、向かう先に獲物がいるんなら構わねぇ！早く行こうぜ！			その瞳が見据えるもの							
さあ、お前の準備はいいか！？			さあ、お前の準備はいいか！？			その瞳が見据えるもの							
これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			これより物語が大きく進展するため、クエストバトルに続けて、カットシーンが連続して再生されます。十分にプレイ時間を確保して進めることを、お勧めいたします。			その瞳が見据えるもの							
なお、このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			なお、このクエストバトルでは進行度が保存され、ある程度まで進めてから敗北した場合、途中から再挑戦することができます。			その瞳が見据えるもの							
ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			ほかのクエストバトルに挑戦したり、ログアウトすると、保存された進行度は破棄されますので、ご注意ください。			その瞳が見据えるもの							
本クエストを進行するためには、現在のクラス・ジョブが、レベル90以上の、ファイター、もしくはソーサラーである必要があります。			本クエストを進行するためには、現在のクラス・ジョブが、レベル90以上の、ファイター、もしくはソーサラーである必要があります。			その瞳が見据えるもの							
手紙の送り主がはっきりして良かったわ。あとは、おじいちゃんがどうしてこれを保管していたのか、それがわかればいいのだけれど……。			手紙の送り主がはっきりして良かったわ。あとは、おじいちゃんがどうしてこれを保管していたのか、それがわかればいいのだけれど……。			その瞳が見据えるもの							
