忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			忘れられた騎士亭のアルドランは、冒険者に任せたい手配書があるようだ。			イシュガルドのリスキーモブ							
少々、手を貸してはいただけませんか？このところ、店の売り上げを入れた袋の盗難事件が、多発しておりましてね……。			少々、手を貸してはいただけませんか？このところ、店の売り上げを入れた袋の盗難事件が、多発しておりましてね……。			女商人の罠							
そこで、犯人をおびき寄せるために、偽物の硬貨を詰めた袋を、3ヶ所に置いておきましたの。罠にかかっているかどうか、確認してきてはいただけませんか？			そこで、犯人をおびき寄せるために、偽物の硬貨を詰めた袋を、3ヶ所に置いておきましたの。罠にかかっているかどうか、確認してきてはいただけませんか？			女商人の罠							
そこで、犯人をおびき寄せるために、偽物の硬貨を詰めた袋を、3ヶ所に置いておきましたの。罠にかかっているかどうか、確認してきてはいただけませんか？			そこで、犯人をおびき寄せるために、偽物の硬貨を詰めた袋を、3ヶ所に置いておきましたの。罠にかかっているかどうか、確認してきてはいただけませんか？			女商人の罠							
硬貨袋が……消えている……！			硬貨袋が……消えている……！			女商人の罠							
硬貨袋が置いてある……。			硬貨袋が置いてある……。			女商人の罠							
硬貨袋が置いてある……。			硬貨袋が置いてある……。			女商人の罠							
ふふふ、犯人がかかったようですわね。実は、あの硬貨袋には、穴があけてありますの。			ふふふ、犯人がかかったようですわね。実は、あの硬貨袋には、穴があけてありますの。			女商人の罠							
「こぼれ落ちた偽硬貨」を辿れば、犯人の居所がわかるという寸法ですわ。どうか、探してきてくださいませ。			「こぼれ落ちた偽硬貨」を辿れば、犯人の居所がわかるという寸法ですわ。どうか、探してきてくださいませ。			女商人の罠							
「こぼれ落ちた偽硬貨」を辿れば、犯人の居所がわかるという寸法ですわ。どうか、探してきてくださいませ。			「こぼれ落ちた偽硬貨」を辿れば、犯人の居所がわかるという寸法ですわ。どうか、探してきてくださいませ。			女商人の罠							
偽物の硬貨が落ちている……。			偽物の硬貨が落ちている……。			女商人の罠							
な、何だよ！？私がこんなとこにいたらいけないってのか！くそっ、放っといてくれよ！			な、何だよ！？私がこんなとこにいたらいけないってのか！くそっ、放っといてくれよ！			女商人の罠							
「こぼれ落ちた偽硬貨」を辿れば、犯人の居所がわかるという寸法ですわ。どうか、探してきてくださいませ。			「こぼれ落ちた偽硬貨」を辿れば、犯人の居所がわかるという寸法ですわ。どうか、探してきてくださいませ。			女商人の罠							
これは……そうでしたか、犯人は女の子……。おそらく雲霧街に住む、有名な盗人少女が犯人だったのでしょう。			これは……そうでしたか、犯人は女の子……。おそらく雲霧街に住む、有名な盗人少女が犯人だったのでしょう。			女商人の罠							
