ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			ココブシの目撃情報が入ったため、さっそく情報を集めに行きたいようだ。			臆病者の牙							
ココビゴと話す			ココビゴと話す			深淵に臨む呪術士							
いかがでしょう、Forenameさま。呪術士ギルドに入門する宿命にあると、ご自分で感じられませんか？			いかがでしょう、Forenameさま。呪術士ギルドに入門する宿命にあると、ご自分で感じられませんか？			深淵に臨む呪術士							
賢明な判断でございます。……それではまず、呪術の基本を記した108冊の本をお読みください。			賢明な判断でございます。……それではまず、呪術の基本を記した108冊の本をお読みください。			深淵に臨む呪術士							
……と申しますと、ほとんどの方はドン引きしますので、重要なことはギルドマスターにお聞きください。			……と申しますと、ほとんどの方はドン引きしますので、重要なことはギルドマスターにお聞きください。			深淵に臨む呪術士							
当ギルドのマスターは五兄弟の皆様。兄弟を束ねるのは長男の、ココ……ココベ……ココビゴ？様であられます、多分……。			当ギルドのマスターは五兄弟の皆様。兄弟を束ねるのは長男の、ココ……ココベ……ココビゴ？様であられます、多分……。			深淵に臨む呪術士							
……覚醒の刻は今ではない……と。しかし、いずれ自明となることです。貴方の運命が、呪術士ギルドの入門に向かっていると。			……覚醒の刻は今ではない……と。しかし、いずれ自明となることです。貴方の運命が、呪術士ギルドの入門に向かっていると。			深淵に臨む呪術士							
ひゃっ！い、いきなり話しかけないでくださいよ。怖いじゃないですか……！			ひゃっ！い、いきなり話しかけないでくださいよ。怖いじゃないですか……！			深淵に臨む呪術士							
ココビゴ兄貴よぉ！こいつ、呪術士ギルドへの入門希望者じゃねぇか！？			ココビゴ兄貴よぉ！こいつ、呪術士ギルドへの入門希望者じゃねぇか！？			深淵に臨む呪術士							
ヤヤケ導師……可憐な女人なれど、我々の名を覚えぬ方よ……。			ヤヤケ導師……可憐な女人なれど、我々の名を覚えぬ方よ……。			深淵に臨む呪術士							
アハハハハハ！入門希望だったら、ココビゴ兄ちゃんじゃなくて、ココブキ兄ちゃんに言わないとだめだよ！			アハハハハハ！入門希望だったら、ココビゴ兄ちゃんじゃなくて、ココブキ兄ちゃんに言わないとだめだよ！			深淵に臨む呪術士							
おやおや……ザル神に導かれし我らが朋が、一人やってきたようですねぇ……。			おやおや……ザル神に導かれし我らが朋が、一人やってきたようですねぇ……。			深淵に臨む呪術士							
あ、兄ちゃん！！			あ、兄ちゃん！！			深淵に臨む呪術士							
私がギルドマスター五兄弟の長男、ココブキです。「呪術」についての説明なら、私から致しましょう。			私がギルドマスター五兄弟の長男、ココブキです。「呪術」についての説明なら、私から致しましょう。			深淵に臨む呪術士							
呪術の力は、最強の火力を以て敵を屠る力です……。その一撃の威力は、他の魔法体系を遥かに凌駕します。			呪術の力は、最強の火力を以て敵を屠る力です……。その一撃の威力は、他の魔法体系を遥かに凌駕します。			深淵に臨む呪術士							
ファイア、サンダー、ブリザド、スリプル……。呪術士は状況に応じて、数々の魔法を使い分け、敵を殲滅することができるのです……。			ファイア、サンダー、ブリザド、スリプル……。呪術士は状況に応じて、数々の魔法を使い分け、敵を殲滅することができるのです……。			深淵に臨む呪術士							
ここ「呪術士ギルド」で我々の教えを受ければ、貴方は「敵を屠る最強の破壊力」を得ることができるのです。			ここ「呪術士ギルド」で我々の教えを受ければ、貴方は「敵を屠る最強の破壊力」を得ることができるのです。			深淵に臨む呪術士							
クックック……しかしそのためにはねぇ、多くの恐ろしい試練を受け、呪術の深淵を学んでもらわねばなりません。			クックック……しかしそのためにはねぇ、多くの恐ろしい試練を受け、呪術の深淵を学んでもらわねばなりません。			深淵に臨む呪術士							
さぁ問いましょう、新たなる呪術士よ。汝、最強の破壊力を得るため、呪術の深淵を知る覺悟がありしや？			さぁ問いましょう、新たなる呪術士よ。汝、最強の破壊力を得るため、呪術の深淵を知る覺悟がありしや？			深淵に臨む呪術士							
呪術の深淵を知る覺悟がある？			呪術の深淵を知る覺悟がある？			深淵に臨む呪術士							
はい			はい			深淵に臨む呪術士							
いいえ			いいえ			深淵に臨む呪術士							
クックック……良い返事です……。それでは朋よ、貴方にふたつの祝福を授けましょう。			クックック……良い返事です……。それでは朋よ、貴方にふたつの祝福を授けましょう。			深淵に臨む呪術士							
まずひとつ目……貴方の討伐手帳に、呪術の修行に適した敵を記した項を加えておきましょう。			まずひとつ目……貴方の討伐手帳に、呪術の修行に適した敵を記した項を加えておきましょう。			深淵に臨む呪術士							
そしてふたつ目、呪術士としての道を歩まんとする朋に、この呪具「ウェザードセプター」を授けましょう……。			そしてふたつ目、呪術士としての道を歩まんとする朋に、この呪具「ウェザードセプター」を授けましょう……。			深淵に臨む呪術士							
しかし、まだ呪術士ギルドに入る試練は終わっていません。ウェザードセプターを装備し、「呪術士」となったら、私が試練を言い渡しましょう……。			しかし、まだ呪術士ギルドに入る試練は終わっていません。ウェザードセプターを装備し、「呪術士」となったら、私が試練を言い渡しましょう……。			深淵に臨む呪術士							
おや……怖気づきましたか？焦ることはありません、決意が確かなものとなった時、またここに来ると良いでしょう……クックック……。			おや……怖気づきましたか？焦ることはありません、決意が確かなものとなった時、またここに来ると良いでしょう……クックック……。			深淵に臨む呪術士							
新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			深淵に臨む呪術士							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			深淵に臨む呪術士							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			深淵に臨む呪術士							
