格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			格闘士ギルド受付のガガルナは、冒険者に依頼があるようだ。			亡国からの雷動							
「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			「古の武器」と原型の武器、ふたつの武器と使い手の魂を最後の焼き入れによって、完全に融合させる！往年の姿を復元するンだ！			蘇る古の武器（スファライ）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（スファライ）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（スファライ）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（スファライ）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（スファライ）							
そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			そのためには、地獄の業火の如き炎と、炎を維持するための烈風、炉を作るための黄土、そして、冷却するための油が必要だ。			蘇る古の武器（スファライ）							
焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			焔神「イフリートの炎」と嵐神「ガルーダの風」、岩神「タイタンの黄土」……さらに「ラザハン焼入油」を手に入れてくるンだ！			蘇る古の武器（スファライ）							
「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			「イフリートの炎」は「真イフリート討滅戦」にて、「ガルーダの風」は「真ガルーダ討滅戦」にて、「タイタンの黄土」は「真タイタン討滅戦」にて入手可能です。			蘇る古の武器（スファライ）							
なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			なお、「ラザハン焼入油」は、レヴナンツトールにいるオーリアナに「アラガントームストーン:詩学」を15個渡すことで、入手することができます。			蘇る古の武器（スファライ）							
ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			ヘ、ヘヘヘッ……本当に蛮神との戦いから、生きて戻ってくるとはよ……。し、心配し……いや、なんだ。……テメェも、やるじゃねぇか。			蘇る古の武器（スファライ）							
よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			よし、まずは「イフリートの炎」、「ガルーダの風」、「タイタンの黄土」を渡してくれ。炉の準備をするからよ……。			蘇る古の武器（スファライ）							
へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			へへ……こいつがあれば炉は問題ねぇ。お次は、冷却用の「ラザハン焼入油」だ。ちゃんと用意してきたンだろうな？			蘇る古の武器（スファライ）							
