レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			レヴナンツトールのシ・ルン・ティアは、今後の修行について考えているようだ。			不可避の定め							
「抗う力」で、多くの人を救ってきましたね。君も、私も、仲間たちも……それで、何かが変わりましたか？古の「赤魔法」は、もっと偉大な可能性を秘めています……。			「抗う力」で、多くの人を救ってきましたね。君も、私も、仲間たちも……それで、何かが変わりましたか？古の「赤魔法」は、もっと偉大な可能性を秘めています……。			抗いの果てに							
赤魔法は、魔力の源に制限をかけるかわりに、肉体を魔力の加速器と化して放つ、強力な魔法。では仮に、制約を捨て、自然界の膨大なエーテルを用いたら……？			赤魔法は、魔力の源に制限をかけるかわりに、肉体を魔力の加速器と化して放つ、強力な魔法。では仮に、制約を捨て、自然界の膨大なエーテルを用いたら……？			抗いの果てに							
……愚問だな。術者の身体がぶっ壊れるだけだ！			……愚問だな。術者の身体がぶっ壊れるだけだ！			抗いの果てに							
そのとおり……赤魔法が示す可能性。そのすべてを解き放てば、人は究極の大魔法をも行使できる。なのに「肉体」という牢獄が、魂の飛翔を拒む……。			そのとおり……赤魔法が示す可能性。そのすべてを解き放てば、人は究極の大魔法をも行使できる。なのに「肉体」という牢獄が、魂の飛翔を拒む……。			抗いの果てに							
20年前…………私は古の秘術に、その限界を超克する可能性を見出しました。己の肉体を造り変え、より大いなる魔力を御する方法をね。			20年前…………私は古の秘術に、その限界を超克する可能性を見出しました。己の肉体を造り変え、より大いなる魔力を御する方法をね。			抗いの果てに							
……代価は、安くありませんでしたよ。肉体の再構築のため、十数年の眠りを要したほど。			……代価は、安くありませんでしたよ。肉体の再構築のため、十数年の眠りを要したほど。			抗いの果てに							
…………「人」を捨てたか！そうまでして、何を手に入れた？			…………「人」を捨てたか！そうまでして、何を手に入れた？			抗いの果てに							
あらゆる制約を超えた、究極の自由……！黒でも白でも赤でもない、そのすべてを超える魔法の力！			あらゆる制約を超えた、究極の自由……！黒でも白でも赤でもない、そのすべてを超える魔法の力！			抗いの果てに							
「紅の疾風」の仲間たちは、幸運でしたね。究極への第一歩……最初の実験の、犠牲になれたのですから……！			「紅の疾風」の仲間たちは、幸運でしたね。究極への第一歩……最初の実験の、犠牲になれたのですから……！			抗いの果てに							
貴様ッ……！			貴様ッ……！			抗いの果てに							
私の術は、あらゆる禁忌と無縁……。君の魔法では、私に抗えない！			私の術は、あらゆる禁忌と無縁……。君の魔法では、私に抗えない！			抗いの果てに							
……お前に負けたことは、一度もないはずだぜ？			……お前に負けたことは、一度もないはずだぜ？			抗いの果てに							
やはり、恐ろしい男です……。かすり傷を負わせるのが、やっとだとは……！ですが…………			やはり、恐ろしい男です……。かすり傷を負わせるのが、やっとだとは……！ですが…………			抗いの果てに							
傷ひとつで、充分です。			傷ひとつで、充分です。			抗いの果てに							
私の得た力のひとつ……獲物の生命を喰らう「ソウルスティール」。この死の棘で、ひとたび傷を負った者に……等しく死をもたらす。			私の得た力のひとつ……獲物の生命を喰らう「ソウルスティール」。この死の棘で、ひとたび傷を負った者に……等しく死をもたらす。			抗いの果てに							
