弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			弓術士ギルドのルシアヌは、新しい技を学ぶ方法を教えようとしているようだ。			響きあうふたつの音色							
とはいえ、こけおどしの物語にさえ学ぶところはある。例えば、詩歌「罪深き愚者」を聞いたことはないかね？			とはいえ、こけおどしの物語にさえ学ぶところはある。例えば、詩歌「罪深き愚者」を聞いたことはないかね？			時神の境地							
……ないと申すか。……ならば、わしが聴かせてやろう。			……ないと申すか。……ならば、わしが聴かせてやろう。			時神の境地							
数十年前……多くの死傷者を出した「中央高地の惨劇」を主題とする、悲しき歌を……。			数十年前……多くの死傷者を出した「中央高地の惨劇」を主題とする、悲しき歌を……。			時神の境地							
……だが、その前にまず、お主の心を鍛えねばならぬ。でなければ、この愚かな話から教訓を見出すこともできぬからな。			……だが、その前にまず、お主の心を鍛えねばならぬ。でなければ、この愚かな話から教訓を見出すこともできぬからな。			時神の境地							
東ザナラーンの「ウェルウィック新林」には、子を失った悲しみにとらわれ、凶暴さを増した魔牛の夫婦がいるという。			東ザナラーンの「ウェルウィック新林」には、子を失った悲しみにとらわれ、凶暴さを増した魔牛の夫婦がいるという。			時神の境地							
この出現を待ち、戦いの中で、魔牛の悲哀に触れよ。己の弓で魔牛を悲しみから解放してやれば、「吟遊詩人の証」より古の旋律を聴くだろう。			この出現を待ち、戦いの中で、魔牛の悲哀に触れよ。己の弓で魔牛を悲しみから解放してやれば、「吟遊詩人の証」より古の旋律を聴くだろう。			時神の境地							
お帰り、「吟遊詩人の証」の輝きが増しているな。お主の心に次なる旋律が響いているのだろう。それこそが、お主の心の強さの証……。			お帰り、「吟遊詩人の証」の輝きが増しているな。お主の心に次なる旋律が響いているのだろう。それこそが、お主の心の強さの証……。			時神の境地							
心を鍛え、新たな境地を垣間見た今こそ、驕ることなく、弓術の鍛錬に励むのだ。			心を鍛え、新たな境地を垣間見た今こそ、驕ることなく、弓術の鍛錬に励むのだ。			時神の境地							
強き心は、強靭な肉体に宿る。密接につながる心と体の準備が整ったのなら、約束の詩歌「罪深き愚者」を聴かせよう。			強き心は、強靭な肉体に宿る。密接につながる心と体の準備が整ったのなら、約束の詩歌「罪深き愚者」を聴かせよう。			時神の境地							
敵の気配を感じた！！			敵の気配を感じた！！			時神の境地							
ジェアンテルが、「罪深き愚者」を歌ってくれるようだ。			ジェアンテルが、「罪深き愚者」を歌ってくれるようだ。			罪深き愚者							
ジェアンテルから依頼を受けた。北部森林のゲルモラ遺跡にある「指定地点」に「ニメーヤリリーの花束」を使おう。			ジェアンテルから依頼を受けた。北部森林のゲルモラ遺跡にある「指定地点」に「ニメーヤリリーの花束」を使おう。			罪深き愚者							
指定地点にニメーヤリリーの花束を使った。南部森林のクォーリーミルの西にいる「ジェアンテル」と話してみよう。			指定地点にニメーヤリリーの花束を使った。南部森林のクォーリーミルの西にいる「ジェアンテル」と話してみよう。			罪深き愚者							
ジェアンテルに報告した。「中央高地の惨劇」を引き起こした「罪深き愚者」とは、ジェアンテルであった。仲間を殺してしまった罪の意識から、ジェアンテルは弓が撃てなくなったという。ジェアンテルは冒険者を危険に巻き込んだことを嘆いていたが、それでも冒険者に頼みたいことがあるようだ。心の準備ができたら、再度、「ジェアンテル」に話しかけよう。			ジェアンテルに報告した。「中央高地の惨劇」を引き起こした「罪深き愚者」とは、ジェアンテルであった。仲間を殺してしまった罪の意識から、ジェアンテルは弓が撃てなくなったという。ジェアンテルは冒険者を危険に巻き込んだことを嘆いていたが、それでも冒険者に頼みたいことがあるようだ。心の準備ができたら、再度、「ジェアンテル」に話しかけよう。			罪深き愚者							
ゲルモラ遺跡の指定地点にニメーヤリリーの花束を使う			ゲルモラ遺跡の指定地点にニメーヤリリーの花束を使う			罪深き愚者							
クォーリーミルの西にいるジェアンテルと話す			クォーリーミルの西にいるジェアンテルと話す			罪深き愚者							
イクサル・サーベラーを倒せ！			イクサル・サーベラーを倒せ！			罪深き愚者							
おお、そのたたずまい……秘められた真実を見抜く心と、強さを手にしたようだね。			おお、そのたたずまい……秘められた真実を見抜く心と、強さを手にしたようだね。			罪深き愚者							
今のお主なら、「罪深き愚者」の詩歌に込められた教訓を、正しく読み取ることができるだろう。			今のお主なら、「罪深き愚者」の詩歌に込められた教訓を、正しく読み取ることができるだろう。			罪深き愚者							
