イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
ごめんよ…………。あたしが捕まったせいで、羅針盤が……。			ごめんよ…………。あたしが捕まったせいで、羅針盤が……。			魔航船ヴォイドアーク							
……ねえ、レオファード。ずいぶんと簡単に羅針盤を渡したわね。あなた、もしかして……。			……ねえ、レオファード。ずいぶんと簡単に羅針盤を渡したわね。あなた、もしかして……。			魔航船ヴォイドアーク							
…………呆れた。白状なさいな、いったい何をやったの？			…………呆れた。白状なさいな、いったい何をやったの？			魔航船ヴォイドアーク							
なぁに、リンクパールを仕込んどいただけだ。迂闊に羅針盤を持ち歩けば、奴らの行動は筒抜けになる。あのメス猿が仕掛けに気付くか、お手並み拝見ってとこだな。			なぁに、リンクパールを仕込んどいただけだ。迂闊に羅針盤を持ち歩けば、奴らの行動は筒抜けになる。あのメス猿が仕掛けに気付くか、お手並み拝見ってとこだな。			魔航船ヴォイドアーク							
それにしても……。奴ら、やっぱり幽霊船に向かうつもりかしら。			それにしても……。奴ら、やっぱり幽霊船に向かうつもりかしら。			魔航船ヴォイドアーク							
ああ、そうだろう。いずれにせよ、ろくでもねえことを企んでるのは間違いない。注意を払っておく必要があるな。			ああ、そうだろう。いずれにせよ、ろくでもねえことを企んでるのは間違いない。注意を払っておく必要があるな。			魔航船ヴォイドアーク							
だが、ラドリアのことよりも今は……。			だが、ラドリアのことよりも今は……。			魔航船ヴォイドアーク							
……幽霊船。お主らは「魔航船」を、そう呼んでおるのか。			……幽霊船。お主らは「魔航船」を、そう呼んでおるのか。			魔航船ヴォイドアーク							
魔航船だと……それが、あの船の本当の名前か。ネコじじい、お前の知ってることを全部話してもらうぞ。			魔航船だと……それが、あの船の本当の名前か。ネコじじい、お前の知ってることを全部話してもらうぞ。			魔航船ヴォイドアーク							
(-ケット・シー-)対話の場を設けるのは、こちらも望むところだが……私には、「ケット・シー」という歴とした名がある。その無礼な呼び方は、謹んでもらおうか。			(-ケット・シー-)対話の場を設けるのは、こちらも望むところだが……私には、「ケット・シー」という歴とした名がある。その無礼な呼び方は、謹んでもらおうか。			魔航船ヴォイドアーク							
……今となっては、古の昔。かつて、ヤフェームの地に「マハ」という魔法都市があった。			……今となっては、古の昔。かつて、ヤフェームの地に「マハ」という魔法都市があった。			魔航船ヴォイドアーク							
マハは、破壊の魔法を極め、アムダプールやニームといった諸国と戦を繰り広げた。強大な魔法飛び交う「魔大戦」をな……。			マハは、破壊の魔法を極め、アムダプールやニームといった諸国と戦を繰り広げた。強大な魔法飛び交う「魔大戦」をな……。			魔航船ヴォイドアーク							
だが、いきすぎた力の乱用は、大地を巡るエーテルを傷つけ、エオルゼア全土を巻き込む、大洪水を引き起こしてしまった……。これを予見したのが、大魔道士「クェーサル」様だ。			だが、いきすぎた力の乱用は、大地を巡るエーテルを傷つけ、エオルゼア全土を巻き込む、大洪水を引き起こしてしまった……。これを予見したのが、大魔道士「クェーサル」様だ。			魔航船ヴォイドアーク							
ちょっと待って……！その大洪水って「第六霊災」のことじゃないでしょうね？			ちょっと待って……！その大洪水って「第六霊災」のことじゃないでしょうね？			魔航船ヴォイドアーク							
お主の推察のとおり……。迫る災厄に慌てたマハの魔道士たちは、民を雲海へ避難させようと、巨大な天翔る船、魔航船「アーク」を建造しはじめたのだ。			お主の推察のとおり……。迫る災厄に慌てたマハの魔道士たちは、民を雲海へ避難させようと、巨大な天翔る船、魔航船「アーク」を建造しはじめたのだ。			魔航船ヴォイドアーク							
そして、その運航を我が主たるクェーサル様に任せた。戦に反対し、和を説いたゆえに、幽閉されていたあの方に。			そして、その運航を我が主たるクェーサル様に任せた。戦に反対し、和を説いたゆえに、幽閉されていたあの方に。			魔航船ヴォイドアーク							
んー？　でも、マハの民を救うために造られた船が、なんで妖異ウジャウジャの「幽霊船」になっちまったんだよ？			んー？　でも、マハの民を救うために造られた船が、なんで妖異ウジャウジャの「幽霊船」になっちまったんだよ？			魔航船ヴォイドアーク							
