オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
……それはできぬ。あやつはアラミタマの暴走とともに、ニギミタマを失っておる。ふたつの魂なくば、自我を取り戻せぬのじゃ……。			……それはできぬ。あやつはアラミタマの暴走とともに、ニギミタマを失っておる。ふたつの魂なくば、自我を取り戻せぬのじゃ……。			鬼の棲む島							
そうならぬためには、アラミタマを解放すると同時に、予めニギミタマを神通力によって、守っておく必要があるのだ。むろん、暴走を鎮められねば、意味はないがな……。			そうならぬためには、アラミタマを解放すると同時に、予めニギミタマを神通力によって、守っておく必要があるのだ。むろん、暴走を鎮められねば、意味はないがな……。			鬼の棲む島							
Forename、と言ったな。私の魂…………お前に預けてもよいだろうか。			Forename、と言ったな。私の魂…………お前に預けてもよいだろうか。			鬼の棲む島							
……それでは、戦いの準備が整い次第、私が生まれ育った地、「ヤンサ」にて相まみえよう。魂を失うやもしれんのだ、もう一度、あの景色を見ておきたい。			……それでは、戦いの準備が整い次第、私が生まれ育った地、「ヤンサ」にて相まみえよう。魂を失うやもしれんのだ、もう一度、あの景色を見ておきたい。			鬼の棲む島							
おっと、大事なことを伝え忘れておった。醴泉神社に戻って来るときは、獄之蓋におる、「神出鬼没のフウリ」という化けダヌキに道案内を頼むがよい。			おっと、大事なことを伝え忘れておった。醴泉神社に戻って来るときは、獄之蓋におる、「神出鬼没のフウリ」という化けダヌキに道案内を頼むがよい。			鬼の棲む島							
……オイラたちは、ここで待っていればいいのかなぁ～？			……オイラたちは、ここで待っていればいいのかなぁ～？			鬼の棲む島							
ほっほっほっ、ソロバンと言ったか……おぬしとその座敷わらしには、やってもらうことがある。ワシについてまいれ。			ほっほっほっ、ソロバンと言ったか……おぬしとその座敷わらしには、やってもらうことがある。ワシについてまいれ。			鬼の棲む島							
ざしきわらし……って、なんでっすか？			ざしきわらし……って、なんでっすか？			鬼の棲む島							
ほっほっほ……。神狩りのヒトの子よ、白虎の魂を、頼んだぞい……。			ほっほっほ……。神狩りのヒトの子よ、白虎の魂を、頼んだぞい……。			鬼の棲む島							
オイラたち、いったい何をさせられるんだろうなぁ～？			オイラたち、いったい何をさせられるんだろうなぁ～？			鬼の棲む島							
私もお手伝いしたいのでっすが、留守番を命じられまっした……。Forenameさん、ご無事を祈ってまっす！			私もお手伝いしたいのでっすが、留守番を命じられまっした……。Forenameさん、ご無事を祈ってまっす！			鬼の棲む島							
……来たか。			……来たか。			鬼の棲む島							
私は、この地にろくな思い出がない。この真白き毛並みゆえに、同族からもヒトからも、忌み嫌われていたからな……。			私は、この地にろくな思い出がない。この真白き毛並みゆえに、同族からもヒトからも、忌み嫌われていたからな……。			鬼の棲む島							
にもかかわらず、瑞獣へと裏返った私は、長きに渡り、この地に棲まう命を守り続けてきた。			にもかかわらず、瑞獣へと裏返った私は、長きに渡り、この地に棲まう命を守り続けてきた。			鬼の棲む島							
だが、どれだけ救い、守ったとて、いつかは、あらゆる命にとっての脅威へと変じる……。まったく、何のために生まれてきたのやら……。			だが、どれだけ救い、守ったとて、いつかは、あらゆる命にとっての脅威へと変じる……。まったく、何のために生まれてきたのやら……。			鬼の棲む島							
白虎になんと言う？			白虎になんと言う？			鬼の棲む島							
絶対に鎮めてみせる			絶対に鎮めてみせる			鬼の棲む島							
心配するな			心配するな			鬼の棲む島							
フフフ、まさかお前のような若造に諭されるとは、私もまだまだ青さが抜けぬわ。お前に魂を預けると、そう決めたというのにな！			フフフ、まさかお前のような若造に諭されるとは、私もまだまだ青さが抜けぬわ。お前に魂を預けると、そう決めたというのにな！			鬼の棲む島							
では、始めるとしよう、勇敢なるヒトの子よ！これより、数百年もの間、我がアラミタマを縛り続けてきた神通力を解く！			では、始めるとしよう、勇敢なるヒトの子よ！これより、数百年もの間、我がアラミタマを縛り続けてきた神通力を解く！			鬼の棲む島							
準備は良いか？これがお前と交わした最後の言葉にならぬよう、祈っておるぞ！			準備は良いか？これがお前と交わした最後の言葉にならぬよう、祈っておるぞ！			鬼の棲む島							
「醴泉神社」へ移動しますか？			「醴泉神社」へ移動しますか？			鬼の棲む島							
よもやこの私を鎮めてみせるとは。さすがは神狩りの英雄と言ったところか……。やはり、お前を見ているとあの男を思い出す。			よもやこの私を鎮めてみせるとは。さすがは神狩りの英雄と言ったところか……。やはり、お前を見ているとあの男を思い出す。			鬼の棲む島							
奴と出会ったのは、ドマの建国よりも遙か昔のこと……。			奴と出会ったのは、ドマの建国よりも遙か昔のこと……。			鬼の棲む島							
ヤンサの地に産まれた私は、白き毛並みゆえに、ヒトからは災いの兆しと畏怖され、同族からは爪弾きにされた。			ヤンサの地に産まれた私は、白き毛並みゆえに、ヒトからは災いの兆しと畏怖され、同族からは爪弾きにされた。			鬼の棲む島							
群れることすら叶わず、寄る辺なき私は、山奥で孤独に朽ちていくことが、己が定めと受け入れていた。			群れることすら叶わず、寄る辺なき私は、山奥で孤独に朽ちていくことが、己が定めと受け入れていた。			鬼の棲む島							
だが、幸か不幸か類い希なる力を持って生まれた私は、種の寿命より外れ、百年の時を生き続けた。かような化け物となれば、さらに近づく者もなくなる。			だが、幸か不幸か類い希なる力を持って生まれた私は、種の寿命より外れ、百年の時を生き続けた。かような化け物となれば、さらに近づく者もなくなる。			鬼の棲む島							
