革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			革細工師ギルドのゲヴァは、紹介したい依頼があるようだ。			博物学者と剥製師							
「ヘネガダルメル」は、一見、普通のダルメルと同じ外見だけど、ダルメルには無い腹の下の逆毛を持ち、生活圏も異なる……。つまり、独自のコミュニティをもっているのよ。			「ヘネガダルメル」は、一見、普通のダルメルと同じ外見だけど、ダルメルには無い腹の下の逆毛を持ち、生活圏も異なる……。つまり、独自のコミュニティをもっているのよ。			はじめての剥製造り							
希少種なだけに、見つけるのは大変だと思うけど……剥製にできるような「ヘネガダルメル」の死骸がほしいわ。			希少種なだけに、見つけるのは大変だと思うけど……剥製にできるような「ヘネガダルメル」の死骸がほしいわ。			はじめての剥製造り							
あ、もちろん、自然に死んだものよ。倒して捕獲なんて、事業の意図から外れる愚行だから絶対ダメ。……というわけで、ダルメルちゃんに詳しい雲海の住人を知らない？			あ、もちろん、自然に死んだものよ。倒して捕獲なんて、事業の意図から外れる愚行だから絶対ダメ。……というわけで、ダルメルちゃんに詳しい雲海の住人を知らない？			はじめての剥製造り							
ダルメルに詳しい雲海の住人といえば？			ダルメルに詳しい雲海の住人といえば？			はじめての剥製造り							
バヌバヌ族が……			バヌバヌ族が……			はじめての剥製造り							
おデブな鳥が……			おデブな鳥が……			はじめての剥製造り							
なるほど……。噂に聞く、太っちょな鳥みたいな獣人種族ね。			なるほど……。噂に聞く、太っちょな鳥みたいな獣人種族ね。			はじめての剥製造り							
アバラシア雲海には行ったことなかったけど、キミが、彼らと面識があるなら好都合だわ！仲介をお願いできるかしら。			アバラシア雲海には行ったことなかったけど、キミが、彼らと面識があるなら好都合だわ！仲介をお願いできるかしら。			はじめての剥製造り							
それじゃ、手がかりも掴めたことだし、オク・ズンドに出発よ！エニオンを連れて、先に行っているわね。			それじゃ、手がかりも掴めたことだし、オク・ズンドに出発よ！エニオンを連れて、先に行っているわね。			はじめての剥製造り							
アテルーネさん、なかなか展示場所が見つからなくて、困ってるみたいです。……多分、頼み方が悪いんだと思います。			アテルーネさん、なかなか展示場所が見つからなくて、困ってるみたいです。……多分、頼み方が悪いんだと思います。			はじめての剥製造り							
待ってたわよ、Forename。さ、さ、早く私たちのことをバヌバヌ族に紹介してちょうだい。			待ってたわよ、Forename。さ、さ、早く私たちのことをバヌバヌ族に紹介してちょうだい。			はじめての剥製造り							
話を聞くなら、そうね……この集落の「長老」なんかが、いいんじゃないかしら。親玉と話したほうが、手っ取り早いもの。			話を聞くなら、そうね……この集落の「長老」なんかが、いいんじゃないかしら。親玉と話したほうが、手っ取り早いもの。			はじめての剥製造り							
アテルーネさん、ずんずん進んでいくから、追いつくのに必死でした……。			アテルーネさん、ずんずん進んでいくから、追いつくのに必死でした……。			はじめての剥製造り							
