クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			クイックサンドのモモジゴは、何やら頼みごとがあるようだ。			凛とした女侍							
(-マコトからの手紙-)以前にお話した、ウゲツ一派が、我々の想定を上回るほど急速に、勢力を拡大させています。			(-マコトからの手紙-)以前にお話した、ウゲツ一派が、我々の想定を上回るほど急速に、勢力を拡大させています。			風雲赤誠組							
(-マコトからの手紙-)お恥ずかしい話ですが、取り締まりを行う赤誠組の隊士にも、多くの被害が出ており、兵力の損耗ぶりは目を覆うほど。神出鬼没のウゲツ一派に、翻弄され続けています。			(-マコトからの手紙-)お恥ずかしい話ですが、取り締まりを行う赤誠組の隊士にも、多くの被害が出ており、兵力の損耗ぶりは目を覆うほど。神出鬼没のウゲツ一派に、翻弄され続けています。			風雲赤誠組							
(-マコトからの手紙-)そこで、ムソウサイ様の弟子である貴方に、是非とも、お力添えをいただきたく存じます。			(-マコトからの手紙-)そこで、ムソウサイ様の弟子である貴方に、是非とも、お力添えをいただきたく存じます。			風雲赤誠組							
(-マコトからの手紙-)貴方にとっては、遠い異国の出来事かもしれません。ですが、幕府が倒されれば、この国はふたたび戦乱の世に戻り、罪なき民にも、甚大な影響が及ぶでしょう。			(-マコトからの手紙-)貴方にとっては、遠い異国の出来事かもしれません。ですが、幕府が倒されれば、この国はふたたび戦乱の世に戻り、罪なき民にも、甚大な影響が及ぶでしょう。			風雲赤誠組							
(-マコトからの手紙-)ゆえに恥を忍んで、赤誠組への協力をお願いするのです。もし、助力いただけるのであれば、クガネまでお越しください。赤誠組屯所にて、心よりお待ちしております。			(-マコトからの手紙-)ゆえに恥を忍んで、赤誠組への協力をお願いするのです。もし、助力いただけるのであれば、クガネまでお越しください。赤誠組屯所にて、心よりお待ちしております。			風雲赤誠組							
これってつまり、爺さんの心残りだった、一番弟子の悪行を、最後の弟子である、アンタが止めるってことだよな。			これってつまり、爺さんの心残りだった、一番弟子の悪行を、最後の弟子である、アンタが止めるってことだよな。			風雲赤誠組							
でも、協力するかどうかはForename次第だ。俺としては、爺さんのためにも、力を貸してやってほしいけどな……。			でも、協力するかどうかはForename次第だ。俺としては、爺さんのためにも、力を貸してやってほしいけどな……。			風雲赤誠組							
赤誠組に協力するかどうかはForename次第だ。俺としては、爺さんのためにも、力を貸してやってほしいけどな……。			赤誠組に協力するかどうかはForename次第だ。俺としては、爺さんのためにも、力を貸してやってほしいけどな……。			風雲赤誠組							
はて、見慣れぬ侍だが……。そうか、君がマコトの言っていた、異国の侍だね？			はて、見慣れぬ侍だが……。そうか、君がマコトの言っていた、異国の侍だね？			風雲赤誠組							
彼女は今、ウゲツ一派の密談が行われるという、紅玉海のサカズキ島へ行っている。			彼女は今、ウゲツ一派の密談が行われるという、紅玉海のサカズキ島へ行っている。			風雲赤誠組							
しかし、どうも帰りが遅くてね……。心配なんだが、私はここを動くわけにいかないんだ。君、もしよかったら「サカズキ島」へ様子を見に行ってくれないか？			しかし、どうも帰りが遅くてね……。心配なんだが、私はここを動くわけにいかないんだ。君、もしよかったら「サカズキ島」へ様子を見に行ってくれないか？			風雲赤誠組							
紅玉海のサカズキ島へと向かった、マコトの帰りが遅い。心配なんだが、私はここを動くわけにいかないんだ。君、もしよかったら「サカズキ島」へ様子を見に行ってくれないか？			紅玉海のサカズキ島へと向かった、マコトの帰りが遅い。心配なんだが、私はここを動くわけにいかないんだ。君、もしよかったら「サカズキ島」へ様子を見に行ってくれないか？			風雲赤誠組							
