巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。			業火の召喚獣							
怯えた調査員と話し、召喚士の装束をもらった。モードゥナの聖コイナク財団の調査地にいる、「冷静を装う調査員」と話し、出現する「ミラーナイト」を倒そう。			怯えた調査員と話し、召喚士の装束をもらった。モードゥナの聖コイナク財団の調査地にいる、「冷静を装う調査員」と話し、出現する「ミラーナイト」を倒そう。			アラグの装束							
冷静を装う調査員と話し、ミラーナイトを倒した。モードゥナの聖コイナク財団の調査地にいる「冷静を装う調査員」と話し、「召喚士の装束」をもらおう。			冷静を装う調査員と話し、ミラーナイトを倒した。モードゥナの聖コイナク財団の調査地にいる「冷静を装う調査員」と話し、「召喚士の装束」をもらおう。			アラグの装束							
冷静を装う調査員と話し、「召喚士の装束」をもらった。モードゥナの聖コイナク財団の調査地にいる「ラムブルース」と話し、「召喚士の装束」をもらおう。			冷静を装う調査員と話し、「召喚士の装束」をもらった。モードゥナの聖コイナク財団の調査地にいる「ラムブルース」と話し、「召喚士の装束」をもらおう。			アラグの装束							
ラムブルースから、「召喚士の装束」を受け取った。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			ラムブルースから、「召喚士の装束」を受け取った。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。			アラグの装束							
ヤ・ミトラに報告した。彼女から召喚獣「ガルーダ・エギ」を入手するため、次は「風の荒行」に入ってほしいと頼まれた。ヤ・ミトラの準備ができるまでに、蛮神「ガルーダ」の討伐を成功させ、召喚士としての経験を積んでおこう。※蛮神ガルーダを討伐すると、ヤ・ミトラから次の召喚士クエストを受注することができます。			ヤ・ミトラに報告した。彼女から召喚獣「ガルーダ・エギ」を入手するため、次は「風の荒行」に入ってほしいと頼まれた。ヤ・ミトラの準備ができるまでに、蛮神「ガルーダ」の討伐を成功させ、召喚士としての経験を積んでおこう。※蛮神ガルーダを討伐すると、ヤ・ミトラから次の召喚士クエストを受注することができます。			アラグの装束							
モードゥナの聖コイナク財団の調査地にいるラムブルースと話す			モードゥナの聖コイナク財団の調査地にいるラムブルースと話す			アラグの装束							
困った調査員と話し、ミラーナイトを倒す			困った調査員と話し、ミラーナイトを倒す			アラグの装束							
困った調査員と話し、召喚士の装束を入手			困った調査員と話し、召喚士の装束を入手			アラグの装束							
怯えた調査員と話し、ミラーナイトを倒す			怯えた調査員と話し、ミラーナイトを倒す			アラグの装束							
怯えた調査員と話し、召喚士の装束を入手			怯えた調査員と話し、召喚士の装束を入手			アラグの装束							
冷静を装う調査員と話し、ミラーナイトを倒す			冷静を装う調査員と話し、ミラーナイトを倒す			アラグの装束							
冷静を装う調査員と話し、召喚士の装束を入手			冷静を装う調査員と話し、召喚士の装束を入手			アラグの装束							
ラムブルースに報告し、召喚士の装束を入手			ラムブルースに報告し、召喚士の装束を入手			アラグの装束							
グリダニアのアプカル滝にいるヤ・ミトラに報告			グリダニアのアプカル滝にいるヤ・ミトラに報告			アラグの装束							
トリスタン……彼の目的はいまだに不明よ。そのやり口は、きわめて奸智に長け、手段を選ばない卑劣さを持つわ。			トリスタン……彼の目的はいまだに不明よ。そのやり口は、きわめて奸智に長け、手段を選ばない卑劣さを持つわ。			アラグの装束							
今のところ、私たちは後手を踏んでいる。このまま正攻法で彼の影を追っても、それを捕らえることはできないと思うの。			今のところ、私たちは後手を踏んでいる。このまま正攻法で彼の影を追っても、それを捕らえることはできないと思うの。			アラグの装束							
だけど……私たちは彼が求める「何か」を持っている。彼とは、いつか必ずぶつかる運命にあるわ。			だけど……私たちは彼が求める「何か」を持っている。彼とは、いつか必ずぶつかる運命にあるわ。			アラグの装束							
ならば、その時に備えましょう。いつか来る決着の日のため、新しい力を身につけるの。			ならば、その時に備えましょう。いつか来る決着の日のため、新しい力を身につけるの。			アラグの装束							
幸いなことに、そのアテはあるわ。「聖コイナク財団」が調査しているモードゥナの遺跡で、召喚士の「装束」が発見されたという情報があるの。			幸いなことに、そのアテはあるわ。「聖コイナク財団」が調査しているモードゥナの遺跡で、召喚士の「装束」が発見されたという情報があるの。			アラグの装束							
