双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			双剣士ギルドのジャックは、冒険者に変わった仕事を依頼したいようだ。			月影の導き							
鬼火を倒せ！			鬼火を倒せ！			刃と心で為すがもの							
大蝦蟇と鬼火を倒せ！			大蝦蟇と鬼火を倒せ！			刃と心で為すがもの							
オボロを倒せ！			オボロを倒せ！			刃と心で為すがもの							
まずは、「鬼火」に対処してみせよ。「風魔手裏剣」など遠隔攻撃を駆使し、近づかれる前に倒すのだ。			まずは、「鬼火」に対処してみせよ。「風魔手裏剣」など遠隔攻撃を駆使し、近づかれる前に倒すのだ。			刃と心で為すがもの							
Forename様、その調子です！			Forename様、その調子です！			刃と心で為すがもの							
次は、「大蝦蟇」と「鬼火」を口寄せる。決して慌てず、心を鎮め、流れるままに対処すればよい。			次は、「大蝦蟇」と「鬼火」を口寄せる。決して慌てず、心を鎮め、流れるままに対処すればよい。			刃と心で為すがもの							
フッ……乗り越えたか。最後は、私がお相手いたそう……ゆくぞ！			フッ……乗り越えたか。最後は、私がお相手いたそう……ゆくぞ！			刃と心で為すがもの							
ツバメは、冒険者に感心をしているようだ。			ツバメは、冒険者に感心をしているようだ。			新たな印							
オボロが冒険者のことを待っているらしい。船着場の平屋の中にいる「オボロ」と話そう。			オボロが冒険者のことを待っているらしい。船着場の平屋の中にいる「オボロ」と話そう。			新たな印							
オボロから新たな印、「地の印」を教えてもらった。修行の説明を聞くため、再度オボロに話しかけよう。			オボロから新たな印、「地の印」を教えてもらった。修行の説明を聞くため、再度オボロに話しかけよう。			新たな印							
オボロと話す			オボロと話す			新たな印							
おや、Forename様。ふふふ、忍びの者として、たくましくなられましたね！			おや、Forename様。ふふふ、忍びの者として、たくましくなられましたね！			新たな印							
オボロ様が平屋でお待ちです。どうぞ、お入りください。			オボロ様が平屋でお待ちです。どうぞ、お入りください。			新たな印							
心を無にすれば……礼もうまくいくはず……。			心を無にすれば……礼もうまくいくはず……。			新たな印							
ふふふ、たくましくなられましたね！私なんて、すぐに抜かされてしまいそうです。			ふふふ、たくましくなられましたね！私なんて、すぐに抜かされてしまいそうです。			新たな印							
Forename……腕を上げたようだな。しかし、成長したのは、お主だけではござらぬぞ。			Forename……腕を上げたようだな。しかし、成長したのは、お主だけではござらぬぞ。			新たな印							
見よ、この自然な礼を……。日々の鍛錬を積んだ成果だ。……さて、今度は、我々が修行を課す番だな。			見よ、この自然な礼を……。日々の鍛錬を積んだ成果だ。……さて、今度は、我々が修行を課す番だな。			新たな印							
それでは、お主に新たな「印」……「地の印」を教える。これは、大地に満ちるエーテルを結ぶ「印」だ。後ほど、実戦を交えた修行を行うとしよう。			それでは、お主に新たな「印」……「地の印」を教える。これは、大地に満ちるエーテルを結ぶ「印」だ。後ほど、実戦を交えた修行を行うとしよう。			新たな印							
