スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			スイの里のクレナイは、碧のタマミズのインバンを心待ちにしている。			ヒスイとクレナイ							
ぼろぼろで、筋も追えないほどなのですが……ただ、何年も眠ったままだった姫が、不思議な霊薬で目を覚ます、というくだりがあるのです。			ぼろぼろで、筋も追えないほどなのですが……ただ、何年も眠ったままだった姫が、不思議な霊薬で目を覚ます、というくだりがあるのです。			御伽草子の島							
地名などは現実に即したものでしたし、もしや、実話がもとになっているのでは、とも思え……。			地名などは現実に即したものでしたし、もしや、実話がもとになっているのでは、とも思え……。			御伽草子の島							
その物語のはじまりが、「オノコロ島」というわけなのです。あなた様は、かの島を訪れたことはございますか？			その物語のはじまりが、「オノコロ島」というわけなのです。あなた様は、かの島を訪れたことはございますか？			御伽草子の島							
まあ、何と心強い……！それでは、御案内をお願いいたします。			まあ、何と心強い……！それでは、御案内をお願いいたします。			御伽草子の島							
そうですか、姫様はオノコロ島へ……。あそこは海賊衆の根城、筋違砦がある島……危険はございますが、貴方にご随伴いただけるならば、まずは安心かと。			そうですか、姫様はオノコロ島へ……。あそこは海賊衆の根城、筋違砦がある島……危険はございますが、貴方にご随伴いただけるならば、まずは安心かと。			御伽草子の島							
姐さんあんさん、悪いがちょっと忙しいんだ！このお嬢様を、歓迎してるとこなんでなァ……！			姐さんあんさん、悪いがちょっと忙しいんだ！このお嬢様を、歓迎してるとこなんでなァ……！			御伽草子の島							
こちらが、オノコロ島でしたね？着くなりこの方に声をかけられて、お話を伺っておりました。			こちらが、オノコロ島でしたね？着くなりこの方に声をかけられて、お話を伺っておりました。			御伽草子の島							
ん…………何だァ、姐さんあんさん？			ん…………何だァ、姐さんあんさん？			御伽草子の島							
何と答える？			何と答える？			御伽草子の島							
頭が高い！			頭が高い！			御伽草子の島							
…………。			…………。			御伽草子の島							
姐さんあんさん……ずいぶん偉そうな態度じゃねえかァ、え？いったい何者……			姐さんあんさん……ずいぶん偉そうな態度じゃねえかァ、え？いったい何者……			御伽草子の島							
おい……黙ってちゃ、わかんねェぞ……？			おい……黙ってちゃ、わかんねェぞ……？			御伽草子の島							
って……そのツラ……たしか、頭領と話をしてた……！こいつぁ、失礼しやしたァッ！			って……そのツラ……たしか、頭領と話をしてた……！こいつぁ、失礼しやしたァッ！			御伽草子の島							
ヘヘヘ……俺様は、強いヤツと金目のモノには巻かれる主義なんだ。そっちのお嬢様に恩を売っとけば、後でいいことがあるとみたね！で、島へは何の用でェ……？			ヘヘヘ……俺様は、強いヤツと金目のモノには巻かれる主義なんだ。そっちのお嬢様に恩を売っとけば、後でいいことがあるとみたね！で、島へは何の用でェ……？			御伽草子の島							
漁師が主役の御伽噺(おとぎばなし)か……聞いたことがないな。ああでも、ふっるい話だったら、知ってそうなじいさんがいる。			漁師が主役の御伽噺(おとぎばなし)か……聞いたことがないな。ああでも、ふっるい話だったら、知ってそうなじいさんがいる。			御伽草子の島							
年に一度だけ、ここを訪れる漁師のじいさんだ。海賊衆いちばんの古株がガキのころにゃ、すでにジジイだったとか。何かの大物を追ってるらしくて、毎年、島に来るんだよ。			年に一度だけ、ここを訪れる漁師のじいさんだ。海賊衆いちばんの古株がガキのころにゃ、すでにジジイだったとか。何かの大物を追ってるらしくて、毎年、島に来るんだよ。			御伽草子の島							
……たしか、いまがちょうどその時期だ。たぶん「早逃桟橋」に行けば、会えるはずだぜェッ！			……たしか、いまがちょうどその時期だ。たぶん「早逃桟橋」に行けば、会えるはずだぜェッ！			御伽草子の島							
貴重なお話、ありがとうございます……親切なお方！さっそく、向かってみます。			貴重なお話、ありがとうございます……親切なお方！さっそく、向かってみます。			御伽草子の島							
へへ…………俺様が親切なお方たぁ、こそばゆいなァ！万が一、役に立ったときは、ちゃんと礼をしにこいよ。俺様の名前を忘れずになァッ！			へへ…………俺様が親切なお方たぁ、こそばゆいなァ！万が一、役に立ったときは、ちゃんと礼をしにこいよ。俺様の名前を忘れずになァッ！			御伽草子の島							
