剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			剣術士ギルドのルルツが、冒険者に耳寄りな情報を教えたいようだ。			自由騎士の誓約							
カルン埋没寺院の銀冑団の木箱を調べ白銀の騎士甲冑を入手			カルン埋没寺院の銀冑団の木箱を調べ白銀の騎士甲冑を入手			交わる毒心							
ロイヤル・プロムナードのジェンリンスに報告			ロイヤル・プロムナードのジェンリンスに報告			交わる毒心							
貴公を待っていた、話さねばならぬことがあるのだ。……これまで、逆賊の足取りを探るため、あらゆる記録を調べてきた結果、ある事実を掴んだ。			貴公を待っていた、話さねばならぬことがあるのだ。……これまで、逆賊の足取りを探るため、あらゆる記録を調べてきた結果、ある事実を掴んだ。			交わる毒心							
逆賊ソルクザギルの総長就任に前後して、当時の名だたる近衛騎士たちが、相次ぎ命を落としていた。……しかし、兵団の記録には、死因が記されていなかった。			逆賊ソルクザギルの総長就任に前後して、当時の名だたる近衛騎士たちが、相次ぎ命を落としていた。……しかし、兵団の記録には、死因が記されていなかった。			交わる毒心							
そこで、秘密裏に隠された治療記録を確認した。宿舎での突然死など、死因は様々だったが……いずれも毒に起因している形跡があったのだ。			そこで、秘密裏に隠された治療記録を確認した。宿舎での突然死など、死因は様々だったが……いずれも毒に起因している形跡があったのだ。			交わる毒心							
やり口から、「見えざる毒尾」が関与した可能性が高い。砂蠍衆の共和派が雇う暗殺者集団で、痕跡を残さぬため、巷では、実在しないと噂されるほど有能だ……。			やり口から、「見えざる毒尾」が関与した可能性が高い。砂蠍衆の共和派が雇う暗殺者集団で、痕跡を残さぬため、巷では、実在しないと噂されるほど有能だ……。			交わる毒心							
しかし、それほど凄腕の刺客が暗躍したとしても、簡単に名だたる騎士を葬ることなどできようか？そうは思えぬ……内部からの助力がない限りは、な。			しかし、それほど凄腕の刺客が暗躍したとしても、簡単に名だたる騎士を葬ることなどできようか？そうは思えぬ……内部からの助力がない限りは、な。			交わる毒心							
では、彼らの死で、最も得をしたのは誰か？次期総長と目された騎士たちが、軒並み没して、異例の若さで総長に就いた者がいた……ソルクザギルだ。			では、彼らの死で、最も得をしたのは誰か？次期総長と目された騎士たちが、軒並み没して、異例の若さで総長に就いた者がいた……ソルクザギルだ。			交わる毒心							
そもそも、砂蠍衆の共和派の狙いは、「銀冑団」の実力者を消して、兵団を弱体化すること。ひいては王家の守りと威信を弱めることにある。			そもそも、砂蠍衆の共和派の狙いは、「銀冑団」の実力者を消して、兵団を弱体化すること。ひいては王家の守りと威信を弱めることにある。			交わる毒心							
にもかかわらず、なぜ、ソルクザギルは30年にわたり、共和派の毒尾から逃れ、総長であり続けたのか……？そう、ソルクザギルこそ、内通者だったのだ。			にもかかわらず、なぜ、ソルクザギルは30年にわたり、共和派の毒尾から逃れ、総長であり続けたのか……？そう、ソルクザギルこそ、内通者だったのだ。			交わる毒心							
この逆賊の居所……必ずや突き止めてみせる。その間に貴公は、「銀冑団」に伝わる「白銀の騎士甲冑」を揃えてほしい。			この逆賊の居所……必ずや突き止めてみせる。その間に貴公は、「銀冑団」に伝わる「白銀の騎士甲冑」を揃えてほしい。			交わる毒心							
この騎士甲冑は、実力で獲得するのが「銀冑団」の伝統。南ザナラーンの「カルン埋没寺院」に甲冑を置いてきた。全部で4か所……これを、すべて手に入れてみせよ。			この騎士甲冑は、実力で獲得するのが「銀冑団」の伝統。南ザナラーンの「カルン埋没寺院」に甲冑を置いてきた。全部で4か所……これを、すべて手に入れてみせよ。			交わる毒心							
見事に「白銀の騎士甲冑」を集めたか。これを成し遂げた貴公の加勢があれば、逆賊ソルクザギルも討ち取れよう。			見事に「白銀の騎士甲冑」を集めたか。これを成し遂げた貴公の加勢があれば、逆賊ソルクザギルも討ち取れよう。			交わる毒心							
そう、ついに逆賊と対峙する時が来た。奴の情報が入り、仲介者を通して接触したところ、向こうから「聖剣」返還の交渉を持ちかけてきたのだ。			そう、ついに逆賊と対峙する時が来た。奴の情報が入り、仲介者を通して接触したところ、向こうから「聖剣」返還の交渉を持ちかけてきたのだ。			交わる毒心							
この接触は、秘密裏に進めなければならん。ゆえに、再度、貴公の覚悟を問う。交渉の場に、共に来てくれるなら、再度声をかけてくれ。			この接触は、秘密裏に進めなければならん。ゆえに、再度、貴公の覚悟を問う。交渉の場に、共に来てくれるなら、再度声をかけてくれ。			交わる毒心							
敵の気配を感じた！！			敵の気配を感じた！！			交わる毒心							
その行動は出現した敵を倒さないと実行できません			その行動は出現した敵を倒さないと実行できません			交わる毒心							
近衛兵団「銀冑団」総長ジェンリンスは、逆賊ソルクザギルとの交渉に同行してほしいようだ。			近衛兵団「銀冑団」総長ジェンリンスは、逆賊ソルクザギルとの交渉に同行してほしいようだ。			交わらぬ心慮							
ジェンリンスから依頼を受けた。南ザナラーンのサゴリー砂漠にある「指定地点」で待機しよう。			ジェンリンスから依頼を受けた。南ザナラーンのサゴリー砂漠にある「指定地点」で待機しよう。			交わらぬ心慮							
