彫金師ギルドのセレンディピティーは、わたわたしているようだ。			彫金師ギルドのセレンディピティーは、わたわたしているようだ。			ギルドへの私的な依頼							
私ども外商は、たったひとつの品をお売りするのにも、職人の方と相談を重ね、じっくりと製作を進めます。お仕事に慣れていただく時間は充分にございますので、ご安心を。			私ども外商は、たったひとつの品をお売りするのにも、職人の方と相談を重ね、じっくりと製作を進めます。お仕事に慣れていただく時間は充分にございますので、ご安心を。			形なきものに							
さて、お願いしたいのは、ある奥様からのご依頼でして……。その方は、長年連れ添ったご主人と出会った、おふたりの記念日を祝うために、特別な品を贈りたいとのこと。			さて、お願いしたいのは、ある奥様からのご依頼でして……。その方は、長年連れ添ったご主人と出会った、おふたりの記念日を祝うために、特別な品を贈りたいとのこと。			形なきものに							
ご主人は、不滅隊の高級将校……日々、アマルジャ族との戦いに明け暮れる猛将です。その日はたいへん貴重な……そして、つかのまの休暇だとか。			ご主人は、不滅隊の高級将校……日々、アマルジャ族との戦いに明け暮れる猛将です。その日はたいへん貴重な……そして、つかのまの休暇だとか。			形なきものに							
何を贈り物とするのかについては、一任されております。それは当店への信頼の証、ぜひお応えしなければなりません。まずは、その品を考えることから始めましょう。			何を贈り物とするのかについては、一任されております。それは当店への信頼の証、ぜひお応えしなければなりません。まずは、その品を考えることから始めましょう。			形なきものに							
こんなとき私は、我が師ともいうべきお方の言葉を思い出します。……師は、まだ駆け出しの外商だった私に、この仕事の何たるかを教えてくれた人気彫金師でした。			こんなとき私は、我が師ともいうべきお方の言葉を思い出します。……師は、まだ駆け出しの外商だった私に、この仕事の何たるかを教えてくれた人気彫金師でした。			形なきものに							
「形なきものに形をあたえ、心なき黄金(こがね)に心を刻め」それが真の彫金師の仕事というのが、その方の口癖でした。……私には、この言葉に手がかりがあるように思えます。			「形なきものに形をあたえ、心なき黄金(こがね)に心を刻め」それが真の彫金師の仕事というのが、その方の口癖でした。……私には、この言葉に手がかりがあるように思えます。			形なきものに							
奥様とご主人、おふたりの記念日を祝う特別な品……。簡単なようでいて、とても難しい課題ですから、どなたかに相談されてみてもいいかもしれません。			奥様とご主人、おふたりの記念日を祝う特別な品……。簡単なようでいて、とても難しい課題ですから、どなたかに相談されてみてもいいかもしれません。			形なきものに							
たとえば、彫金師ギルドの「セレンディピティー」様、クイックサンドの女将「モモディ」様などに、雑談がてら、忌憚のないご意見をうかがうのもよろしいかと……。			たとえば、彫金師ギルドの「セレンディピティー」様、クイックサンドの女将「モモディ」様などに、雑談がてら、忌憚のないご意見をうかがうのもよろしいかと……。			形なきものに							
「形なきものに形をあたえ、心なき黄金(こがね)に心を刻め」……私には、この言葉に手がかりがあるように思えます。			「形なきものに形をあたえ、心なき黄金(こがね)に心を刻め」……私には、この言葉に手がかりがあるように思えます。			形なきものに							
たとえば、彫金師ギルドの「セレンディピティー」様、クイックサンドの女将「モモディ」様などに、雑談がてら、忌憚のないご意見をうかがうのもよろしいかと……。			たとえば、彫金師ギルドの「セレンディピティー」様、クイックサンドの女将「モモディ」様などに、雑談がてら、忌憚のないご意見をうかがうのもよろしいかと……。			形なきものに							
……え、お仕事の相談に乗ってほしいですって？ウフフ……せっかくなんだから、恋愛相談でもよかったのに。それで、どんなことを聞きたいの？			……え、お仕事の相談に乗ってほしいですって？ウフフ……せっかくなんだから、恋愛相談でもよかったのに。それで、どんなことを聞きたいの？			形なきものに							
