巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			巴術士ギルドのムリーには、冒険者に任せたい仕事があるようだ。			学問ノススメ							
ただし、その前にやるべきことがある。材料となる「霊妖花の若葉」を手に入れる必要があるのさ。			ただし、その前にやるべきことがある。材料となる「霊妖花の若葉」を手に入れる必要があるのさ。			匠たちへの頼み							
「霊妖花の若葉」は、今やモードゥナの「迷霧湿原」でしか見られない稀少な妖花の若葉だ。密集した樹木の間を、よく探してくれ。			「霊妖花の若葉」は、今やモードゥナの「迷霧湿原」でしか見られない稀少な妖花の若葉だ。密集した樹木の間を、よく探してくれ。			匠たちへの頼み							
若葉を手に入れたら「学者装束概論」ともども、裁縫師ギルドの「レドレント・ローズ」さんに渡すんだ。「学者の装束」の再現、楽しみに待っているよ！			若葉を手に入れたら「学者装束概論」ともども、裁縫師ギルドの「レドレント・ローズ」さんに渡すんだ。「学者の装束」の再現、楽しみに待っているよ！			匠たちへの頼み							
「霊妖花の若葉」を手に入れたら「学者装束概論」ともども、裁縫師ギルドの「レドレント・ローズ」さんに渡すんだ。「学者の装束」の再現、楽しみに待っているよ！			「霊妖花の若葉」を手に入れたら「学者装束概論」ともども、裁縫師ギルドの「レドレント・ローズ」さんに渡すんだ。「学者の装束」の再現、楽しみに待っているよ！			匠たちへの頼み							
あなたが、アルカ・ゾルカちゃんが言ってた「学者」さん？ヒトは見かけによらないのねぇ……。			あなたが、アルカ・ゾルカちゃんが言ってた「学者」さん？ヒトは見かけによらないのねぇ……。			匠たちへの頼み							
この「学者装束概論」に描かれてる写し絵を参考に、装束を再現すればいいのね？			この「学者装束概論」に描かれてる写し絵を参考に、装束を再現すればいいのね？			匠たちへの頼み							
なるほど……仕立てるのは難しそうだけど、こんな感じの復古主義的オシャレもいいわね。古代のロマンをビンビン感じるわ！			なるほど……仕立てるのは難しそうだけど、こんな感じの復古主義的オシャレもいいわね。古代のロマンをビンビン感じるわ！			匠たちへの頼み							
この「霊妖花の若葉」を染料に、シックな濃紺に染めるっていうのも素敵よね！さっそく作業に取りかからせてもらうわ！			この「霊妖花の若葉」を染料に、シックな濃紺に染めるっていうのも素敵よね！さっそく作業に取りかからせてもらうわ！			匠たちへの頼み							
はぁ、はぁ、はぁ……で、できたわよ！			はぁ、はぁ、はぁ……で、できたわよ！			匠たちへの頼み							
私ったら、ガラにもなくハッスルしちゃったわ！そのぶんだけ、満足のいくデキに仕上がってるわよ。			私ったら、ガラにもなくハッスルしちゃったわ！そのぶんだけ、満足のいくデキに仕上がってるわよ。			匠たちへの頼み							
ただ、注意してほしいことがあるの。完成したのは脚衣だけ……あとは未完成よ。仕上げは、それぞれの専門家に任せたいの。			ただ、注意してほしいことがあるの。完成したのは脚衣だけ……あとは未完成よ。仕上げは、それぞれの専門家に任せたいの。			匠たちへの頼み							
制帽は、彫金師ギルドの「セレンディピティー」ちゃん。手袋は、革細工師ギルドの「ゲヴァ」ちゃん。ブーツは、同じく革細工師ギルドの「ベリ」ちゃんよ。			制帽は、彫金師ギルドの「セレンディピティー」ちゃん。手袋は、革細工師ギルドの「ゲヴァ」ちゃん。ブーツは、同じく革細工師ギルドの「ベリ」ちゃんよ。			匠たちへの頼み							
それぞれの専門家に、私が用意した「未完の学者装束」を渡せば仕上げてくれるわ。			それぞれの専門家に、私が用意した「未完の学者装束」を渡せば仕上げてくれるわ。			匠たちへの頼み							
全部完成したら、「アルカ・ゾルカ」ちゃんに着て見せてあげなさいよ。あの子も装束の完成を楽しみにしてるはずだからね。			全部完成したら、「アルカ・ゾルカ」ちゃんに着て見せてあげなさいよ。あの子も装束の完成を楽しみにしてるはずだからね。			匠たちへの頼み							
仕上げは、それぞれの専門家に任せたいの。			仕上げは、それぞれの専門家に任せたいの。			匠たちへの頼み							
制帽は、彫金師ギルドの「セレンディピティー」ちゃん。手袋は、革細工師ギルドの「ゲヴァ」ちゃん。ブーツは、同じく革細工師ギルドの「ベリ」ちゃんよ。			制帽は、彫金師ギルドの「セレンディピティー」ちゃん。手袋は、革細工師ギルドの「ゲヴァ」ちゃん。ブーツは、同じく革細工師ギルドの「ベリ」ちゃんよ。			匠たちへの頼み							
