剣術士ギルドのミラは何やら慌てているようだ。			剣術士ギルドのミラは何やら慌てているようだ。			ナルザルの双剣							
ミラさんは剣の達人で、なおかつ美人！ギルドみんなの憧れの存在なんですよぅ。さあ～、奥の稽古場にど～ぞですぅ！			ミラさんは剣の達人で、なおかつ美人！ギルドみんなの憧れの存在なんですよぅ。さあ～、奥の稽古場にど～ぞですぅ！			最強の剣術士							
話はルルツから聞いている。ほぉ、Forename Surnameというのか。いい名だな。			話はルルツから聞いている。ほぉ、Forename Surnameというのか。いい名だな。			最強の剣術士							
まずは剣術士ギルドの門戸を叩いたことを歓迎する。私はギルドマスターを務める「ミラ」だ。			まずは剣術士ギルドの門戸を叩いたことを歓迎する。私はギルドマスターを務める「ミラ」だ。			最強の剣術士							
数ある武器種の中で、お前があえて「剣」を選んだ理由……私はその理由を聞くつもりはない。だが、入門の前に、これだけは聞いておく。			数ある武器種の中で、お前があえて「剣」を選んだ理由……私はその理由を聞くつもりはない。だが、入門の前に、これだけは聞いておく。			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
「剣」は世界で最もシンプルな武器だ。だからといって、誰もが簡単に扱える武器だと思っていたら、それは大きな間違いだ。			「剣」は世界で最もシンプルな武器だ。だからといって、誰もが簡単に扱える武器だと思っていたら、それは大きな間違いだ。			最強の剣術士							
シンプルだからこそ、極めるべき剣の道は長く、険しい。生半可な覚悟では、決して進めぬ道だ。			シンプルだからこそ、極めるべき剣の道は長く、険しい。生半可な覚悟では、決して進めぬ道だ。			最強の剣術士							
それを承知で、剣の道へ踏み出す覚悟があるなら、私は、お前を歓迎しよう。どうだ？　剣術を極める覚悟はあるか？			それを承知で、剣の道へ踏み出す覚悟があるなら、私は、お前を歓迎しよう。どうだ？　剣術を極める覚悟はあるか？			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
剣術を極める覚悟がある？			剣術を極める覚悟がある？			最強の剣術士							
はい			はい			最強の剣術士							
いいえ			いいえ			最強の剣術士							
そうか……しかし、それもまたお前の進む道。お前の道が「剣」だと気づいたときには、いつでもギルドに来るがいい。			そうか……しかし、それもまたお前の進む道。お前の道が「剣」だと気づいたときには、いつでもギルドに来るがいい。			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
よろしい！　覚悟があるようだな。では、お前を剣術士ギルドの一員として迎えよう。			よろしい！　覚悟があるようだな。では、お前を剣術士ギルドの一員として迎えよう。			最強の剣術士							
さっそくだが、お前の素養を試させてもらう。剣の道を歩むに相応しいかどうかな。			さっそくだが、お前の素養を試させてもらう。剣の道を歩むに相応しいかどうかな。			最強の剣術士							
街の門を出たところにいる「マーモット」「ヒュージ・ホーネット」、「スナッピング・シュルー」を、3匹ずつ倒してこい。			街の門を出たところにいる「マーモット」「ヒュージ・ホーネット」、「スナッピング・シュルー」を、3匹ずつ倒してこい。			最強の剣術士							
まずは剣の扱いに慣れろ。すべてはそこからだ。			まずは剣の扱いに慣れろ。すべてはそこからだ。			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
帰ってきたか、Forename Surname。どうだ？　危うげなく魔物退治はできたか？			帰ってきたか、Forename Surname。どうだ？　危うげなく魔物退治はできたか？			最強の剣術士							
剣術士としての一歩を踏み出したお前に、この「討伐手帳」をくれてやる。			剣術士としての一歩を踏み出したお前に、この「討伐手帳」をくれてやる。			最強の剣術士							
「討伐手帳」には、修行に適した敵が記されている。これを指針に、これからも、ただひたむきに剣を振れ。そして場数を踏め。			「討伐手帳」には、修行に適した敵が記されている。これを指針に、これからも、ただひたむきに剣を振れ。そして場数を踏め。			最強の剣術士							
そして握った剣の柄が、手に馴染んだと感じたとき、またここに来るがいい。期待しているぞ、新入り！			そして握った剣の柄が、手に馴染んだと感じたとき、またここに来るがいい。期待しているぞ、新入り！			最強の剣術士							
「剣術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「剣術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			最強の剣術士							
剣術士ギルドの受付ルルツは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			剣術士ギルドの受付ルルツは、ギルドへの入門手続きをするにあたって、冒険者の心を確かめようとしているようだ。			最強の剣術士							
ルルツから、ギルドマスター「ミラ」に入門の意思を伝えるよう言われた。剣術士ギルドの稽古場にいる「ミラ」に声をかけてみよう。			ルルツから、ギルドマスター「ミラ」に入門の意思を伝えるよう言われた。剣術士ギルドの稽古場にいる「ミラ」に声をかけてみよう。			最強の剣術士							
剣術士ギルドマスターのミラから、ギルドの一員として剣術を学ぶことを許された冒険者。彼女から受けとった「ウェザードショートソード」を装備して、もう一度「ミラ」に声をかけよう。			剣術士ギルドマスターのミラから、ギルドの一員として剣術を学ぶことを許された冒険者。彼女から受けとった「ウェザードショートソード」を装備して、もう一度「ミラ」に声をかけよう。			最強の剣術士							
ミラと話す			ミラと話す			最強の剣術士							
はぁ～い、また声をかけてくれたってことは、「剣術士ギルド」への入門を決意したんですねぇ？			はぁ～い、また声をかけてくれたってことは、「剣術士ギルド」への入門を決意したんですねぇ？			最強の剣術士							
なぁ～んだ。ここで怖じ気づいちゃうなんて、期待はずれ～。			なぁ～んだ。ここで怖じ気づいちゃうなんて、期待はずれ～。			最強の剣術士							
でもまあ、一応、言っといてあげますねぇ。「ギルドの門戸はいつでも開いておりますので、　お心が決まりましたら、また声をおかけください」			でもまあ、一応、言っといてあげますねぇ。「ギルドの門戸はいつでも開いておりますので、　お心が決まりましたら、また声をおかけください」			最強の剣術士							
かしこまり～、新人一名様ご案内で～す！剣術士ギルドのギルドマスターは、「ミラ」さんっていうんですよぉ。			かしこまり～、新人一名様ご案内で～す！剣術士ギルドのギルドマスターは、「ミラ」さんっていうんですよぉ。			最強の剣術士							
ミラさんは剣の達人で、なおかつ美人！ギルドみんなの憧れの存在なんですよぅ。さあ～、奥の稽古場にど～ぞですぅ！			ミラさんは剣の達人で、なおかつ美人！ギルドみんなの憧れの存在なんですよぅ。さあ～、奥の稽古場にど～ぞですぅ！			最強の剣術士							
話はルルツから聞いている。ほぉ、Forename Surnameというのか。いい名だな。			話はルルツから聞いている。ほぉ、Forename Surnameというのか。いい名だな。			最強の剣術士							
まずは剣術士ギルドの門戸を叩いたことを歓迎する。私はギルドマスターを務める「ミラ」だ。			まずは剣術士ギルドの門戸を叩いたことを歓迎する。私はギルドマスターを務める「ミラ」だ。			最強の剣術士							
数ある武器種の中で、お前があえて「剣」を選んだ理由……私はその理由を聞くつもりはない。だが、入門の前に、これだけは聞いておく。			数ある武器種の中で、お前があえて「剣」を選んだ理由……私はその理由を聞くつもりはない。だが、入門の前に、これだけは聞いておく。			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
「剣」は世界で最もシンプルな武器だ。だからといって、誰もが簡単に扱える武器だと思っていたら、それは大きな間違いだ。			「剣」は世界で最もシンプルな武器だ。だからといって、誰もが簡単に扱える武器だと思っていたら、それは大きな間違いだ。			最強の剣術士							
シンプルだからこそ、極めるべき剣の道は長く、険しい。生半可な覚悟では、決して進めぬ道だ。			シンプルだからこそ、極めるべき剣の道は長く、険しい。生半可な覚悟では、決して進めぬ道だ。			最強の剣術士							
それを承知で、剣の道へ踏み出す覚悟があるなら、私は、お前を歓迎しよう。どうだ？　剣術を極める覚悟はあるか？			それを承知で、剣の道へ踏み出す覚悟があるなら、私は、お前を歓迎しよう。どうだ？　剣術を極める覚悟はあるか？			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
剣術を極める覚悟がある？			剣術を極める覚悟がある？			最強の剣術士							
はい			はい			最強の剣術士							
いいえ			いいえ			最強の剣術士							
そうか……しかし、それもまたお前の進む道。お前の道が「剣」だと気づいたときには、いつでもギルドに来るがいい。			そうか……しかし、それもまたお前の進む道。お前の道が「剣」だと気づいたときには、いつでもギルドに来るがいい。			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
よろしい！　覚悟があるようだな。では、お前を剣術士ギルドの一員として迎えよう。			よろしい！　覚悟があるようだな。では、お前を剣術士ギルドの一員として迎えよう。			最強の剣術士							
この「ウェザードショートソード」は、剣を志す者が最初に手にするに相応しい剣だ。			この「ウェザードショートソード」は、剣を志す者が最初に手にするに相応しい剣だ。			最強の剣術士							
フフ、私からの入門祝い……ってとこだな。さぁ、装備してみせろ。剣を腰に吊るして「剣術士」となる覚悟を示せ！			フフ、私からの入門祝い……ってとこだな。さぁ、装備してみせろ。剣を腰に吊るして「剣術士」となる覚悟を示せ！			最強の剣術士							
(CUT)			(CUT)			最強の剣術士							
新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			新しいクラスを修得しました！受け取った武器を装備することで、クラスチェンジができます。			最強の剣術士							
クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			クラスチェンジしたあとには、「ギアセット」を登録してみましょう！現在の装備が記録され、即座に着替えられるようになります。			最強の剣術士							
「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			「ギアセット」の登録は、装備変更と同じ「マイキャラクター」の画面から行えます。			最強の剣術士							
