バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
とはいえ、あくまで伝承上の存在だ。それが急に出てきても、はいそうですかって信じられるかよ！しかも、「星の意志」になろうとしてるだなんてさ……！			とはいえ、あくまで伝承上の存在だ。それが急に出てきても、はいそうですかって信じられるかよ！しかも、「星の意志」になろうとしてるだなんてさ……！			輝ける神域 アグライア							
ましてや、オレたちがここに来たのを見計らったように現れて、Forenameの存在を知っていた。その上、「支配されたくなければ力を示せ」だって？			ましてや、オレたちがここに来たのを見計らったように現れて、Forenameの存在を知っていた。その上、「支配されたくなければ力を示せ」だって？			輝ける神域 アグライア							
いや、おかしいだろ！何から何まで怪しすぎだ！			いや、おかしいだろ！何から何まで怪しすぎだ！			輝ける神域 アグライア							
怪しいが……十二神を自称する、見たこともない存在であることも、たしかだよな。			怪しいが……十二神を自称する、見たこともない存在であることも、たしかだよな。			輝ける神域 アグライア							
何と言う？			何と言う？			輝ける神域 アグライア							
挑めというなら、挑むのみ！			挑めというなら、挑むのみ！			輝ける神域 アグライア							
ガイウスが、十二神も蛮神だと話していた			ガイウスが、十二神も蛮神だと話していた			輝ける神域 アグライア							
また妙な事態に巻き込まれた気がする……			また妙な事態に巻き込まれた気がする……			輝ける神域 アグライア							
あんたって人は……。頼もしいよ、まったく。			あんたって人は……。頼もしいよ、まったく。			輝ける神域 アグライア							
ハイデリンやゾディアークだって、言ってしまえば蛮神だったわけだしな。ありえる話だとは思うが、今の段階では断言できない。			ハイデリンやゾディアークだって、言ってしまえば蛮神だったわけだしな。ありえる話だとは思うが、今の段階では断言できない。			輝ける神域 アグライア							
まあ、これも新たな冒険といえば……そう……かもな……？			まあ、これも新たな冒険といえば……そう……かもな……？			輝ける神域 アグライア							
いずれにせよ、星を征服するという言葉がもし本当だったら、エオルゼア全土に影響が及ぶかもしれない。			いずれにせよ、星を征服するという言葉がもし本当だったら、エオルゼア全土に影響が及ぶかもしれない。			輝ける神域 アグライア							
