シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
……そうは思えないのですが、あなたからも、質問してみてもらえませんか？			……そうは思えないのですが、あなたからも、質問してみてもらえませんか？			人気の秘訣を追え							
何と言う？			何と言う？			人気の秘訣を追え							
相手は、錬金薬や商人の事情に精通しているらしいが……			相手は、錬金薬や商人の事情に精通しているらしいが……			人気の秘訣を追え							
もしかして、関係者？			もしかして、関係者？			人気の秘訣を追え							
(-動揺した様子の商人-)わ、私が錬金薬を扱っているから、なんだというのです！この国に、商人はごまんといるじゃないですか！それだけでヴィラザーンと関係しているなど、決めつけて……。			(-動揺した様子の商人-)わ、私が錬金薬を扱っているから、なんだというのです！この国に、商人はごまんといるじゃないですか！それだけでヴィラザーンと関係しているなど、決めつけて……。			人気の秘訣を追え							
(-動揺した様子の商人-)と、突然、失敬な質問ですね！私がヴィラザーンと関係しているなど、酷い決めつけを……。			(-動揺した様子の商人-)と、突然、失敬な質問ですね！私がヴィラザーンと関係しているなど、酷い決めつけを……。			人気の秘訣を追え							
あの……「ヴィラザーン」とは誰のことですか？もしかして、ジャスティス・Ｒの本名……？			あの……「ヴィラザーン」とは誰のことですか？もしかして、ジャスティス・Ｒの本名……？			人気の秘訣を追え							
(-動揺した様子の商人-)そ、それは……ちょっと勘違いを……つまり、その……。			(-動揺した様子の商人-)そ、それは……ちょっと勘違いを……つまり、その……。			人気の秘訣を追え							
(-ヴィラザーンの父-)いえ、これ以上取り繕うのは無理ですね。ここでジャスティス・Ｒ……息子「ヴィラザーン」について、尋ねられるなど思っておらず、動揺してしまいました。			(-ヴィラザーンの父-)いえ、これ以上取り繕うのは無理ですね。ここでジャスティス・Ｒ……息子「ヴィラザーン」について、尋ねられるなど思っておらず、動揺してしまいました。			人気の秘訣を追え							
息子って……！じゃあ、魔物を生み出す錬金薬や、商人たちの情報を、彼に渡していたのは、あなたなんですか！？			息子って……！じゃあ、魔物を生み出す錬金薬や、商人たちの情報を、彼に渡していたのは、あなたなんですか！？			人気の秘訣を追え							
(-ヴィラザーンの父-)はい、間違いありません。渡したというより、奪われたというほうが正しいですが、それを隠していた時点で、同じことでしょうから。			(-ヴィラザーンの父-)はい、間違いありません。渡したというより、奪われたというほうが正しいですが、それを隠していた時点で、同じことでしょうから。			人気の秘訣を追え							
……ジャスティス・Ｒのことを教えてくれますか？			……ジャスティス・Ｒのことを教えてくれますか？			人気の秘訣を追え							
