トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トライヨラの武の院のマムージャ族は、冒険者のことを探しているようだ。			トラル大陸のモブハント（初級）							
急用でもあるんかいの？ほいじゃあ、わしゃ「満ちた玄関」で待っとるけえ、用事が済んだら声かけんしゃい。			急用でもあるんかいの？ほいじゃあ、わしゃ「満ちた玄関」で待っとるけえ、用事が済んだら声かけんしゃい。			はらへり旅情：立志篇							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			はらへり旅情：立志篇							
ほいじゃあ、はらへりの民にモロコシ届けに行くでの。ヒトに己の実を割いて食ってもらうんは久しぶりじゃけぇ、ぶち楽しみじゃ！			ほいじゃあ、はらへりの民にモロコシ届けに行くでの。ヒトに己の実を割いて食ってもらうんは久しぶりじゃけぇ、ぶち楽しみじゃ！			はらへり旅情：立志篇							
ほいじゃあ、ちと向こうで話すかの！			ほいじゃあ、ちと向こうで話すかの！			はらへり旅情：立志篇							
ひとりではモロコシ料理を渡せない。モロコシ様が近くにいる状態で話しかけよう。			ひとりではモロコシ料理を渡せない。モロコシ様が近くにいる状態で話しかけよう。			はらへり旅情：立志篇							
ひとりではモロコシ料理を渡せない。モロコシ様を同行させてこよう。			ひとりではモロコシ料理を渡せない。モロコシ様を同行させてこよう。			はらへり旅情：立志篇							
ハァ……なにもかも上手くいかない。まともに飯も食えなくなるなんて……。			ハァ……なにもかも上手くいかない。まともに飯も食えなくなるなんて……。			はらへり旅情：立志篇							
はらへりの匂いがするでの！おぬし、わしの実をこんがり焼き上げた「焼きモロコシ」を、この男に渡すんじゃ！			はらへりの匂いがするでの！おぬし、わしの実をこんがり焼き上げた「焼きモロコシ」を、この男に渡すんじゃ！			はらへり旅情：立志篇							
えっ、この「焼きモロコシ」を僕に……？			えっ、この「焼きモロコシ」を僕に……？			はらへり旅情：立志篇							
うぅ、田舎から街に出てきて、ようやく見つけた仕事もクビになって滅入ってたけど……この香ばしい匂いと甘みに、なんだか癒やされた気分だよ。			うぅ、田舎から街に出てきて、ようやく見つけた仕事もクビになって滅入ってたけど……この香ばしい匂いと甘みに、なんだか癒やされた気分だよ。			はらへり旅情：立志篇							
ありがとう、見知らぬ人。こんな僕にも優しくしてくれる人がいると知れたら、頑張れる気がしてきた……よーし、やってやるぞぉ！			ありがとう、見知らぬ人。こんな僕にも優しくしてくれる人がいると知れたら、頑張れる気がしてきた……よーし、やってやるぞぉ！			はらへり旅情：立志篇							
寂しいわ……。食べ物が喉を通らないくらいに……。			寂しいわ……。食べ物が喉を通らないくらいに……。			はらへり旅情：立志篇							
はらへりの匂いがするでの！おぬし、わしの実をこんがり焼き上げた「焼きモロコシ」を、この老婆に渡すんじゃ！			はらへりの匂いがするでの！おぬし、わしの実をこんがり焼き上げた「焼きモロコシ」を、この老婆に渡すんじゃ！			はらへり旅情：立志篇							
あら、いい香りの「焼きモロコシ」ね……。なんだか、若い頃に夫とふたりで食べたのを思い出すわ。			あら、いい香りの「焼きモロコシ」ね……。なんだか、若い頃に夫とふたりで食べたのを思い出すわ。			はらへり旅情：立志篇							
私ね、夫に先立たれた寂しさで、ここ数日、まともに食事も摂れていなかったの……。でも、こんな状態は、あの人も望まないわよね？			私ね、夫に先立たれた寂しさで、ここ数日、まともに食事も摂れていなかったの……。でも、こんな状態は、あの人も望まないわよね？			はらへり旅情：立志篇							
大事なことを思い出させてくれて、ありがとう。夫が心配せずに眠れるように、しっかり生きてみるわ。			大事なことを思い出させてくれて、ありがとう。夫が心配せずに眠れるように、しっかり生きてみるわ。			はらへり旅情：立志篇							
