トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
なるほど、「機械遺跡」とやらに入れてもらえなかった、と。そこでいったいどんな資源が発掘できるんだろう……。ともあれ、ご苦労だった。これはお礼だ。			なるほど、「機械遺跡」とやらに入れてもらえなかった、と。そこでいったいどんな資源が発掘できるんだろう……。ともあれ、ご苦労だった。これはお礼だ。			コメラの村の噂							
人間、忙しくしてるのが一番だ。ヒマだとロクな事考えやしねぇからな。			人間、忙しくしてるのが一番だ。ヒマだとロクな事考えやしねぇからな。			コメラの村の噂							
ここは立ち入り禁止だよ。はぁ……カネが欲しいなあ。			ここは立ち入り禁止だよ。はぁ……カネが欲しいなあ。			コメラの村の噂							
コメラの村のドワーフ族の親方は、誰かを探しているようだ。			コメラの村のドワーフ族の親方は、誰かを探しているようだ。			閉ざされた扉の向こう							
ドワーフ族の親方と話した。アノッグとコノッグが、よからぬことを企んでいないかと、心配しているようだ。コルシア島のドヴェルガル山脈にいる「アノッグ」と話そう。			ドワーフ族の親方と話した。アノッグとコノッグが、よからぬことを企んでいないかと、心配しているようだ。コルシア島のドヴェルガル山脈にいる「アノッグ」と話そう。			閉ざされた扉の向こう							
アノッグと話した。アノッグは、遺跡の秘密を解き明かすため、遺跡内部へと入って行った。機械遺跡の坑道へ入り、アノッグの後を追おう。			アノッグと話した。アノッグは、遺跡の秘密を解き明かすため、遺跡内部へと入って行った。機械遺跡の坑道へ入り、アノッグの後を追おう。			閉ざされた扉の向こう							
遺跡の内部に入り込むと、女性が見慣れない機械に襲われていた。２Ｐと名乗る女性は、自身を襲った機械のことを「機械生命体」と呼んだ。遺跡の奥を目指そうとする２Ｐに、双子たちは強く惹かれてしまったようだ。機械遺跡の坑道の「アノッグ」と話そう。			遺跡の内部に入り込むと、女性が見慣れない機械に襲われていた。２Ｐと名乗る女性は、自身を襲った機械のことを「機械生命体」と呼んだ。遺跡の奥を目指そうとする２Ｐに、双子たちは強く惹かれてしまったようだ。機械遺跡の坑道の「アノッグ」と話そう。			閉ざされた扉の向こう							
アノッグと話した。２Ｐやアノッグ、コノッグとともに、遺跡の内部へと向かうことになった。「複製サレタ工場廃墟」を攻略し、遺跡の謎を解き明かそう。※コンテンツファインダーから攻略に参加できます。			アノッグと話した。２Ｐやアノッグ、コノッグとともに、遺跡の内部へと向かうことになった。「複製サレタ工場廃墟」を攻略し、遺跡の謎を解き明かそう。※コンテンツファインダーから攻略に参加できます。			閉ざされた扉の向こう							
「複製サレタ工場廃墟」を攻略した。機械遺跡の坑道に戻ろう。			「複製サレタ工場廃墟」を攻略した。機械遺跡の坑道に戻ろう。			閉ざされた扉の向こう							
遺跡の最奥部で、２Ｐが黒ずくめの服装の少年に襲われるも、これを撃退した。機械遺跡の坑道の「コノッグ」と話そう。			遺跡の最奥部で、２Ｐが黒ずくめの服装の少年に襲われるも、これを撃退した。機械遺跡の坑道の「コノッグ」と話そう。			閉ざされた扉の向こう							
コノッグと話した。２Ｐによると、２Ｐと機械生命体を操っていた少年は、自動歩兵人形、アンドロイドであるという。遺跡を狙うアンドロイドたちが、村の近くまで押し寄せてくれば、村人たちの身に危険が及んでしまう。２Ｐは、そうなる前に、遺跡内部にあるという、「アンドロイドに対抗する鍵」を手に入れるよう言い残して、活動を停止してしまった。機械遺跡の坑道の「アノッグ」と話そう。			コノッグと話した。２Ｐによると、２Ｐと機械生命体を操っていた少年は、自動歩兵人形、アンドロイドであるという。遺跡を狙うアンドロイドたちが、村の近くまで押し寄せてくれば、村人たちの身に危険が及んでしまう。２Ｐは、そうなる前に、遺跡内部にあるという、「アンドロイドに対抗する鍵」を手に入れるよう言い残して、活動を停止してしまった。機械遺跡の坑道の「アノッグ」と話そう。			閉ざされた扉の向こう							
