先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
最近は、冒険者の数も増えてきたから、手紙の量も多くなったんだろう？たまに間違えるのも無理ないさ！			最近は、冒険者の数も増えてきたから、手紙の量も多くなったんだろう？たまに間違えるのも無理ないさ！			配達士は突然に							
それに、俺宛ての手紙なら、ちゃんと受け取ったぞ。この冒険者が、届けてくれたんだ。			それに、俺宛ての手紙なら、ちゃんと受け取ったぞ。この冒険者が、届けてくれたんだ。			配達士は突然に							
よかったクポ～！！冒険者さんは「配達士」の才能があるクポね！			よかったクポ～！！冒険者さんは「配達士」の才能があるクポね！			配達士は突然に							
冒険者さん、はじめまして、ありがとうクポ。いつでもどこでも誰にでも、ちゃっちゃか手紙をお届けする、レターモーグリとは、モグのことクポ！			冒険者さん、はじめまして、ありがとうクポ。いつでもどこでも誰にでも、ちゃっちゃか手紙をお届けする、レターモーグリとは、モグのことクポ！			配達士は突然に							
思い返すは5年前……空からお星さまが降ってきて、それはもう大変なことになったクポ。			思い返すは5年前……空からお星さまが降ってきて、それはもう大変なことになったクポ。			配達士は突然に							
エーテライトもリンクシェルもみんな使えなくなって大混乱だったクポ。			エーテライトもリンクシェルもみんな使えなくなって大混乱だったクポ。			配達士は突然に							
そんなとき、カヌ・エ様に頼まれて、モグがみんなに大切なお手紙を届けたクポ。			そんなとき、カヌ・エ様に頼まれて、モグがみんなに大切なお手紙を届けたクポ。			配達士は突然に							
森を出て見知らぬ土地を飛び回るのは怖かったけど、いつの間にか、旅のミリョクの虜になってしまったクポ！そこでモグは、「配達士」になったクポ！			森を出て見知らぬ土地を飛び回るのは怖かったけど、いつの間にか、旅のミリョクの虜になってしまったクポ！そこでモグは、「配達士」になったクポ！			配達士は突然に							
はっ……！！もしよかったら、冒険者さんも「配達士」になって、モグのお仕事を手伝ってみないクポ？			はっ……！！もしよかったら、冒険者さんも「配達士」になって、モグのお仕事を手伝ってみないクポ？			配達士は突然に							
「配達士」になりますか？			「配達士」になりますか？			配達士は突然に							
はい			はい			配達士は突然に							
いいえ			いいえ			配達士は突然に							
それは認められないクポ！エオルゼア中の人とお話しできるステキなお仕事クポ。とにかく、今からモグが「配達士」の先輩クポ！			それは認められないクポ！エオルゼア中の人とお話しできるステキなお仕事クポ。とにかく、今からモグが「配達士」の先輩クポ！			配達士は突然に							
よくぞいってくれたクポ！じゃあ今から、モグが「配達士」の先輩クポ！			よくぞいってくれたクポ！じゃあ今から、モグが「配達士」の先輩クポ！			配達士は突然に							
(-先輩レターモーグリ-)今後、「配達士」の仕事を任せるときは、モグは先輩として接するから覚悟するクポ！何事も、ケジメが大切クポ！			(-先輩レターモーグリ-)今後、「配達士」の仕事を任せるときは、モグは先輩として接するから覚悟するクポ！何事も、ケジメが大切クポ！			配達士は突然に							
(-先輩レターモーグリ-)後輩君に「配達士」の仕事の依頼や指導があるときは、この場所にモグがいるクポ！見かけたら、必ず声をかけるクポ！			(-先輩レターモーグリ-)後輩君に「配達士」の仕事の依頼や指導があるときは、この場所にモグがいるクポ！見かけたら、必ず声をかけるクポ！			配達士は突然に							
(-先輩レターモーグリ-)普通のヒトは、モーグリ族の姿が見えないクポ！その点、後輩君みたいに魔法の才能があるヒトは、いつでもモグを見つけられるから楽ちんクポ！			(-先輩レターモーグリ-)普通のヒトは、モーグリ族の姿が見えないクポ！その点、後輩君みたいに魔法の才能があるヒトは、いつでもモグを見つけられるから楽ちんクポ！			配達士は突然に							
(-先輩レターモーグリ-)さあ、これで配達士の最初の指導は終わりクポ！さっそく「配達士」の初仕事に取り組むクポ～！			(-先輩レターモーグリ-)さあ、これで配達士の最初の指導は終わりクポ！さっそく「配達士」の初仕事に取り組むクポ～！			配達士は突然に							
