リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
それにしても驚いたのは、ふたりの方よ。一座を離れた少しの間に、私の予想を遥かに超えて成長していた。助太刀なんて必要なかったかしら……。			それにしても驚いたのは、ふたりの方よ。一座を離れた少しの間に、私の予想を遥かに超えて成長していた。助太刀なんて必要なかったかしら……。			至上の舞を披露せよ							
(-？？？？-)弟子だけに責任を押し付けまいと訓練してきたのに、また差をつけられちゃったわね、ナシュメラ。			(-？？？？-)弟子だけに責任を押し付けまいと訓練してきたのに、また差をつけられちゃったわね、ナシュメラ。			至上の舞を披露せよ							
冗談でしょう、ラミン。弟子の成長に嫉妬するほど、野暮じゃないわよ。誇らしくって……ちょっと寂しい、ってところかしらね。			冗談でしょう、ラミン。弟子の成長に嫉妬するほど、野暮じゃないわよ。誇らしくって……ちょっと寂しい、ってところかしらね。			至上の舞を披露せよ							
Forename、ナシュメラから、あなたの名前を聞いたときは、言葉に詰まったわ。縁は奇なもの……こんなところで会うなんて。			Forename、ナシュメラから、あなたの名前を聞いたときは、言葉に詰まったわ。縁は奇なもの……こんなところで会うなんて。			至上の舞を披露せよ							
ほら、ウルダハでの騒乱を覚えている？あのとき、身を隠すべくサベネア島に身を寄せていたときに、ナシュメラと知り合ったの。			ほら、ウルダハでの騒乱を覚えている？あのとき、身を隠すべくサベネア島に身を寄せていたときに、ナシュメラと知り合ったの。			至上の舞を披露せよ							
私も、若い頃は踊りを嗜んだ身。出会ってすぐに、ナシュメラとは意気投合したわ。その縁で、彼女たちのエオルゼア巡業にも協力していたの。			私も、若い頃は踊りを嗜んだ身。出会ってすぐに、ナシュメラとは意気投合したわ。その縁で、彼女たちのエオルゼア巡業にも協力していたの。			至上の舞を披露せよ							
でもまさか、あなたがラミンの大事な人の仲間だったなんて。私たちに手を貸してくれたように、ほかでも、様々な人に手を差し伸べてきたのね。			でもまさか、あなたがラミンの大事な人の仲間だったなんて。私たちに手を貸してくれたように、ほかでも、様々な人に手を差し伸べてきたのね。			至上の舞を披露せよ							
本当に……キミがいたから、私も成長できたんだよ。キミの舞を観ていると、胸が熱くなって……観衆だけでなく、私まで勇気をもらえたんだ。			本当に……キミがいたから、私も成長できたんだよ。キミの舞を観ていると、胸が熱くなって……観衆だけでなく、私まで勇気をもらえたんだ。			至上の舞を披露せよ							
見覚えのある顔だと思ったら……やはりお前か。			見覚えのある顔だと思ったら……やはりお前か。			至上の舞を披露せよ							
解放者が旅の一座に混じって、舞い踊るとは思いもよらなんだ。……素晴らしい公演を観せていただいたよ。			解放者が旅の一座に混じって、舞い踊るとは思いもよらなんだ。……素晴らしい公演を観せていただいたよ。			至上の舞を披露せよ							
この地に、外の世界の風を吹き込んでくださったこと、感謝する。魔物を呼び寄せ、武の舞踏で倒すという演出も見事だった。いやはや、大した礼もできず申し訳ない……。			この地に、外の世界の風を吹き込んでくださったこと、感謝する。魔物を呼び寄せ、武の舞踏で倒すという演出も見事だった。いやはや、大した礼もできず申し訳ない……。			至上の舞を披露せよ							
なーに！　みんなが喜んでくれたことが、一番の報酬だよ。礼ということなら、アラミゴがもっと元気になったとき、また、ファルシャム一座を呼んでくれると嬉しいな！			なーに！　みんなが喜んでくれたことが、一番の報酬だよ。礼ということなら、アラミゴがもっと元気になったとき、また、ファルシャム一座を呼んでくれると嬉しいな！			至上の舞を披露せよ							
ふふ……こちらこそ、お願いさせていただきたい。ファルシャム一座の再演が観られるその日まで、我らも懸命に生きていかなくてはな。			ふふ……こちらこそ、お願いさせていただきたい。ファルシャム一座の再演が観られるその日まで、我らも懸命に生きていかなくてはな。			至上の舞を披露せよ							
