弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			弓術士ギルドマスター、ルシアヌの周囲で、何やら揉め事があるようだが……。			迷い無き瞳							
弓術でスクウィレルを討伐			弓術でスクウィレルを討伐			弛みなき弦							
弓術でレディバグを討伐			弓術でレディバグを討伐			弛みなき弦							
弓術でフォレストファンガーを討伐			弓術でフォレストファンガーを討伐			弛みなき弦							
弓術士ギルドのルシアヌに報告			弓術士ギルドのルシアヌに報告			弛みなき弦							
弓をきちんと装備できたかしら？うん、よく似合っているわね。			弓をきちんと装備できたかしら？うん、よく似合っているわね。			弛みなき弦							
さて、Forename Surname。あなたを弓術士ギルドの一員として認めるために、ひとつ「試練」を与えます。			さて、Forename Surname。あなたを弓術士ギルドの一員として認めるために、ひとつ「試練」を与えます。			弛みなき弦							
都市を出てすぐの場所にいる、「スクウィレル」、「レディバグ」、そして「フォレストファンガー」。これらの魔物を、3体ずつ倒してみせて。			都市を出てすぐの場所にいる、「スクウィレル」、「レディバグ」、そして「フォレストファンガー」。これらの魔物を、3体ずつ倒してみせて。			弛みなき弦							
この試練をこなして、あなたがギルドの一員となるに相応しい力を持っていることを、証明してほしいの。			この試練をこなして、あなたがギルドの一員となるに相応しい力を持っていることを、証明してほしいの。			弛みなき弦							
もちろん、その「弓」を使って、よ。すべての魔物を倒せたら、ここへ戻ってきて。			もちろん、その「弓」を使って、よ。すべての魔物を倒せたら、ここへ戻ってきて。			弛みなき弦							
では、行きなさい。健闘を祈っているわ。			では、行きなさい。健闘を祈っているわ。			弛みなき弦							
おかえりなさい。どうやら無事、魔物を倒せたみたいね。			おかえりなさい。どうやら無事、魔物を倒せたみたいね。			弛みなき弦							
いいでしょう。あなたの力と、誠実な姿勢を認め……我が弓術士ギルドの一員となることを許します。			いいでしょう。あなたの力と、誠実な姿勢を認め……我が弓術士ギルドの一員となることを許します。			弛みなき弦							
弓術士Forename Surname、弓を引くものとして、共に高みを目指しましょう。あらためて、よろしくね。			弓術士Forename Surname、弓を引くものとして、共に高みを目指しましょう。あらためて、よろしくね。			弛みなき弦							
ギルドの一員になったとは言え、何もかもを教えては、あなたの弓は育たない。まずは、自分の目で道を見つけて歩むこと。			ギルドの一員になったとは言え、何もかもを教えては、あなたの弓は育たない。まずは、自分の目で道を見つけて歩むこと。			弛みなき弦							
あなたが今すべきことは、技の意味を考えながら、丁寧に矢を放つことよ。その一矢が、あなたの一歩だと思って、大切に。			あなたが今すべきことは、技の意味を考えながら、丁寧に矢を放つことよ。その一矢が、あなたの一歩だと思って、大切に。			弛みなき弦							
鍛錬を積み、弓を引くものとして、あなたの目が開き始めた頃、また会いましょう。その時を、楽しみに待っているわね。			鍛錬を積み、弓を引くものとして、あなたの目が開き始めた頃、また会いましょう。その時を、楽しみに待っているわね。			弛みなき弦							
「弓術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			「弓術士」のクラスクエストが開始されました。次のクエストは「レベル5」以上で受注可能になります。レベルを上げ、再度ギルドを訪れてください。			弛みなき弦							
