アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			アゴラの大繁盛商店の新人店員は、呼び込みをしているようだ。			出航！ いざ、無人島へ！							
っつーか、頭目を継ぐ継がねぇって話なら、お前んとこの方が厄介だろうが、お貴族様よ。			っつーか、頭目を継ぐ継がねぇって話なら、お前んとこの方が厄介だろうが、お貴族様よ。			珍客？ エンジョイ野郎ども							
オレは所詮、次男坊ですし？兄貴の温情で所領に置いてもらうか、何か功績を挙げて独立するか、ふたつにひとつだな。			オレは所詮、次男坊ですし？兄貴の温情で所領に置いてもらうか、何か功績を挙げて独立するか、ふたつにひとつだな。			珍客？ エンジョイ野郎ども							
無論、最後まで前者に甘んじるつもりはないぜ！身を立てる方法は未定だが、人脈だけは隙あらば広げてるところだ！			無論、最後まで前者に甘んじるつもりはないぜ！身を立てる方法は未定だが、人脈だけは隙あらば広げてるところだ！			珍客？ エンジョイ野郎ども							
何と言う？			何と言う？			珍客？ エンジョイ野郎ども							
いっそ手を組んでみれば？			いっそ手を組んでみれば？			珍客？ エンジョイ野郎ども							
まあ、なるようになる			まあ、なるようになる			珍客？ エンジョイ野郎ども							
んー……これまでどおりの海賊だったら願い下げだが……			んー……これまでどおりの海賊だったら願い下げだが……			珍客？ エンジョイ野郎ども							
お前、新しい海賊になるんだろ？なら確かに、面白いことができるかもしれないよな！			お前、新しい海賊になるんだろ？なら確かに、面白いことができるかもしれないよな！			珍客？ エンジョイ野郎ども							
顔が広くて情報通なオレ様が代表兼参謀！組織力があって、海上では誰より自由な海賊たちが実行部隊！んで世界を股にかけたビッグビジネスを成功させる！			顔が広くて情報通なオレ様が代表兼参謀！組織力があって、海上では誰より自由な海賊たちが実行部隊！んで世界を股にかけたビッグビジネスを成功させる！			珍客？ エンジョイ野郎ども							
展望がざっくりしすぎだろ。……代表をオレに変えるところからやり直しだな。			展望がざっくりしすぎだろ。……代表をオレに変えるところからやり直しだな。			珍客？ エンジョイ野郎ども							
そのとおり！オレたちは世界の危機だって乗り越えたんだ。あとはもう……何だってどうにかなる！			そのとおり！オレたちは世界の危機だって乗り越えたんだ。あとはもう……何だってどうにかなる！			珍客？ エンジョイ野郎ども							
お気楽な奴……。一瞬でも気を遣ってやって損したぜ。			お気楽な奴……。一瞬でも気を遣ってやって損したぜ。			珍客？ エンジョイ野郎ども							
何にせよ、明日の話はまた明日だ。今はこの島を堪能させてもらうとするぜ。			何にせよ、明日の話はまた明日だ。今はこの島を堪能させてもらうとするぜ。			珍客？ エンジョイ野郎ども							
島内をもっと探索するのはもちろん、ただのんびり過ごすのもよさそうだよな！オノロワたちも、もうすぐ合流してくるだろうし。			島内をもっと探索するのはもちろん、ただのんびり過ごすのもよさそうだよな！オノロワたちも、もうすぐ合流してくるだろうし。			珍客？ エンジョイ野郎ども							
よぉし……楽しみ倒すぜ、野郎ども！			よぉし……楽しみ倒すぜ、野郎ども！			珍客？ エンジョイ野郎ども							
Forenameさん！とっても充実したひとときでっしたね！			Forenameさん！とっても充実したひとときでっしたね！			珍客？ エンジョイ野郎ども							
みなさんは、帰り支度をしていらっしゃいまっす。そろそろこちらに戻ってくるはずでっすが……。			みなさんは、帰り支度をしていらっしゃいまっす。そろそろこちらに戻ってくるはずでっすが……。			珍客？ エンジョイ野郎ども							
待たせたな！忘れ物も多分ナシだぜ！			待たせたな！忘れ物も多分ナシだぜ！			珍客？ エンジョイ野郎ども							
何と言う？			何と言う？			珍客？ エンジョイ野郎ども							
この島はどうだった？			この島はどうだった？			珍客？ エンジョイ野郎ども							
楽しく過ごせた？			楽しく過ごせた？			珍客？ エンジョイ野郎ども							
そりゃあもちろん、最高だったぜ！			そりゃあもちろん、最高だったぜ！			珍客？ エンジョイ野郎ども							
もちろん！想像してたより、10倍も100倍も楽しかったぜ！			もちろん！想像してたより、10倍も100倍も楽しかったぜ！			珍客？ エンジョイ野郎ども							
未開拓の地だったらここまで快適に過ごせなかったし、人が集まる都市内じゃ、こんな解放感は味わえなかった。			未開拓の地だったらここまで快適に過ごせなかったし、人が集まる都市内じゃ、こんな解放感は味わえなかった。			珍客？ エンジョイ野郎ども							
うん、いい島だ！誰も彼もに自慢したくなるくらいにな！			うん、いい島だ！誰も彼もに自慢したくなるくらいにな！			珍客？ エンジョイ野郎ども							
エマネラン様、忘れないうちに例のものを……。			エマネラン様、忘れないうちに例のものを……。			珍客？ エンジョイ野郎ども							
っと、そうだった。			っと、そうだった。			珍客？ エンジョイ野郎ども							
オレが着てる、この旅装……手土産にと思って、お前用にも仕立ててもらったんだよ。			オレが着てる、この旅装……手土産にと思って、お前用にも仕立ててもらったんだよ。			珍客？ エンジョイ野郎ども							
ここからまた世界へ旅立つときにでも使ってくれ！			ここからまた世界へ旅立つときにでも使ってくれ！			珍客？ エンジョイ野郎ども							
おかげさまで、うちの連中にもいい報告ができそうだ。ありがとよ、Forename。			おかげさまで、うちの連中にもいい報告ができそうだ。ありがとよ、Forename。			珍客？ エンジョイ野郎ども							
波の音だけを聞きながら過ごすのも乙なもんだが、島に賑わいがほしくなったら、いつでも声をかけてくれや。			波の音だけを聞きながら過ごすのも乙なもんだが、島に賑わいがほしくなったら、いつでも声をかけてくれや。			珍客？ エンジョイ野郎ども							
断罪党が、飲めや歌えの大騒ぎに駆けつけるぜ？とびっきりの酒を持ってな！			断罪党が、飲めや歌えの大騒ぎに駆けつけるぜ？とびっきりの酒を持ってな！			珍客？ エンジョイ野郎ども							
ではでは、みなさんをお送りしてきまっす！お付き合いいただき感謝でっす！			ではでは、みなさんをお送りしてきまっす！お付き合いいただき感謝でっす！			珍客？ エンジョイ野郎ども							
