宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
……ですが、学院長が不在の上に、予期せぬ事件が発生しまして、その対応に追われている状況なのです。			……ですが、学院長が不在の上に、予期せぬ事件が発生しまして、その対応に追われている状況なのです。			天に選ばれし特別顧問							
こちらの都合で、無駄足を踏ませてしまったのですから、事情を説明せねばなりませんね……。			こちらの都合で、無駄足を踏ませてしまったのですから、事情を説明せねばなりませんね……。			天に選ばれし特別顧問							
Forenameさんは、「聖バルロアイアン像」をご存知ですか？ええ、下層の広場にある頭部が欠けた竜騎士像です。			Forenameさんは、「聖バルロアイアン像」をご存知ですか？ええ、下層の広場にある頭部が欠けた竜騎士像です。			天に選ばれし特別顧問							
かの石像の頭部を、奉仕活動の一環として、神学生たちの手で修復していたのですが……これが何者かによって、盗まれてしまったのですよ。			かの石像の頭部を、奉仕活動の一環として、神学生たちの手で修復していたのですが……これが何者かによって、盗まれてしまったのですよ。			天に選ばれし特別顧問							
そして、このぼくが、その盗難事件捜査の依頼を請け負った……神学院の臨時顧問、兼、事件屋のブリアルディアンだ。			そして、このぼくが、その盗難事件捜査の依頼を請け負った……神学院の臨時顧問、兼、事件屋のブリアルディアンだ。			天に選ばれし特別顧問							
なっ！　なんと、こんなところで再会するとは！話に聞いた神学生の恩人とは、君だったか！？			なっ！　なんと、こんなところで再会するとは！話に聞いた神学生の恩人とは、君だったか！？			天に選ばれし特別顧問							
おや……我が甥、ブリアルディアンと知り合いであったのですか？			おや……我が甥、ブリアルディアンと知り合いであったのですか？			天に選ばれし特別顧問							
ええ、叔父上、このForenameとは、以前にとある事件の捜査で協力したことがあってね。			ええ、叔父上、このForenameとは、以前にとある事件の捜査で協力したことがあってね。			天に選ばれし特別顧問							
そうだ！叔父上、彼女彼は、非常に優秀な冒険者だ。ぼくの助手……特別顧問として迎えたいが、いかがだろう。			そうだ！叔父上、彼女彼は、非常に優秀な冒険者だ。ぼくの助手……特別顧問として迎えたいが、いかがだろう。			天に選ばれし特別顧問							
……むぅ、神学院の危機を打破するために、すでに、無理を押してお前を招聘している。さらなる部外者を神学院に関わらせるわけには……。			……むぅ、神学院の危機を打破するために、すでに、無理を押してお前を招聘している。さらなる部外者を神学院に関わらせるわけには……。			天に選ばれし特別顧問							
