石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			石の家のウヌクアルハイは、冒険者に蛮神問題に関する依頼をしたいようだ。			極まりし雲神ビスマルク							
さて、僕はこのまま「石の家」に残り、ウリエンジェと協力して「三闘神」について調べておきます。何かあればお声がけします……また、お会いしましょう。			さて、僕はこのまま「石の家」に残り、ウリエンジェと協力して「三闘神」について調べておきます。何かあればお声がけします……また、お会いしましょう。			極まりし武神ラーヴァナ							
石の家のウヌクアルハイは、「三闘神」討滅計画の始動を告げようとしている。			石の家のウヌクアルハイは、「三闘神」討滅計画の始動を告げようとしている。			昏き微睡みの果つる刻							
古代アラグ帝国が魔大陸アジス・ラーに封じた蛮神「三闘神」の討滅計画が始動した。「暁の血盟」の協力のもと、まずは魔神「セフィロト」を滅するという。アジス・ラー旗艦島にいる「ウヌクアルハイ」と合流しよう。			古代アラグ帝国が魔大陸アジス・ラーに封じた蛮神「三闘神」の討滅計画が始動した。「暁の血盟」の協力のもと、まずは魔神「セフィロト」を滅するという。アジス・ラー旗艦島にいる「ウヌクアルハイ」と合流しよう。			昏き微睡みの果つる刻							
ウヌクアルハイと合流した。「暁の血盟」からウリエンジェ、ヤ・シュトラ、クルルが駆けつけ、討滅の準備が整った。仲間とともに、微睡みから目覚めつつある魔神「セフィロト」を倒そう！※コンテンツファインダーから攻略に参加できます。			ウヌクアルハイと合流した。「暁の血盟」からウリエンジェ、ヤ・シュトラ、クルルが駆けつけ、討滅の準備が整った。仲間とともに、微睡みから目覚めつつある魔神「セフィロト」を倒そう！※コンテンツファインダーから攻略に参加できます。			昏き微睡みの果つる刻							
魔神「セフィロト」を討滅した。アジス・ラー旗艦島に戻ろう。			魔神「セフィロト」を討滅した。アジス・ラー旗艦島に戻ろう。			昏き微睡みの果つる刻							
アジス・ラー旗艦島に戻った。石の家の「ウヌクアルハイ」と話そう。			アジス・ラー旗艦島に戻った。石の家の「ウヌクアルハイ」と話そう。			昏き微睡みの果つる刻							
ウヌクアルハイと話した。魔大陸に封じられた「三闘神」は、残り二柱。アラグの蛮神制御技術が、ガレマール帝国の手に落ちぬよう、引き続き討滅計画に協力していこう。ウヌクアルハイは、「暁」とは異なる勢力の介入もほのめかしているが、クルルはこの少年の、内に秘めた想いを引き出したいと考えはじめたようだ。			ウヌクアルハイと話した。魔大陸に封じられた「三闘神」は、残り二柱。アラグの蛮神制御技術が、ガレマール帝国の手に落ちぬよう、引き続き討滅計画に協力していこう。ウヌクアルハイは、「暁」とは異なる勢力の介入もほのめかしているが、クルルはこの少年の、内に秘めた想いを引き出したいと考えはじめたようだ。			昏き微睡みの果つる刻							
アジス・ラー旗艦島でウヌクアルハイと合流			アジス・ラー旗艦島でウヌクアルハイと合流			昏き微睡みの果つる刻							
魔神「セフィロト」を討滅			魔神「セフィロト」を討滅			昏き微睡みの果つる刻							
石の家のウヌクアルハイと話す			石の家のウヌクアルハイと話す			昏き微睡みの果つる刻							
光の戦士よ……。かねてよりお話ししてきた「三闘神」の討滅計画を、いよいよ、実行に移すときがやってまいりました。			光の戦士よ……。かねてよりお話ししてきた「三闘神」の討滅計画を、いよいよ、実行に移すときがやってまいりました。			昏き微睡みの果つる刻							
闘神たちを魔大陸に封じた、アラグの封印に綻びが生じています。彼らが目覚め、相争うことは、「霊災」の再来とほぼ同義……。唯一の希望は……光の戦士、貴方です。			闘神たちを魔大陸に封じた、アラグの封印に綻びが生じています。彼らが目覚め、相争うことは、「霊災」の再来とほぼ同義……。唯一の希望は……光の戦士、貴方です。			昏き微睡みの果つる刻							
ただ、闘神に近づくことはきわめて危険です。ある種の「異能」がなければ、支援に赴くこともままなりませんが、ようやく適任者が見つかりました。			ただ、闘神に近づくことはきわめて危険です。ある種の「異能」がなければ、支援に赴くこともままなりませんが、ようやく適任者が見つかりました。			昏き微睡みの果つる刻							
これに、貴方がた「超える力」を持つ、精強の討滅隊が加われば、盤上の駒がそろいます……。貴方にお願いするのは、無論……三柱の「闘神」の討滅。			これに、貴方がた「超える力」を持つ、精強の討滅隊が加われば、盤上の駒がそろいます……。貴方にお願いするのは、無論……三柱の「闘神」の討滅。			昏き微睡みの果つる刻							
