レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			レヴナンツトールのラドヴァンは、新たな後継者を探しているようだ。			もうひとりのガンブレイカー							
(-依頼人の男-)君たちの足元には、魔導拘束器を隠していた。ガレマール帝国の監獄で、凶暴な囚人を拘束するためのものだ。どんな強者でも、まず動くことはできないだろう。			(-依頼人の男-)君たちの足元には、魔導拘束器を隠していた。ガレマール帝国の監獄で、凶暴な囚人を拘束するためのものだ。どんな強者でも、まず動くことはできないだろう。			真のガンブレイカー							
紹介が遅れたね、私が懲罰部隊「アラウダエ」の隊長、ヴィトゥス・クォ・メッサラだ。			紹介が遅れたね、私が懲罰部隊「アラウダエ」の隊長、ヴィトゥス・クォ・メッサラだ。			真のガンブレイカー							
知ってのとおり、我々はカトの暗殺依頼を受けていたのだが、そんなつまらない仕事はもうやめたんだ。			知ってのとおり、我々はカトの暗殺依頼を受けていたのだが、そんなつまらない仕事はもうやめたんだ。			真のガンブレイカー							
名を挙げて、また千人隊長に復帰するには、エオルゼアの英雄、君を殺すことが一番なもんでね……。いや、それどころか軍団長たる「ヴァン」階級さえ夢じゃない！			名を挙げて、また千人隊長に復帰するには、エオルゼアの英雄、君を殺すことが一番なもんでね……。いや、それどころか軍団長たる「ヴァン」階級さえ夢じゃない！			真のガンブレイカー							
その夢のため……さっそくだが、死んでもらおう！			その夢のため……さっそくだが、死んでもらおう！			真のガンブレイカー							
オッサン！いままで何やってたんだよ！？			オッサン！いままで何やってたんだよ！？			真のガンブレイカー							
すまなかった。あれから、こいつらを倒すため、いろいろと探っていたのだ。そして狙いが君だと知った……！			すまなかった。あれから、こいつらを倒すため、いろいろと探っていたのだ。そして狙いが君だと知った……！			真のガンブレイカー							
おやおや、囚人番号1441番じゃないか。私の誘いを断ったあげく、脱獄までするなんて……君は本当に困った犬……いや、猫だな？			おやおや、囚人番号1441番じゃないか。私の誘いを断ったあげく、脱獄までするなんて……君は本当に困った犬……いや、猫だな？			真のガンブレイカー							
ヴィトゥスよ。用意周到なお前に倣って、私も準備してきた物がある。			ヴィトゥスよ。用意周到なお前に倣って、私も準備してきた物がある。			真のガンブレイカー							
以前、戦ったとき、隊員たちの首に、かつて私も苦しめられた、魔導仕掛けの「首輪」が着けられていることに気づいたのだ。恐らく、囚人である彼らの反乱や脱走を防ぐためだろう。			以前、戦ったとき、隊員たちの首に、かつて私も苦しめられた、魔導仕掛けの「首輪」が着けられていることに気づいたのだ。恐らく、囚人である彼らの反乱や脱走を防ぐためだろう。			真のガンブレイカー							
