ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			ポルタ・プレトリアのアラミゴ解放軍の上級闘士は、冒険者を待っていたようだ。			英雄への鎮魂歌							
貴様は「石の家」へと戻り、身体を休めてもらいたい。こちらに動きがあったときは、伝令を送ろう。			貴様は「石の家」へと戻り、身体を休めてもらいたい。こちらに動きがあったときは、伝令を送ろう。			開戦のとき							
これは、Surnameさん、帝国との大きな戦闘があったと聞きましたが……アリゼーさんは、一緒じゃないんですか？			これは、Surnameさん、帝国との大きな戦闘があったと聞きましたが……アリゼーさんは、一緒じゃないんですか？			開戦のとき							
まさか、アリゼーさんまでもが……。			まさか、アリゼーさんまでもが……。			開戦のとき							
ともかく事情はわかりました。我が弟、オーカーたちと協力しつつ、アリゼーさんの受け入れと看病の体制を整えましょう。			ともかく事情はわかりました。我が弟、オーカーたちと協力しつつ、アリゼーさんの受け入れと看病の体制を整えましょう。			開戦のとき							
この緊急事態ですから、クガネにいるタタルさんにも一報を入れておきます。			この緊急事態ですから、クガネにいるタタルさんにも一報を入れておきます。			開戦のとき							
それから、ヤ・シュトラさんたちの容態ですが、こちらも相変わらずといったところです。			それから、ヤ・シュトラさんたちの容態ですが、こちらも相変わらずといったところです。			開戦のとき							
クルトゥネやクルルさん、それからマトーヤ老までもが、治療法を求めて、動いてくださっているのですが、いまのところ良い報せは……。			クルトゥネやクルルさん、それからマトーヤ老までもが、治療法を求めて、動いてくださっているのですが、いまのところ良い報せは……。			開戦のとき							
いや、嘆くのはやめましょう。あなたが無事な以上、希望は決して消えません。今はただ調査の進展を待ちつつ、身体を休めてください。			いや、嘆くのはやめましょう。あなたが無事な以上、希望は決して消えません。今はただ調査の進展を待ちつつ、身体を休めてください。			開戦のとき							
一方 国境地帯・前線――			一方 国境地帯・前線――			開戦のとき							
帰燕館のヒエンは、アラミゴへと出立したいようだ。			帰燕館のヒエンは、アラミゴへと出立したいようだ。			境界の地ギムリト							
アラミゴ北東の国境地帯に築かれた同盟軍本陣へ向かうことになった。ギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」と話そう。			アラミゴ北東の国境地帯に築かれた同盟軍本陣へ向かうことになった。ギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」と話そう。			境界の地ギムリト							
アラミゴ解放軍の上級闘士と話し、エオルゼア同盟軍本陣に向かった。			アラミゴ解放軍の上級闘士と話し、エオルゼア同盟軍本陣に向かった。			境界の地ギムリト							
リセから帝国との停戦会談への出席を頼まれた。準備ができたら、エオルゼア同盟軍本陣の「リセ」と話そう。一度、本陣の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、エオルゼア同盟軍本陣まで案内してくれるようだ。			リセから帝国との停戦会談への出席を頼まれた。準備ができたら、エオルゼア同盟軍本陣の「リセ」と話そう。一度、本陣の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、エオルゼア同盟軍本陣まで案内してくれるようだ。			境界の地ギムリト							
リセと話し、帝国との停戦会談に出席した。議論がもつれてしまい、会談は一時中断されることになった。ガレマール帝国軍天幕の「アリゼー」と話そう。一度、ガレマール帝国軍天幕の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、ガレマール帝国軍天幕まで案内してくれるようだ。			リセと話し、帝国との停戦会談に出席した。議論がもつれてしまい、会談は一時中断されることになった。ガレマール帝国軍天幕の「アリゼー」と話そう。一度、ガレマール帝国軍天幕の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、ガレマール帝国軍天幕まで案内してくれるようだ。			境界の地ギムリト							
