レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			レヴナンツトールの異国風の男は、冒険者に紹介したい仕事があるようだ。			古代アラグ文明の遺産							
依頼人はまだ、賊の根城……「アマジナ霊銀山跡」の中かもしれないわ。私は行かないわよ、ボロボロなんだもの！			依頼人はまだ、賊の根城……「アマジナ霊銀山跡」の中かもしれないわ。私は行かないわよ、ボロボロなんだもの！			霊砂と未来を造る者							
ううっ、またこの展開ッス……！雇った冒険者ともはぐれたし、今度こそ死んじゃうッス！誰かぁ……助けてほしいッスー！			ううっ、またこの展開ッス……！雇った冒険者ともはぐれたし、今度こそ死んじゃうッス！誰かぁ……助けてほしいッスー！			霊砂と未来を造る者							
……いや、あと少し頑張って逃げるだけッス。オイラだって、みんなに追いつくって決めたッス。だから………………………………よしッ！			……いや、あと少し頑張って逃げるだけッス。オイラだって、みんなに追いつくって決めたッス。だから………………………………よしッ！			霊砂と未来を造る者							
ぴぎゃああああああッ！？ごめんなさいッス、もう来ないから許してほしい……ッス？			ぴぎゃああああああッ！？ごめんなさいッス、もう来ないから許してほしい……ッス？			霊砂と未来を造る者							
Surname！ど、どうしてここにいるッス！？幻ッス？　仲間の危機を感知するセンサー搭載ッス！？			Surname！ど、どうしてここにいるッス！？幻ッス？　仲間の危機を感知するセンサー搭載ッス！？			霊砂と未来を造る者							
何はともあれ助かったッス……。オイラ、開発に使う「沃土の霊砂」を探しにきたッス。危険な冒険だったけど、目的のブツは手に入れたッス！			何はともあれ助かったッス……。オイラ、開発に使う「沃土の霊砂」を探しにきたッス。危険な冒険だったけど、目的のブツは手に入れたッス！			霊砂と未来を造る者							
……あれ？　「沃土の霊砂」がないッス？た、大変ッス、逃げてる途中で落としたッス！探しに行かないと……！			……あれ？　「沃土の霊砂」がないッス？た、大変ッス、逃げてる途中で落としたッス！探しに行かないと……！			霊砂と未来を造る者							
行ってくれるッス…………？			行ってくれるッス…………？			霊砂と未来を造る者							
フッフー！　持つべきものは仲間ッス……！「沃土の霊砂」は、この敷地内に落ちてるはずッス。よろしく頼んだッス！			フッフー！　持つべきものは仲間ッス……！「沃土の霊砂」は、この敷地内に落ちてるはずッス。よろしく頼んだッス！			霊砂と未来を造る者							
逃げてる途中に「沃土の霊砂」を落としちゃったッス……。アマジナ霊銀山跡の中に落ちてるはずッス。よろしく頼んだッス！			逃げてる途中に「沃土の霊砂」を落としちゃったッス……。アマジナ霊銀山跡の中に落ちてるはずッス。よろしく頼んだッス！			霊砂と未来を造る者							
「沃土の霊砂」はどうなったッス！？無事に見つけ出せたッス！？			「沃土の霊砂」はどうなったッス！？無事に見つけ出せたッス！？			霊砂と未来を造る者							
フッフー！　確かに「沃土の霊砂」ッス！さっそく持って帰って、ビッグスにも見せてやるッス。			フッフー！　確かに「沃土の霊砂」ッス！さっそく持って帰って、ビッグスにも見せてやるッス。			霊砂と未来を造る者							
……え？　そっちも「沃土の霊砂」を探しにきたッス？親方と一緒に、古代アラグ文明の研究を……ふむふむ。			……え？　そっちも「沃土の霊砂」を探しにきたッス？親方と一緒に、古代アラグ文明の研究を……ふむふむ。			霊砂と未来を造る者							
そういうことなら、この「霊砂」は持っていくといいッス。飛空艇の開発には無限の可能性があるけど、遺跡の調査にはこれが必要ッス！			そういうことなら、この「霊砂」は持っていくといいッス。飛空艇の開発には無限の可能性があるけど、遺跡の調査にはこれが必要ッス！			霊砂と未来を造る者							
代わりに、オイラも調査に協力させてもらうッス。社員をおいてひとりで調査なんて、親方は水臭いッス～！			代わりに、オイラも調査に協力させてもらうッス。社員をおいてひとりで調査なんて、親方は水臭いッス～！			霊砂と未来を造る者							
