円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			始まりの「楽園」							
そんな……。			そんな……。			この闘いが終わったら							
あれを見て！			あれを見て！			この闘いが終わったら							
あれは……光属性の輝き？まさか、「無の大地」に光属性のエーテルが作用して……！？			あれは……光属性の輝き？まさか、「無の大地」に光属性のエーテルが作用して……！？			この闘いが終わったら							
氷属性の励起をしたとき、リーンの力が暴走したから……それで、光属性まで一緒に励起されてしまった？私の闇の力で相殺できたと思っていたのに！			氷属性の励起をしたとき、リーンの力が暴走したから……それで、光属性まで一緒に励起されてしまった？私の闇の力で相殺できたと思っていたのに！			この闘いが終わったら							
これじゃ、振り出しに戻ったのと同じです……。私が、自分を依り代にするだなんて言いださなければ！			これじゃ、振り出しに戻ったのと同じです……。私が、自分を依り代にするだなんて言いださなければ！			この闘いが終わったら							
そんな、リーンのせいなんかじゃ……。			そんな、リーンのせいなんかじゃ……。			この闘いが終わったら							
よくぞ戻ってきた――！			よくぞ戻ってきた――！			この闘いが終わったら							
ああッ……！			ああッ……！			この闘いが終わったら							
闇だ！  手遅れになる前に闇を取り戻すのだ――！			闇だ！  手遅れになる前に闇を取り戻すのだ――！			この闘いが終わったら							
友の叫びが、理想郷へと私を誘う。みたび、戦いが始まるのだ。			友の叫びが、理想郷へと私を誘う。みたび、戦いが始まるのだ。			この闘いが終わったら							
失われた過去が残響する、このエデンで。			失われた過去が残響する、このエデンで。			この闘いが終わったら							
無の大地のサンクレッドは、作戦の手ごたえを感じているようだ。			無の大地のサンクレッドは、作戦の手ごたえを感じているようだ。			無響の闇の底で							
サンクレッドと話した。最後に残っているのは氷属性だ。無の大地からエデンコアに移動し、「ウリエンジェ」と話そう。			サンクレッドと話した。最後に残っているのは氷属性だ。無の大地からエデンコアに移動し、「ウリエンジェ」と話そう。			無響の闇の底で							
ウリエンジェと話した。氷属性の励起が完了しても、すぐに世界が元通りになるわけではないようだ。そのことに不満を感じたガイアが、エデン甲板へと飛び出してしまう。様子を観に行った冒険者が目撃したのは、大量の罪喰いに襲われて気を失う彼女の姿だった。なんとかガイアを保護したものの、いまだ外は大量の罪喰いに囲まれている。エデンコアの「リーン」と話そう。			ウリエンジェと話した。氷属性の励起が完了しても、すぐに世界が元通りになるわけではないようだ。そのことに不満を感じたガイアが、エデン甲板へと飛び出してしまう。様子を観に行った冒険者が目撃したのは、大量の罪喰いに襲われて気を失う彼女の姿だった。なんとかガイアを保護したものの、いまだ外は大量の罪喰いに囲まれている。エデンコアの「リーン」と話そう。			無響の闇の底で							
