玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			玄水連山の無惨な死体は、手に手帳を握りしめているようだ。			愛しき人へ							
病気がちな母さんを支えるために、自分で薬草を取って、村のみんなに迷惑をかけないようにするのが、俺にとっては、精一杯なんだよ……。			病気がちな母さんを支えるために、自分で薬草を取って、村のみんなに迷惑をかけないようにするのが、俺にとっては、精一杯なんだよ……。			人狼族のクロバナ							
……さてと、そろそろ失礼してもいいかな？採ってきた薬草をすり潰して、母さんに飲ませてやらないといけないからさ。			……さてと、そろそろ失礼してもいいかな？採ってきた薬草をすり潰して、母さんに飲ませてやらないといけないからさ。			人狼族のクロバナ							
クロバナは、かなり弱気なようだ。「励ます」と、彼もやる気を出してくれるかもしれない。			クロバナは、かなり弱気なようだ。「励ます」と、彼もやる気を出してくれるかもしれない。			人狼族のクロバナ							
なんだい、まだ何か用かい？特に無いようなら、お引き取り願えるかな。			なんだい、まだ何か用かい？特に無いようなら、お引き取り願えるかな。			人狼族のクロバナ							
旅人のあなたが、なんでそこまで俺を気にかけるんだか……わかったよ、やってみればいいんだろう？ひさしぶりに無二江のあたりで、魔物退治に挑戦してみるよ。			旅人のあなたが、なんでそこまで俺を気にかけるんだか……わかったよ、やってみればいいんだろう？ひさしぶりに無二江のあたりで、魔物退治に挑戦してみるよ。			人狼族のクロバナ							
けど、さっきも言ったとおり、うまくいった試しなんて一度もないんだ。期待しない方がいいと思うけどな……。			けど、さっきも言ったとおり、うまくいった試しなんて一度もないんだ。期待しない方がいいと思うけどな……。			人狼族のクロバナ							
……どうもありがとう、助かったよ。でも、これであなたもわかったろ？			……どうもありがとう、助かったよ。でも、これであなたもわかったろ？			人狼族のクロバナ							
俺には戦いの才能がない、ってさ。ハクロウ兄さんとは、違うんだよ……。			俺には戦いの才能がない、ってさ。ハクロウ兄さんとは、違うんだよ……。			人狼族のクロバナ							
さあ、俺への手助けは、もう終わりでいいよ。ちゃんと言われたとおり、力を貸したって、「フクド」さんに報告してやんな。			さあ、俺への手助けは、もう終わりでいいよ。ちゃんと言われたとおり、力を貸したって、「フクド」さんに報告してやんな。			人狼族のクロバナ							
さっき、槍を持って出かけるクロバナの姿が見えたぞ。結果はどうだった？			さっき、槍を持って出かけるクロバナの姿が見えたぞ。結果はどうだった？			人狼族のクロバナ							
そうか、ダメだったか……。兄のハクロウは、武に長けていたから、その血は、あいつにも、きっと流れていると思うんだがなぁ。			そうか、ダメだったか……。兄のハクロウは、武に長けていたから、その血は、あいつにも、きっと流れていると思うんだがなぁ。			人狼族のクロバナ							
どうにかして今の境遇を変えてやりたいんだが、いったいどうしたものか……。			どうにかして今の境遇を変えてやりたいんだが、いったいどうしたものか……。			人狼族のクロバナ							
どうするのがよい？			どうするのがよい？			人狼族のクロバナ							
魔物退治以外のことに挑戦させてみたら？			魔物退治以外のことに挑戦させてみたら？			人狼族のクロバナ							
…………。			…………。			人狼族のクロバナ							
魔物退治以外のことをやらせる？……そうか、そのとおりだ！なぜ、そんな単純な発想の転換ができなかったのか！			魔物退治以外のことをやらせる？……そうか、そのとおりだ！なぜ、そんな単純な発想の転換ができなかったのか！			人狼族のクロバナ							
