マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			マエヌは、最後にひとつ冒険者にお願いをしたいようだ。			歴史的邂逅							
やはり、邪竜の眷属が潜んでいたか。どうにか雲に隠れ、竜どもの警戒を突破してきたが……我々の侵入は、すでに気取られていたようだな。			やはり、邪竜の眷属が潜んでいたか。どうにか雲に隠れ、竜どもの警戒を突破してきたが……我々の侵入は、すでに気取られていたようだな。			怪しい視線							
となれば、グズグズしてはいられない……。さっそく計画に従って、偵察任務を開始しよう。引き続き、協力を頼むよ。			となれば、グズグズしてはいられない……。さっそく計画に従って、偵察任務を開始しよう。引き続き、協力を頼むよ。			怪しい視線							
飛竜泊のマエヌは、冒険者に行ってもらいたい場所があるようだ。			飛竜泊のマエヌは、冒険者に行ってもらいたい場所があるようだ。			討伐代行							
マエヌの依頼を受けた。冒険者に、イーストン・アイに向かった偵察隊を支援してほしいという。ドラヴァニア雲海のイーストン・アイ付近にいる「北東偵察隊の竜騎士」と合流しよう。			マエヌの依頼を受けた。冒険者に、イーストン・アイに向かった偵察隊を支援してほしいという。ドラヴァニア雲海のイーストン・アイ付近にいる「北東偵察隊の竜騎士」と合流しよう。			討伐代行							
北東偵察隊の竜騎士によれば、彼らはブラッドドラゴンの襲撃を受けているそうだ。彼らの任務遂行を支援するため、イーストン・アイで「ブラッドドラゴン」を3体討伐しよう。			北東偵察隊の竜騎士によれば、彼らはブラッドドラゴンの襲撃を受けているそうだ。彼らの任務遂行を支援するため、イーストン・アイで「ブラッドドラゴン」を3体討伐しよう。			討伐代行							
ブラッドドラゴンを3体討伐した。イーストン・アイ付近の「北東偵察隊の竜騎士」に報告しよう。			ブラッドドラゴンを3体討伐した。イーストン・アイ付近の「北東偵察隊の竜騎士」に報告しよう。			討伐代行							
北東偵察隊の竜騎士に報告した。彼はブラッドドラゴンを3体も倒した手並みに感心し、冒険者の多大なる貢献に感謝するのだった……。			北東偵察隊の竜騎士に報告した。彼はブラッドドラゴンを3体も倒した手並みに感心し、冒険者の多大なる貢献に感謝するのだった……。			討伐代行							
北東偵察隊の竜騎士と合流			北東偵察隊の竜騎士と合流			討伐代行							
ブラッドドラゴンを討伐			ブラッドドラゴンを討伐			討伐代行							
北東偵察隊の竜騎士に報告			北東偵察隊の竜騎士に報告			討伐代行							
部隊の仲間が、偵察のために出発しました。無事に戻ってきてくれると、いいのですが……。			部隊の仲間が、偵察のために出発しました。無事に戻ってきてくれると、いいのですが……。			討伐代行							
Forenameに、さっそく頼みたいことがある。北東に向かった仲間の偵察隊を、支援してもらいたい。			Forenameに、さっそく頼みたいことがある。北東に向かった仲間の偵察隊を、支援してもらいたい。			討伐代行							
本来であれば、私が支援に赴くべきだが、別方面に派遣した部隊に、負傷者が出たそうでな……。私は、そちらに向かうことにする。			本来であれば、私が支援に赴くべきだが、別方面に派遣した部隊に、負傷者が出たそうでな……。私は、そちらに向かうことにする。			討伐代行							
すまないが、北東方面は君に任せた。よろしく頼むよ。			すまないが、北東方面は君に任せた。よろしく頼むよ。			討伐代行							
すまないが、北東方面は君に任せた。よろしく頼むよ。			すまないが、北東方面は君に任せた。よろしく頼むよ。			討伐代行							
おぉ、Forename殿ではないか！マエヌ隊長から、支援を送ると連絡を受けていたが、まさか、邪竜狩りを成した英雄殿とは恐れ入る！			おぉ、Forename殿ではないか！マエヌ隊長から、支援を送ると連絡を受けていたが、まさか、邪竜狩りを成した英雄殿とは恐れ入る！			討伐代行							
この辺りを足掛かりに、偵察を開始したものの、「ブラッドドラゴン」にたびたび襲撃され、難儀していてね。囲まれる前に、3体ほど倒してもらえないだろうか？			この辺りを足掛かりに、偵察を開始したものの、「ブラッドドラゴン」にたびたび襲撃され、難儀していてね。囲まれる前に、3体ほど倒してもらえないだろうか？			討伐代行							
この辺りを足掛かりに、偵察を開始したものの、「ブラッドドラゴン」にたびたび襲撃され、難儀していてね。囲まれる前に、3体ほど倒してもらえないだろうか？			この辺りを足掛かりに、偵察を開始したものの、「ブラッドドラゴン」にたびたび襲撃され、難儀していてね。囲まれる前に、3体ほど倒してもらえないだろうか？			討伐代行							
なんと、もう奴らを始末したと？こちらは、どうにか1体を退けただけだというのに……。さすがの手並みだな、協力に感謝するよ。			なんと、もう奴らを始末したと？こちらは、どうにか1体を退けただけだというのに……。さすがの手並みだな、協力に感謝するよ。			討伐代行							
飛竜泊のマエヌは、冒険者に未知の怪物の正体を調べてほしいようだ。			飛竜泊のマエヌは、冒険者に未知の怪物の正体を調べてほしいようだ。			その正体は……							
マエヌは、飛竜泊の下層で、見たこともない怪物に襲われたという。ドラヴァニア雲海の飛竜泊の下層で未知の怪物を討伐し、その一部を入手しよう。			マエヌは、飛竜泊の下層で、見たこともない怪物に襲われたという。ドラヴァニア雲海の飛竜泊の下層で未知の怪物を討伐し、その一部を入手しよう。			その正体は……							
ルッカリー・マスターを討伐し、古びた甲冑の破片を入手した。飛竜泊の「マエヌ」に「古びた甲冑の破片」を渡そう。			ルッカリー・マスターを討伐し、古びた甲冑の破片を入手した。飛竜泊の「マエヌ」に「古びた甲冑の破片」を渡そう。			その正体は……							
