シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			海都を騒がす毒の果実							
Forenameも、あと少しつきあってもらえると嬉しいわ。エールポートで「ウィスルム」たちを訪ねましょう。			Forenameも、あと少しつきあってもらえると嬉しいわ。エールポートで「ウィスルム」たちを訪ねましょう。			毒と癒やしの頂上決戦							
祭器を持ち帰れるのはとても嬉しいけど、お別れはやっぱり寂しいわね……。			祭器を持ち帰れるのはとても嬉しいけど、お別れはやっぱり寂しいわね……。			毒と癒やしの頂上決戦							
Forenameさん、また立ち寄ってもらえて嬉しいよ。			Forenameさん、また立ち寄ってもらえて嬉しいよ。			毒と癒やしの頂上決戦							
よお、ふたり揃って顔出してくれて嬉しいぜ！今日はどうしたんだ？			よお、ふたり揃って顔出してくれて嬉しいぜ！今日はどうしたんだ？			毒と癒やしの頂上決戦							
ついに、エルレットとココノワを締め上げてきたって！？そりゃあ吉報だな！			ついに、エルレットとココノワを締め上げてきたって！？そりゃあ吉報だな！			毒と癒やしの頂上決戦							
それにしても煙幕と爆弾を間違えて、吹っ飛ぶなんて……はは、最後までやべぇ連中だな！			それにしても煙幕と爆弾を間違えて、吹っ飛ぶなんて……はは、最後までやべぇ連中だな！			毒と癒やしの頂上決戦							
ともかく、祭器とやらも取り戻せて、ようやく騒動も解決、というわけか。			ともかく、祭器とやらも取り戻せて、ようやく騒動も解決、というわけか。			毒と癒やしの頂上決戦							
もう、毒をバラ撒かれることもないと知ってひと安心だよ。しゃっくりが止まらない錬金薬なんて、懲り懲りだからな。			もう、毒をバラ撒かれることもないと知ってひと安心だよ。しゃっくりが止まらない錬金薬なんて、懲り懲りだからな。			毒と癒やしの頂上決戦							
しっかし、ローシュカナの故郷がトラル大陸だったなんてな！すぐ戻っちまうのか？			しっかし、ローシュカナの故郷がトラル大陸だったなんてな！すぐ戻っちまうのか？			毒と癒やしの頂上決戦							
そうね……。祭器は故郷での暮らしに不可欠なものだから、はやく持って帰って、部族のみんなを安心させてあげないと。			そうね……。祭器は故郷での暮らしに不可欠なものだから、はやく持って帰って、部族のみんなを安心させてあげないと。			毒と癒やしの頂上決戦							
短い間だったけど、帰っちまうとなると寂しくなるぜ。			短い間だったけど、帰っちまうとなると寂しくなるぜ。			毒と癒やしの頂上決戦							
僕たち、冒険者としてはまだ駆け出しだけど、いつかトラル大陸まで旅ができるように精進するよ。			僕たち、冒険者としてはまだ駆け出しだけど、いつかトラル大陸まで旅ができるように精進するよ。			毒と癒やしの頂上決戦							
あら、嬉しいこと言ってくれるじゃない！そのときはぜひ、アナタたちの旅の話を聞かせてね。			あら、嬉しいこと言ってくれるじゃない！そのときはぜひ、アナタたちの旅の話を聞かせてね。			毒と癒やしの頂上決戦							
そういやあんた、えらい腕の立つ冒険者だと思ってたけどよ、実はすげぇ英雄サマだって聞いたぜ？			そういやあんた、えらい腕の立つ冒険者だと思ってたけどよ、実はすげぇ英雄サマだって聞いたぜ？			毒と癒やしの頂上決戦							
顔見知りのイエロージャケットが、英雄と一緒に、麻痺した市民を助けたって自慢してたぞ。あんたに会ったら、よろしく伝えてくれとも言ってたっけ。			顔見知りのイエロージャケットが、英雄と一緒に、麻痺した市民を助けたって自慢してたぞ。あんたに会ったら、よろしく伝えてくれとも言ってたっけ。			毒と癒やしの頂上決戦							
今回のことで、俺らは実力不足だって思い知らされたが、あんたみたいな冒険者になれるように、がんばってみるぜ。			今回のことで、俺らは実力不足だって思い知らされたが、あんたみたいな冒険者になれるように、がんばってみるぜ。			毒と癒やしの頂上決戦							
癒やし手としても、いい目標になりそうだ。相棒に膝をつかせないために精進するよ。			癒やし手としても、いい目標になりそうだ。相棒に膝をつかせないために精進するよ。			毒と癒やしの頂上決戦							
じゃあ、あんたらも達者でな！			じゃあ、あんたらも達者でな！			毒と癒やしの頂上決戦							
ええ、アナタたちもどうか元気でね。協力してくれて、ふたりとも本当にありがとう！			ええ、アナタたちもどうか元気でね。協力してくれて、ふたりとも本当にありがとう！			毒と癒やしの頂上決戦							
Forename。お礼もしたいから、トライヨラまで一緒に戻って、「ニーピネ」への報告につきあってくれると嬉しいわ。			Forename。お礼もしたいから、トライヨラまで一緒に戻って、「ニーピネ」への報告につきあってくれると嬉しいわ。			毒と癒やしの頂上決戦							
俺らも少しずつ活動範囲を広げていこうと思ってるから、またどっかで会えるといいな！			俺らも少しずつ活動範囲を広げていこうと思ってるから、またどっかで会えるといいな！			毒と癒やしの頂上決戦							
Forenameさん。あなたのような素晴らしい癒やし手になれるよう、ウィスルムとの旅を続けながら、幻術の修行に励むとするよ。			Forenameさん。あなたのような素晴らしい癒やし手になれるよう、ウィスルムとの旅を続けながら、幻術の修行に励むとするよ。			毒と癒やしの頂上決戦							
ああ、ふたりともよくぞ無事で……！揃って戻ってきたということは、もしや、祭器の奪還に成功したのか？			ああ、ふたりともよくぞ無事で……！揃って戻ってきたということは、もしや、祭器の奪還に成功したのか？			毒と癒やしの頂上決戦							
ただいま、ニーピネ！Forenameのおかげで、どうにかね。			ただいま、ニーピネ！Forenameのおかげで、どうにかね。			毒と癒やしの頂上決戦							
そうか、そうか……！ここで待つことしかできなかったのは悔やまれるが、本当によかった。			そうか、そうか……！ここで待つことしかできなかったのは悔やまれるが、本当によかった。			毒と癒やしの頂上決戦							
Forename、そしてローシュカナ。祭器を取り戻してくれたこと、心から感謝する。			Forename、そしてローシュカナ。祭器を取り戻してくれたこと、心から感謝する。			毒と癒やしの頂上決戦							
なかなか大変な旅になったけど、おかげで、いろいろと気づかされたこともあったわ。			なかなか大変な旅になったけど、おかげで、いろいろと気づかされたこともあったわ。			毒と癒やしの頂上決戦							
祭器を盗んだ犯人の片割れがね、あえて毒を口にすることで、耐性をつけていたようなの。			祭器を盗んだ犯人の片割れがね、あえて毒を口にすることで、耐性をつけていたようなの。			毒と癒やしの頂上決戦							
無毒化するのではなく、毒に体を慣らすという選択は、ワタシたちも検討する余地がある……。			無毒化するのではなく、毒に体を慣らすという選択は、ワタシたちも検討する余地がある……。			毒と癒やしの頂上決戦							
今回みたいに祭器が使えない状況になったとしても、耐性があればしのぐこともできるし……。毒との付き合い方を、見直すときが来ているのかもしれない。			今回みたいに祭器が使えない状況になったとしても、耐性があればしのぐこともできるし……。毒との付き合い方を、見直すときが来ているのかもしれない。			毒と癒やしの頂上決戦							
それから、集落での暮らしを通じて、祭器の力を理解していたつもりだけど……。改めて、驚異的な物だと肌で感じたわ。			それから、集落での暮らしを通じて、祭器の力を理解していたつもりだけど……。改めて、驚異的な物だと肌で感じたわ。			毒と癒やしの頂上決戦							
水源ひとつに毒を付与するだけで、多くの人々の安全を、容易に脅かすことができてしまう。			水源ひとつに毒を付与するだけで、多くの人々の安全を、容易に脅かすことができてしまう。			毒と癒やしの頂上決戦							
同時に、自分たちが無毒化することで暮らしてきたのと同じく、毒によって汚染された水源を清めることもできる。			同時に、自分たちが無毒化することで暮らしてきたのと同じく、毒によって汚染された水源を清めることもできる。			毒と癒やしの頂上決戦							
人を生かすために、集落の外でも役立てるべきか、人を殺さないために、集落の中にしまいこむべきか……今一度、よく考えたいわね。			人を生かすために、集落の外でも役立てるべきか、人を殺さないために、集落の中にしまいこむべきか……今一度、よく考えたいわね。			毒と癒やしの頂上決戦							
たしかに、祭器を持ち出された今だからこそ、部族として今後の方針を検討すべきかもしれない……。			たしかに、祭器を持ち出された今だからこそ、部族として今後の方針を検討すべきかもしれない……。			毒と癒やしの頂上決戦							
集落へ戻ったら、部族長も交えて、話をしてみるとしようか。			集落へ戻ったら、部族長も交えて、話をしてみるとしようか。			毒と癒やしの頂上決戦							
部族のことはこれから考えていくとして……とにもかくにも、こうして祭器を取り戻せて、新しい知見を得られたのも、アナタのおかげよ。			部族のことはこれから考えていくとして……とにもかくにも、こうして祭器を取り戻せて、新しい知見を得られたのも、アナタのおかげよ。			毒と癒やしの頂上決戦							
癒やし手と一緒に戦う機会は今までなかったけど、最後の共闘、本当に心強かった。			癒やし手と一緒に戦う機会は今までなかったけど、最後の共闘、本当に心強かった。			毒と癒やしの頂上決戦							
Forenameは、ワタシたちの恩人よ。本当にありがとう。			Forenameは、ワタシたちの恩人よ。本当にありがとう。			毒と癒やしの頂上決戦							
ふふ、名残惜しさでアナタを引き留めてはいけないわね。そろそろワタシも、ニーピネと集落へ戻るわ。			ふふ、名残惜しさでアナタを引き留めてはいけないわね。そろそろワタシも、ニーピネと集落へ戻るわ。			毒と癒やしの頂上決戦							
それじゃあ……また会いましょうね、Forename！			それじゃあ……また会いましょうね、Forename！			毒と癒やしの頂上決戦							
