流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			死に鎖された森							
はい、おかげさまで、師からもお許しをいただきました。			はい、おかげさまで、師からもお許しをいただきました。			獣の心、精霊の心							
それより、苗木はただ植えればいいものではないはず。森の恵みに対する感謝の祈りを込めねばならないのでしょう？			それより、苗木はただ植えればいいものではないはず。森の恵みに対する感謝の祈りを込めねばならないのでしょう？			獣の心、精霊の心							
そのとおりクポ！祈りの力が、いつか綺麗なお花を咲かせるクポよ～。			そのとおりクポ！祈りの力が、いつか綺麗なお花を咲かせるクポよ～。			獣の心、精霊の心							
ならば、ますます角尊である私が、やらねばなりません。かつてヨリンがそうしたように、対話の意志があることを、心閉ざした大精霊に伝えるためにも……。			ならば、ますます角尊である私が、やらねばなりません。かつてヨリンがそうしたように、対話の意志があることを、心閉ざした大精霊に伝えるためにも……。			獣の心、精霊の心							
……「グリーンティア択伐地」あたりのエーテルの流れが、滞っているのを感じます。			……「グリーンティア択伐地」あたりのエーテルの流れが、滞っているのを感じます。			獣の心、精霊の心							
まずは中央森林にある淀みを浄化しましょう。			まずは中央森林にある淀みを浄化しましょう。			獣の心、精霊の心							
こんな遠くからでもわかるクポ！？さすがクポ～！			こんな遠くからでもわかるクポ！？さすがクポ～！			獣の心、精霊の心							
これも角尊として授かった祝福のひとつです。さぁ、行きましょう！			これも角尊として授かった祝福のひとつです。さぁ、行きましょう！			獣の心、精霊の心							
淀みが見つかりましたね。私は苗木に祈りを込めておきますので、あなたは浄化をお願いします。			淀みが見つかりましたね。私は苗木に祈りを込めておきますので、あなたは浄化をお願いします。			獣の心、精霊の心							
周辺の警戒はお任せください。			周辺の警戒はお任せください。			獣の心、精霊の心							
淀みは消えたようですが……このままでは、また新たな淀みが出現してしまうのでしたね。			淀みは消えたようですが……このままでは、また新たな淀みが出現してしまうのでしたね。			獣の心、精霊の心							
豊穣の恵みをもたらしたもう慈悲深き緑よ。これなる苗木は、我らからの感謝と友愛の証。どうか、その根を受け容れ、傷を癒やしたまえ……！			豊穣の恵みをもたらしたもう慈悲深き緑よ。これなる苗木は、我らからの感謝と友愛の証。どうか、その根を受け容れ、傷を癒やしたまえ……！			獣の心、精霊の心							
これで、この土地の浄化は完了しました。集落からもほど近い場所ですし、苗木の世話について、お願いしておきましょう。			これで、この土地の浄化は完了しました。集落からもほど近い場所ですし、苗木の世話について、お願いしておきましょう。			獣の心、精霊の心							
わかりました、そのように連絡しておきます。この土地で脅威に怯える者も、きっと希望を抱くことでしょう。			わかりました、そのように連絡しておきます。この土地で脅威に怯える者も、きっと希望を抱くことでしょう。			獣の心、精霊の心							
