鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			鍛冶師ギルドのブリサエルは、日々穏やかに過ごしているようだ。			直情娘、来たる							
よくぞ……よくぞ訪ねてくれました、Forename……。セッカさんが来てから、ギルドの空気は悪化の一途。僕の胃薬の量も、昔に逆戻りですよ……。			よくぞ……よくぞ訪ねてくれました、Forename……。セッカさんが来てから、ギルドの空気は悪化の一途。僕の胃薬の量も、昔に逆戻りですよ……。			直情娘、対決す							
見習い職人はけなす、ベテラン職人にも難癖つける……。言動に注意するよう言ったんですが「馴れ合いは不要」って、聞いてくれなくて……。			見習い職人はけなす、ベテラン職人にも難癖つける……。言動に注意するよう言ったんですが「馴れ合いは不要」って、聞いてくれなくて……。			直情娘、対決す							
彼女、どうもギルドの体制が気に食わないらしいんです。キミからも「セッカ」さんと話してみてくれませんか……？さっき、「アンカーヤード」で見かけましたので……。			彼女、どうもギルドの体制が気に食わないらしいんです。キミからも「セッカ」さんと話してみてくれませんか……？さっき、「アンカーヤード」で見かけましたので……。			直情娘、対決す							
さっき、「アンカーヤード」で見かけましたので、「セッカ」さんと話してみてくれませんか……？……僕の胃が、痛みで消滅する前に。			さっき、「アンカーヤード」で見かけましたので、「セッカ」さんと話してみてくれませんか……？……僕の胃が、痛みで消滅する前に。			直情娘、対決す							
……なんです、あの昼行灯に言われて来たのですか？私は、己の姿勢を変えるつもりはないですよ。問題は、鍛冶師ギルドの方にありますから。			……なんです、あの昼行灯に言われて来たのですか？私は、己の姿勢を変えるつもりはないですよ。問題は、鍛冶師ギルドの方にありますから。			直情娘、対決す							
腕のいい職人も、いるにはいます……。ですが、みな目の前の仕事にかかりきり。腕前を向上させる意欲が、微塵も感じられません！			腕のいい職人も、いるにはいます……。ですが、みな目の前の仕事にかかりきり。腕前を向上させる意欲が、微塵も感じられません！			直情娘、対決す							
私は、故郷ひんがしの国で、すべての時間を鍛刀に費やすべし、と教わりました。より良い武器を作り出すことが、我々の一番の使命だと。			私は、故郷ひんがしの国で、すべての時間を鍛刀に費やすべし、と教わりました。より良い武器を作り出すことが、我々の一番の使命だと。			直情娘、対決す							
刀は、ひんがしの国の武芸者「侍」が振るう武器です。そして侍は、混迷の世を防ぎ、秩序を乱す悪を討つ存在……。その意思を砕かぬよう、彼らの刀も決して折れぬ強さが必要となる。			刀は、ひんがしの国の武芸者「侍」が振るう武器です。そして侍は、混迷の世を防ぎ、秩序を乱す悪を討つ存在……。その意思を砕かぬよう、彼らの刀も決して折れぬ強さが必要となる。			直情娘、対決す							
だから刀鍛冶は、生涯を最良の一振りに費やさねばならない。私は、この理念はすべての職人に通ずるものと思っていました。			だから刀鍛冶は、生涯を最良の一振りに費やさねばならない。私は、この理念はすべての職人に通ずるものと思っていました。			直情娘、対決す							
……それが、鍛冶師ギルドときたら！「大口の依頼だから」「大事な顧客だから」などと言って、腕のいい職人に、誰でもできる陳腐な仕事を割り振るのです！			……それが、鍛冶師ギルドときたら！「大口の依頼だから」「大事な顧客だから」などと言って、腕のいい職人に、誰でもできる陳腐な仕事を割り振るのです！			直情娘、対決す							
この辺りで一番の鍛冶組織というから訪ねたのに、向上心の欠片もないとは、まるで期待はずれでした……。あなたは、彼らについてどうお考えなのですか！？			この辺りで一番の鍛冶組織というから訪ねたのに、向上心の欠片もないとは、まるで期待はずれでした……。あなたは、彼らについてどうお考えなのですか！？			直情娘、対決す							
