ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			秘められし民の想い							
皆、大儀であった。さあ、ドマ町人地に戻るとしよう。			皆、大儀であった。さあ、ドマ町人地に戻るとしよう。			ドマの弔い							
ゴウセツには何度も驚かされてきたが、今回が一番かもしれぬ。			ゴウセツには何度も驚かされてきたが、今回が一番かもしれぬ。			ドマの弔い							
癒し手はまだ慣れぬが、役に立てたでござろうか？			癒し手はまだ慣れぬが、役に立てたでござろうか？			ドマの弔い							
偽神獣を討伐し、国葬を以て、さらなる獣化への対策も打てた。これにて、一件落着と言ってもよかろう。			偽神獣を討伐し、国葬を以て、さらなる獣化への対策も打てた。これにて、一件落着と言ってもよかろう。			ドマの弔い							
帰燕館に匿っていた帰還者たちも開放し、もとの生活に戻ってもらおう。			帰燕館に匿っていた帰還者たちも開放し、もとの生活に戻ってもらおう。			ドマの弔い							
それにしても、ゴウセツ。そなたの登場には驚いたぞ。刀の稽古で腰を痛めたのではなかったのか？			それにしても、ゴウセツ。そなたの登場には驚いたぞ。刀の稽古で腰を痛めたのではなかったのか？			ドマの弔い							
それは本当でござる。できれば、侍として助太刀できればと願っていたものの、腰が言うことを聞きませなんだ。			それは本当でござる。できれば、侍として助太刀できればと願っていたものの、腰が言うことを聞きませなんだ。			ドマの弔い							
寝込んでいたところに、誰かに呼ばれた気がしましてな。気合で起き上がり、錫杖を掴んで馳せ参じた次第でござる。			寝込んでいたところに、誰かに呼ばれた気がしましてな。気合で起き上がり、錫杖を掴んで馳せ参じた次第でござる。			ドマの弔い							
まさか、あのゴウセツが癒し手に転身とはな。ドマ城から生還したときよりも驚かされた。			まさか、あのゴウセツが癒し手に転身とはな。ドマ城から生還したときよりも驚かされた。			ドマの弔い							
とはいっても、まだまだ修行の身。これより再び慰霊の旅に出て、鍛錬に励むつもりでござる。			とはいっても、まだまだ修行の身。これより再び慰霊の旅に出て、鍛錬に励むつもりでござる。			ドマの弔い							
そうか、また行ってしまうのだな……。			そうか、また行ってしまうのだな……。			ドマの弔い							
ヒエン様が困ったときには、いつでも戻って参りましょう。このゴウセツ、侍改め修験者として生涯現役で戦う所存。			ヒエン様が困ったときには、いつでも戻って参りましょう。このゴウセツ、侍改め修験者として生涯現役で戦う所存。			ドマの弔い							
では、これにて御免……！			では、これにて御免……！			ドマの弔い							
さて、国葬にて民は過去と向き会い、故人に別れを告げた。これでやっと、皆が未来を見据えることができるだろう。ドマはこれから新たな道を歩み始めるのだ。			さて、国葬にて民は過去と向き会い、故人に別れを告げた。これでやっと、皆が未来を見据えることができるだろう。ドマはこれから新たな道を歩み始めるのだ。			ドマの弔い							
そなたには、まっこと世話になった。ドマのために尽力してくれたこと、心より感謝する。			そなたには、まっこと世話になった。ドマのために尽力してくれたこと、心より感謝する。			ドマの弔い							
最後に手数をかけさせてすまぬが、偽神獣を討伐した旨、ラザハンにいるドマの駐在武官まで報告を頼みたい。この経験が、他国の対策の助けとなるようにな。			最後に手数をかけさせてすまぬが、偽神獣を討伐した旨、ラザハンにいるドマの駐在武官まで報告を頼みたい。この経験が、他国の対策の助けとなるようにな。			ドマの弔い							
ドマのために尽力してくれたこと、心より感謝する。手数をかけさせてすまぬが、偽神獣を討伐した旨、ラザハンにいるドマの駐在武官まで報告を頼みたい。			ドマのために尽力してくれたこと、心より感謝する。手数をかけさせてすまぬが、偽神獣を討伐した旨、ラザハンにいるドマの駐在武官まで報告を頼みたい。			ドマの弔い							
スイの里にもこの朗報を届けよう。きっと、母様、父様も喜んでくださる。			スイの里にもこの朗報を届けよう。きっと、母様、父様も喜んでくださる。			ドマの弔い							
Forename殿、戻られましたか。して、首尾はいかがでしょう？			Forename殿、戻られましたか。して、首尾はいかがでしょう？			ドマの弔い							
ヒエン様ともども、偽神獣の討伐に成功されたと！それはとても喜ばしい報せ、すぐさま各国に共有いたします。			ヒエン様ともども、偽神獣の討伐に成功されたと！それはとても喜ばしい報せ、すぐさま各国に共有いたします。			ドマの弔い							
此度は要請に応じてわが故郷を救っていただき、誠にありがとうございました！			此度は要請に応じてわが故郷を救っていただき、誠にありがとうございました！			ドマの弔い							
遠隔物理DPSジョブ向け「レベル90ジョブ専用装備」の、染色が可能になりました。			遠隔物理DPSジョブ向け「レベル90ジョブ専用装備」の、染色が可能になりました。			ドマの弔い							
「レベル90ジョブ専用装備」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、入手できるようになります。			「レベル90ジョブ専用装備」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、入手できるようになります。			ドマの弔い							
