不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			不語仙の座卓のカヌ・エ・センナは、今後の方針について考えているようだ。			黎明の死闘							
そういえば、シルフ族と交流があるのって、このメンバーだと、あなたとアルフィノだけね。なんでも、挨拶にこだわりがあるんでしたっけ……？			そういえば、シルフ族と交流があるのって、このメンバーだと、あなたとアルフィノだけね。なんでも、挨拶にこだわりがあるんでしたっけ……？			知の集積者							
おお、冒険者どの、よ～く来たでぶっち！そちらはお仲間でぶっち？アラミゴ王宮で見かけた気がするでぶっち！			おお、冒険者どの、よ～く来たでぶっち！そちらはお仲間でぶっち？アラミゴ王宮で見かけた気がするでぶっち！			知の集積者							
何と言う？			何と言う？			知の集積者							
こうして話すのは久々だ			こうして話すのは久々だ			知の集積者							
挨拶の踊りをしたほうがいい？			挨拶の踊りをしたほうがいい？			知の集積者							
…………			…………			知の集積者							
王宮では、昔話に花を咲かせるような、のんびりした雰囲気ではなかったのでぶっち～。でも、みんな協力しあえることになって良かったでぶっち！			王宮では、昔話に花を咲かせるような、のんびりした雰囲気ではなかったのでぶっち～。でも、みんな協力しあえることになって良かったでぶっち！			知の集積者							
たしかに昔は、ヒトに踊りを踊らせまくって遊んでたでぶっち！でもこれからは、そういう悪戯は控えるでぶっち！みんな、仲良しでやっていくでぶっち～！			たしかに昔は、ヒトに踊りを踊らせまくって遊んでたでぶっち！でもこれからは、そういう悪戯は控えるでぶっち！みんな、仲良しでやっていくでぶっち～！			知の集積者							
む、まさかワチシを覚えていないでぶっち……！？ワチシは「シルフの仮宿」の長のフリクシオなのでぶっち！先ほどのアラミゴ王宮でも、会談に参加していたでぶっち～！			む、まさかワチシを覚えていないでぶっち……！？ワチシは「シルフの仮宿」の長のフリクシオなのでぶっち！先ほどのアラミゴ王宮でも、会談に参加していたでぶっち～！			知の集積者							
カヌ・エから、話は聞いているでぶっち。ワチシたちも「テイコク」に仲間を拐われているでぶっち。仲間を助けるためにも、連絡役をがんばるでぶっち！			カヌ・エから、話は聞いているでぶっち。ワチシたちも「テイコク」に仲間を拐われているでぶっち。仲間を助けるためにも、連絡役をがんばるでぶっち！			知の集積者							
そう言ってもらえると心強い。テロフォロイが、どこに軍勢を差し向けるかわからないからな。あなたたちの行動力や繋がりを、頼りにさせてもらいたいんだ。			そう言ってもらえると心強い。テロフォロイが、どこに軍勢を差し向けるかわからないからな。あなたたちの行動力や繋がりを、頼りにさせてもらいたいんだ。			知の集積者							
そうはいっても、ワチシたちが得意なのは取引でぶっち。戦いのことや、助け合いのことになると、経験がないのでぶっち。ご意見をもらえるのは、こちらも助か……			そうはいっても、ワチシたちが得意なのは取引でぶっち。戦いのことや、助け合いのことになると、経験がないのでぶっち。ご意見をもらえるのは、こちらも助か……			知の集積者							
