イディルシャイアのロウェナは、帰り支度をしているようだ。			イディルシャイアのロウェナは、帰り支度をしているようだ。			その名をアニマウェポン							
Forenameさんのエーテルだけを、効率よく人造精霊に伝えられるようにするには、ゲロルトさんの道具を、一時的に絶霊化する必要があります。			Forenameさんのエーテルだけを、効率よく人造精霊に伝えられるようにするには、ゲロルトさんの道具を、一時的に絶霊化する必要があります。			人造精霊の声							
そのために必要な「アラグの絶霊油」を、5つ持ってきてください！			そのために必要な「アラグの絶霊油」を、5つ持ってきてください！			人造精霊の声							
「アラグの絶霊油」を5つ集められたら、お持ちのアニマウェポンとともに渡してください！			「アラグの絶霊油」を5つ集められたら、お持ちのアニマウェポンとともに渡してください！			人造精霊の声							
「[???]」および、「[???]」を、所持していないとクエストの進行を行えません。			「[???]」および、「[???]」を、所持していないとクエストの進行を行えません。			人造精霊の声							
「[???]」を所持していないと、クエストの進行を行えません。			「[???]」を所持していないと、クエストの進行を行えません。			人造精霊の声							
ゲロルトさんの道具を絶霊化するために必要な、「アラグの絶霊油」を5つ持ってきてください！			ゲロルトさんの道具を絶霊化するために必要な、「アラグの絶霊油」を5つ持ってきてください！			人造精霊の声							
お疲れ様でした……！こちらも、手に入る範囲のデータを調査し終えたところです。			お疲れ様でした……！こちらも、手に入る範囲のデータを調査し終えたところです。			人造精霊の声							
どれも参考になりましたが、特に魔科学に関しては、興味をそそられる記述が数多く発見できました。人造精霊の育成にも役立てることができそうです！			どれも参考になりましたが、特に魔科学に関しては、興味をそそられる記述が数多く発見できました。人造精霊の育成にも役立てることができそうです！			人造精霊の声							
まぁ、ゲロルトさんが、すぐお酒に手を出そうとするせいで、監視に手間取ってしまいましたがね……。ほんっとうに困った人だ！			まぁ、ゲロルトさんが、すぐお酒に手を出そうとするせいで、監視に手間取ってしまいましたがね……。ほんっとうに困った人だ！			人造精霊の声							
お疲れ様でした……！こちらも、しっかりゲロルトさんを監視しておきましたよ。放っておくと、バカみたいに飲みすぎそうですから……。			お疲れ様でした……！こちらも、しっかりゲロルトさんを監視しておきましたよ。放っておくと、バカみたいに飲みすぎそうですから……。			人造精霊の声							
うるせェ！青臭いガキにはわからんだろうが、酒がこの頭を冴え渡らせるンだよ！			うるせェ！青臭いガキにはわからんだろうが、酒がこの頭を冴え渡らせるンだよ！			人造精霊の声							
……頭を光らせるの間違いじゃないんですか？			……頭を光らせるの間違いじゃないんですか？			人造精霊の声							
