流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
それではForename。共にナナ……いや、「リリラ」様を探しにゆくぞ！案ずるな、すぐに吾輩が見つけてみせよう。			それではForename。共にナナ……いや、「リリラ」様を探しにゆくぞ！案ずるな、すぐに吾輩が見つけてみせよう。			剣なき英雄							
俺は少し、あたりを回ってこようと思う。ウルダハの現状について、この目で見ておきたいからな。			俺は少し、あたりを回ってこようと思う。ウルダハの現状について、この目で見ておきたいからな。			剣なき英雄							
ここだけの話……ラウバーン殿はお嬢様を見つけるのが下手なのです。お主が直接探した方が早いかもしれませぬな。			ここだけの話……ラウバーン殿はお嬢様を見つけるのが下手なのです。お主が直接探した方が早いかもしれませぬな。			剣なき英雄							
このようにリリラ様をお探しするのはいつぶりだったか……。パパシャン殿と、どちらが早く見つけられるか競ったこともあった。こう言っては悪いが、吾輩の方が探すのは得意でな。			このようにリリラ様をお探しするのはいつぶりだったか……。パパシャン殿と、どちらが早く見つけられるか競ったこともあった。こう言っては悪いが、吾輩の方が探すのは得意でな。			剣なき英雄							
商家の娘に扮したお姿ゆえ、慣れぬ者には難しかろう。Forenameとて、簡単には見つけられまい。では、吾輩の後に付いてきてくれ。			商家の娘に扮したお姿ゆえ、慣れぬ者には難しかろう。Forenameとて、簡単には見つけられまい。では、吾輩の後に付いてきてくれ。			剣なき英雄							
す、すまぬ……夢中で探していたら貴様を見失ってしまった。さあ、気を取り直して吾輩の後に付いてきてくれ！			す、すまぬ……夢中で探していたら貴様を見失ってしまった。さあ、気を取り直して吾輩の後に付いてきてくれ！			剣なき英雄							
…………そんな……馬鹿なッ。			…………そんな……馬鹿なッ。			剣なき英雄							
ナナモ様のご興味がありそうな場所は、ひと通り回ったはずッ……！物陰から隙間、壺の中にいたるまで、見落としはない。いったい、どこにいらっしゃるというのだッ！			ナナモ様のご興味がありそうな場所は、ひと通り回ったはずッ……！物陰から隙間、壺の中にいたるまで、見落としはない。いったい、どこにいらっしゃるというのだッ！			剣なき英雄							
野盗の類に拐われていたとしたら、一大事……！不滅隊を……不滅隊を招集せねばッ……！			野盗の類に拐われていたとしたら、一大事……！不滅隊を……不滅隊を招集せねばッ……！			剣なき英雄							
何と言う？			何と言う？			剣なき英雄							
落ち着いて			落ち着いて			剣なき英雄							
民に話を聞いているのでは？			民に話を聞いているのでは？			剣なき英雄							
…………すまない。つい取り乱してしまった……。			…………すまない。つい取り乱してしまった……。			剣なき英雄							
…………なるほど。ナナモ様のことだ、何かお考えあってのことかもしれぬな。			…………なるほど。ナナモ様のことだ、何かお考えあってのことかもしれぬな。			剣なき英雄							
見苦しいところを見せてしまった。落ち着いて、ナナモ様の行動を推測する必要があろう。			見苦しいところを見せてしまった。落ち着いて、ナナモ様の行動を推測する必要があろう。			剣なき英雄							
……ナナモ様が終末の獣の件を受け、民のために行動しているのだとすれば、生活状況から、「絶望」する可能性の高い民に話を聞かれるだろう。			……ナナモ様が終末の獣の件を受け、民のために行動しているのだとすれば、生活状況から、「絶望」する可能性の高い民に話を聞かれるだろう。			剣なき英雄							
そうか、この路地裏にある「パールレーン」であれば、比較的、生活に不満を持った民が多いだろう……。そちらを見てみるのが良いかもしれぬな。			そうか、この路地裏にある「パールレーン」であれば、比較的、生活に不満を持った民が多いだろう……。そちらを見てみるのが良いかもしれぬな。			剣なき英雄							
