再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			再会の市のアダルキム族の男は、腕の立つ武人を探しているようだ。			アダルキムの後継者							
ケナガウシのチーズ			ケナガウシのチーズ			一日店主							
マンモスの股肉			マンモスの股肉			一日店主							
磚茶			磚茶			一日店主							
うーん……なにか、違うのよね。やっぱり、向こうのお店でお肉を買うわ。また来るわ、ごめんなさい。			うーん……なにか、違うのよね。やっぱり、向こうのお店でお肉を買うわ。また来るわ、ごめんなさい。			一日店主							
そうね、まだ家畜のケナガウシもつぶせないし、たまにはマンモスの肉もいいかもしれないわね。じゃあ、これをいただくわ。			そうね、まだ家畜のケナガウシもつぶせないし、たまにはマンモスの肉もいいかもしれないわね。じゃあ、これをいただくわ。			一日店主							
商品の販売に失敗しました……。相手が求めていない商品を、薦めてしまったようです。			商品の販売に失敗しました……。相手が求めていない商品を、薦めてしまったようです。			一日店主							
商品の販売に成功しました！相手が求めている商品を、うまく薦められたようです。			商品の販売に成功しました！相手が求めている商品を、うまく薦められたようです。			一日店主							
おもちゃをくださいな！えへへ、お手伝いしたから、お駄賃もらっちゃった。ちょっとしかお金はないけど、何が買えるかな～。			おもちゃをくださいな！えへへ、お手伝いしたから、お駄賃もらっちゃった。ちょっとしかお金はないけど、何が買えるかな～。			一日店主							
どの商品をオススメする？			どの商品をオススメする？			一日店主							
手の込んだ木彫りの馬			手の込んだ木彫りの馬			一日店主							
木製のカラキク盤と駒セット			木製のカラキク盤と駒セット			一日店主							
安価な木彫りの笛			安価な木彫りの笛			一日店主							
色鮮やかな人形			色鮮やかな人形			一日店主							
わぁ！　それ、欲しい欲しい！くださいな！			わぁ！　それ、欲しい欲しい！くださいな！			一日店主							
あっ……お金が足りないや。ご、ごめんなさい……また来ます……。			あっ……お金が足りないや。ご、ごめんなさい……また来ます……。			一日店主							
へぇ～、木彫りの笛かぁ。吹いたことないけど、お父さんに教えてもらおっと。じゃあ、それください！			へぇ～、木彫りの笛かぁ。吹いたことないけど、お父さんに教えてもらおっと。じゃあ、それください！			一日店主							
