裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
…………はい、お母様。			…………はい、お母様。			皇都の母娘							
母は私を、女手ひとつで大事に育ててくれました。裏切ることはできません。……かといって、支配されるがままなのも嫌。			母は私を、女手ひとつで大事に育ててくれました。裏切ることはできません。……かといって、支配されるがままなのも嫌。			皇都の母娘							
実は、私もそれなりに縫い物ができるのですが、母の前では、できないふりをしているだけで……。			実は、私もそれなりに縫い物ができるのですが、母の前では、できないふりをしているだけで……。			皇都の母娘							
ですから、裁縫師さんから裁縫を習わなくても平気なんです。せっかく来ていただいたのに、申し訳ありません。			ですから、裁縫師さんから裁縫を習わなくても平気なんです。せっかく来ていただいたのに、申し訳ありません。			皇都の母娘							
ただ、私だって可愛い服は大好きです。私の腕では作れないものが見つかったら、その時は、教師ではなく職人さんとして、製作をよろしくお願いします！			ただ、私だって可愛い服は大好きです。私の腕では作れないものが見つかったら、その時は、教師ではなく職人さんとして、製作をよろしくお願いします！			皇都の母娘							
「裁縫師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、尊者の凱旋門のアヴェリルから受注可能です。			「裁縫師」の新たなクラスクエストが開始されました。次のクエストは「レベル53」以上で、尊者の凱旋門のアヴェリルから受注可能です。			皇都の母娘							
今後の「裁縫師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			今後の「裁縫師」のクラスクエスト受注条件は、コンプリート後のジャーナルで確認できます。			皇都の母娘							
また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			また、新たな依頼「収集品取引」が受けられます。イシュガルドの聖レネット広場にいる、「モルゲイン」を訪ねてみましょう。			皇都の母娘							
さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			さらに、熟練の職人だけが製作可能な、難度の高い製品の製法が記されたレシピ帳、「秘伝書」が入手できるようになります。			皇都の母娘							
レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			レヴナンツトールにいる、「ガイディング・スター」を訪ねてみましょう。			皇都の母娘							
裁縫師ギルドのレドレント・ローズは、素敵な知らせがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な知らせがあるようだ。			えおるぜあの「どれす」どす							
レドレント・ローズから、老舗呉服問屋「大天屋」の若旦那ケイメイから、クガネでのドレス製作の依頼があると聞かされた。クガネの楽座街にいる「ケイメイ」と話そう。			レドレント・ローズから、老舗呉服問屋「大天屋」の若旦那ケイメイから、クガネでのドレス製作の依頼があると聞かされた。クガネの楽座街にいる「ケイメイ」と話そう。			えおるぜあの「どれす」どす							
ケイメイと話した。ケイメイが贔屓にしている芸子の衣装製作を依頼された。衣装について打ち合わせるため、三条花街の「コトチョウ」と話そう。			ケイメイと話した。ケイメイが贔屓にしている芸子の衣装製作を依頼された。衣装について打ち合わせるため、三条花街の「コトチョウ」と話そう。			えおるぜあの「どれす」どす							
コトチョウと話し、衣装の要望を聞いた。楽座街の「ケイメイ」に報告しよう。			コトチョウと話し、衣装の要望を聞いた。楽座街の「ケイメイ」に報告しよう。			えおるぜあの「どれす」どす							
ケイメイに報告して、ドレス製作が始まった。楽座街の「ヤギリ」と話し、裁縫師ギルドから輸出された材料「バッスルドレスの材料」を受け取ろう。			ケイメイに報告して、ドレス製作が始まった。楽座街の「ヤギリ」と話し、裁縫師ギルドから輸出された材料「バッスルドレスの材料」を受け取ろう。			えおるぜあの「どれす」どす							
