園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			園芸師ギルドのフフチャは、冒険者に聞きたいことがあるようだ。			彼女はダメダメ園芸師							
高地ラノシアのオークウッドにて採集し、サンドレのところに持ち込んでください。今回の取りまとめは、彼の仕事です。			高地ラノシアのオークウッドにて採集し、サンドレのところに持ち込んでください。今回の取りまとめは、彼の仕事です。			海雲を渡る香り							
ああ、お前が担当になったのか。早く「カモミール」を持ってきてくれ。頼むぞ。			ああ、お前が担当になったのか。早く「カモミール」を持ってきてくれ。頼むぞ。			海雲を渡る香り							
「カモミール」を15束、確かに受け取った。ご苦労だったな、助かったよ。			「カモミール」を15束、確かに受け取った。ご苦労だったな、助かったよ。			海雲を渡る香り							
ん、いい香りだ。こいつを「カモミールティー」にしてやると、一層香りが引き立つんだ、お前も作ってみるといい。			ん、いい香りだ。こいつを「カモミールティー」にしてやると、一層香りが引き立つんだ、お前も作ってみるといい。			海雲を渡る香り							
さて……後は荷造りをして、グリダニア・ランディングに持っていくとするか。			さて……後は荷造りをして、グリダニア・ランディングに持っていくとするか。			海雲を渡る香り							
確か、宛先はウルダハだったな。……「カモミールティー」はあの都市の金持ち連中のあいだで評判がいいんだが、少し複雑だよ。			確か、宛先はウルダハだったな。……「カモミールティー」はあの都市の金持ち連中のあいだで評判がいいんだが、少し複雑だよ。			海雲を渡る香り							
金銭を最重要視する、あの都市の奴らに、「カモミールティー」を嗜むような気品があるとは思えん。香りよりも、金額を味わっているような印象がある。			金銭を最重要視する、あの都市の奴らに、「カモミールティー」を嗜むような気品があるとは思えん。香りよりも、金額を味わっているような印象がある。			海雲を渡る香り							
……いや、こういうのは偏見か。いかんな、こうした古いグリダニアの体質は、おいおいと直していかなければ。			……いや、こういうのは偏見か。いかんな、こうした古いグリダニアの体質は、おいおいと直していかなければ。			海雲を渡る香り							
園芸師ギルドのフフチャが、冒険者の身なりについて気にしているようだ。			園芸師ギルドのフフチャが、冒険者の身なりについて気にしているようだ。			園芸師の身だしなみ							
腕前に合った装備品を装備することにより、作業はより効率的になるらしい。装備品を整えるには、装備を新調する以外に「マテリア」を装着するという手段があるのだという。西ラノシアのエールポート付近に赴き、かつてマテリアの装着に必要であったという「コールマターG1」を15個入手し、園芸師ギルドの「サンドレ」に届けよう。			腕前に合った装備品を装備することにより、作業はより効率的になるらしい。装備品を整えるには、装備を新調する以外に「マテリア」を装着するという手段があるのだという。西ラノシアのエールポート付近に赴き、かつてマテリアの装着に必要であったという「コールマターG1」を15個入手し、園芸師ギルドの「サンドレ」に届けよう。			園芸師の身だしなみ							
