カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			カストルム・オリエンスの黒渦団の兵卒は、熟練の冒険者に協力を仰ぎたいようだ。			軋む歯車							
おぉ、Surname[GC Rank][GC Rank][GC Rank]、いいところに！緊急事態が発生したのだ、任務への協力を願えるか？			おぉ、Surname[GC Rank][GC Rank][GC Rank]、いいところに！緊急事態が発生したのだ、任務への協力を願えるか？			魔導兵器は暴走する							
長城にて鹵獲した帝国軍の無人兵器を調査していたところ、数機が突然暴走し、東の方角へ飛び去っていってしまったのだ。民間人への危害を防ぐためにも、迅速に処理する必要がある。			長城にて鹵獲した帝国軍の無人兵器を調査していたところ、数機が突然暴走し、東の方角へ飛び去っていってしまったのだ。民間人への危害を防ぐためにも、迅速に処理する必要がある。			魔導兵器は暴走する							
貴官は、魔導兵器との戦いに豊富な経験を持つそうだな。追撃作戦を指揮している「グ・ニブニパ少甲士」に協力し、無人兵器への対応を頼みたい！			貴官は、魔導兵器との戦いに豊富な経験を持つそうだな。追撃作戦を指揮している「グ・ニブニパ少甲士」に協力し、無人兵器への対応を頼みたい！			魔導兵器は暴走する							
作戦の詳細は、「グ・ニブニパ少甲士」から話を聞いてくれ。			作戦の詳細は、「グ・ニブニパ少甲士」から話を聞いてくれ。			魔導兵器は暴走する							
助力に感謝します！さっそくですが、暴走した無人兵器についての解説を……件の機体は、新型装甲材の試験機であったことが判明しています。			助力に感謝します！さっそくですが、暴走した無人兵器についての解説を……件の機体は、新型装甲材の試験機であったことが判明しています。			魔導兵器は暴走する							
そのため、通常兵器による攻撃は、効果が薄いでしょう。そこで、ガーロンド・アイアンワークス社の協力の下、無人制御機構を焼き切る、特殊エネルギー弾を用意しました。			そのため、通常兵器による攻撃は、効果が薄いでしょう。そこで、ガーロンド・アイアンワークス社の協力の下、無人制御機構を焼き切る、特殊エネルギー弾を用意しました。			魔導兵器は暴走する							
この対抗兵器を、鹵獲した魔導アーマーに搭載しましたので、Surname[GC Rank][GC Rank][GC Rank]には、その操縦をお任せしたいのです。			この対抗兵器を、鹵獲した魔導アーマーに搭載しましたので、Surname[GC Rank][GC Rank][GC Rank]には、その操縦をお任せしたいのです。			魔導兵器は暴走する							
過去、カストルム・メリディアヌムでの戦いにおいても、魔導アーマーを操縦した経験がおありだそうですね？その技術を、どうかお貸しください！			過去、カストルム・メリディアヌムでの戦いにおいても、魔導アーマーを操縦した経験がおありだそうですね？その技術を、どうかお貸しください！			魔導兵器は暴走する							
偵察兵の報告によると、目標は「イーストエンド混交林」東部と、「ベロジナ川」北西の沿岸にて、警戒態勢に入ったとのこと。危険な任務ですが……どうか、よろしくお願いします！			偵察兵の報告によると、目標は「イーストエンド混交林」東部と、「ベロジナ川」北西の沿岸にて、警戒態勢に入ったとのこと。危険な任務ですが……どうか、よろしくお願いします！			魔導兵器は暴走する							
攻撃目標は、「イーストエンド混交林」東部と、「ベロジナ川」北西の沿岸にて、警戒態勢に入っているとのこと。鹵獲した魔導アーマーに搭乗し、速やかにこれを破壊してください。			攻撃目標は、「イーストエンド混交林」東部と、「ベロジナ川」北西の沿岸にて、警戒態勢に入っているとのこと。鹵獲した魔導アーマーに搭乗し、速やかにこれを破壊してください。			魔導兵器は暴走する							
おお、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname！無事に無人兵器を破壊してくれたようだな！隊を代表して、感謝させてもらいたい！			おお、[GC Rank]Surname[GC Rank]Surname[GC Rank]Surname！無事に無人兵器を破壊してくれたようだな！隊を代表して、感謝させてもらいたい！			魔導兵器は暴走する							
魔導アーマーの操縦経験を持つ貴官が、たまたま、この場に居合わせてくれて助かった……。この辺りは、今後の課題となりそうだな。			魔導アーマーの操縦経験を持つ貴官が、たまたま、この場に居合わせてくれて助かった……。この辺りは、今後の課題となりそうだな。			魔導兵器は暴走する							
