エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
(-魔のバクージャジャ-)キミが「ウルミア」と呼んでた相手……グルージャジャ様の幻影がどこへ行ったのかは知ってるかい？			(-魔のバクージャジャ-)キミが「ウルミア」と呼んでた相手……グルージャジャ様の幻影がどこへ行ったのかは知ってるかい？			すべての起こりは「石」							
いや……悪いがわからねぇ。「ジュノ」に着いたときには、俺ひとりだったんだ。			いや……悪いがわからねぇ。「ジュノ」に着いたときには、俺ひとりだったんだ。			すべての起こりは「石」							
(-魔のバクージャジャ-)ジュノ……それがこの街の名かい？			(-魔のバクージャジャ-)ジュノ……それがこの街の名かい？			すべての起こりは「石」							
だけど、ここは俺が知ってるジュノじゃねぇな。あんな影みたいなの、見たこともねぇし。			だけど、ここは俺が知ってるジュノじゃねぇな。あんな影みたいなの、見たこともねぇし。			すべての起こりは「石」							
俺らと同じ人間の姿をしたやつも、少しはいるみてぇだな……。よし、一度あいつらに話を聞いてみようぜ。			俺らと同じ人間の姿をしたやつも、少しはいるみてぇだな……。よし、一度あいつらに話を聞いてみようぜ。			すべての起こりは「石」							
(-魔のバクージャジャ-)グルージャジャ様の幻影の行方もわかってないし、オイラたちはここで、空間の裂け目を見張っておくよォ。			(-魔のバクージャジャ-)グルージャジャ様の幻影の行方もわかってないし、オイラたちはここで、空間の裂け目を見張っておくよォ。			すべての起こりは「石」							
(-魔のバクージャジャ-)ふたりは、この街を調べて回ってくれるかい？ひととおり見終わったら、ここに戻ってきてねェ。			(-魔のバクージャジャ-)ふたりは、この街を調べて回ってくれるかい？ひととおり見終わったら、ここに戻ってきてねェ。			すべての起こりは「石」							
(-魔のバクージャジャ-)この街を調べるのは、キミとお嬢ちゃんに任せたよォ。			(-魔のバクージャジャ-)この街を調べるのは、キミとお嬢ちゃんに任せたよォ。			すべての起こりは「石」							
んじゃさっそく、人間の姿をしたやつらから話を聞きながら、ジュノを見て回ってみようぜ。			んじゃさっそく、人間の姿をしたやつらから話を聞きながら、ジュノを見て回ってみようぜ。			すべての起こりは「石」							
知り合いがいるかもしれねぇから、「天晶堂(てんしょうどう)」にも寄ってみっか。噴水の向かいにある建物に入って、一番奥の扉さ。			知り合いがいるかもしれねぇから、「天晶堂(てんしょうどう)」にも寄ってみっか。噴水の向かいにある建物に入って、一番奥の扉さ。			すべての起こりは「石」							
このクエストを進行させるには、プリッシュが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、プリッシュが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			すべての起こりは「石」							
同行者がまだ到着していない。近くまで迎えにいって、ともに目的地へ向かおう。			同行者がまだ到着していない。近くまで迎えにいって、ともに目的地へ向かおう。			すべての起こりは「石」							
何をする？			何をする？			すべての起こりは「石」							
話す			話す			すべての起こりは「石」							
同行状態を解除する			同行状態を解除する			すべての起こりは「石」							
「謎の窓口」について話す			「謎の窓口」について話す			すべての起こりは「石」							
「封鎖された扉」について話す			「封鎖された扉」について話す			すべての起こりは「石」							
キャンセル			キャンセル			すべての起こりは「石」							
ジュノに来たことは、俺も数えるほどしかねぇ。身を隠すはめになったり、ぶっ倒れちまったり、まぁまぁ面倒なこともあったりして……。			ジュノに来たことは、俺も数えるほどしかねぇ。身を隠すはめになったり、ぶっ倒れちまったり、まぁまぁ面倒なこともあったりして……。			すべての起こりは「石」							
ま、でもけっこー楽しかったんだぜ。いろんなやつらと出会えたりもしたしさ。			ま、でもけっこー楽しかったんだぜ。いろんなやつらと出会えたりもしたしさ。			すべての起こりは「石」							
