スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			スカイスチール機工房のステファニヴィアンは、冒険者に頼みたいことがあるようだ。			師を選ばば冒険者							
(-教皇庁の司祭-)我々は、安全な場所から見守らせていただきます。すべてを見届け、公正な判断を下すために……。それでは、健闘を期待しています。			(-教皇庁の司祭-)我々は、安全な場所から見守らせていただきます。すべてを見届け、公正な判断を下すために……。それでは、健闘を期待しています。			照準！ 俺たちの未来							
……司祭様、これより凄惨な殺戮劇が、眼前で繰り広げられたとしても、お気を確かに願いますよ。何よりも公正な審査が必要ですからね、オホホホホ……。			……司祭様、これより凄惨な殺戮劇が、眼前で繰り広げられたとしても、お気を確かに願いますよ。何よりも公正な審査が必要ですからね、オホホホホ……。			照準！ 俺たちの未来							
……この討伐戦の作戦を伝える。俺たちの、すべてを出し切ろう……以上！必ず「ヴェリシェレン」を倒して、全員で生還しよう！			……この討伐戦の作戦を伝える。俺たちの、すべてを出し切ろう……以上！必ず「ヴェリシェレン」を倒して、全員で生還しよう！			照準！ 俺たちの未来							
くっ、すまん……俺はここまでだ……。			くっ、すまん……俺はここまでだ……。			照準！ 俺たちの未来							
しくじった……後は任せた……。			しくじった……後は任せた……。			照準！ 俺たちの未来							
シャ……あれ、目がかすんで……もう動けない。			シャ……あれ、目がかすんで……もう動けない。			照準！ 俺たちの未来							
申し訳ない……あっしはここまでです……。			申し訳ない……あっしはここまでです……。			照準！ 俺たちの未来							
一瞬でも、「機工士」に期待した私が愚かでした……。			一瞬でも、「機工士」に期待した私が愚かでした……。			照準！ 俺たちの未来							
すべてを賭けて、この戦いに勝利するぞ！			すべてを賭けて、この戦いに勝利するぞ！			照準！ 俺たちの未来							
さて、どんな鳴き声が聞けるでしょうか……オホホホ……。			さて、どんな鳴き声が聞けるでしょうか……オホホホ……。			照準！ 俺たちの未来							
Forename！　セレストの方に新たな敵だ！急いで加勢してやってくれ！			Forename！　セレストの方に新たな敵だ！急いで加勢してやってくれ！			照準！ 俺たちの未来							
くっ……倒してもキリがねぇです……！こっちの手助けを頼みます！			くっ……倒してもキリがねぇです……！こっちの手助けを頼みます！			照準！ 俺たちの未来							
予想以上に、竜の眷属が集まってきますね、オホホホ……。			予想以上に、竜の眷属が集まってきますね、オホホホ……。			照準！ 俺たちの未来							
セレスト！　テダルグランシュを頼む！Forename！　俺たちはあいつの相手をするぞ！			セレスト！　テダルグランシュを頼む！Forename！　俺たちはあいつの相手をするぞ！			照準！ 俺たちの未来							
了解しやした……クソ野郎だろうが護りますよ！			了解しやした……クソ野郎だろうが護りますよ！			照準！ 俺たちの未来							
まさか、「機工士」に護られるとは想定外です……。			まさか、「機工士」に護られるとは想定外です……。			照準！ 俺たちの未来							
また増援か！　このままではテダルグランシュたちが危ない！Forenameは、セレストたちに加勢してくれ！			また増援か！　このままではテダルグランシュたちが危ない！Forenameは、セレストたちに加勢してくれ！			照準！ 俺たちの未来							
くそっ……数が多すぎて、抑えきれない……！			くそっ……数が多すぎて、抑えきれない……！			照準！ 俺たちの未来							
