シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
襲われた補給部隊の安全は確保できたとのこと。これも貴殿らが迅速に駆けつけてくれたおかげだ。感謝する！			襲われた補給部隊の安全は確保できたとのこと。これも貴殿らが迅速に駆けつけてくれたおかげだ。感謝する！			眠らずの勇士							
レオフィーヌは見つからなかったけど、目撃情報は本当だったな。ちゃんと礼を言っとかないと！			レオフィーヌは見つからなかったけど、目撃情報は本当だったな。ちゃんと礼を言っとかないと！			眠らずの勇士							
キャンプ・ドラゴンヘッドの補給部隊の件は、こちらにも報告がありました。なんでも、護衛任務中の神殿騎士が居眠りをしていたとか……。			キャンプ・ドラゴンヘッドの補給部隊の件は、こちらにも報告がありました。なんでも、護衛任務中の神殿騎士が居眠りをしていたとか……。			眠らずの勇士							
貴殿らのおかげで被害は最小限だったそうですが、決して許されることではありません。彼らには、然るべき処罰が与えられるでしょう。			貴殿らのおかげで被害は最小限だったそうですが、決して許されることではありません。彼らには、然るべき処罰が与えられるでしょう。			眠らずの勇士							
なあ、そいつらの居眠りは、イッカクの祭器のせいかもしれないんだ。だから、あんまり責めないでやってくれよ。			なあ、そいつらの居眠りは、イッカクの祭器のせいかもしれないんだ。だから、あんまり責めないでやってくれよ。			眠らずの勇士							
祭器というと、例の不思議な力をもつ宝のことでしたね。なんと、それなら納得が……			祭器というと、例の不思議な力をもつ宝のことでしたね。なんと、それなら納得が……			眠らずの勇士							
……いえ、敵の手練により、護衛対象を危険に晒したことは事実。処罰がくだるのは避けられないでしょう。			……いえ、敵の手練により、護衛対象を危険に晒したことは事実。処罰がくだるのは避けられないでしょう。			眠らずの勇士							
そっか……護り手っていうのは、それだけ責任が重い役目だもんな。			そっか……護り手っていうのは、それだけ責任が重い役目だもんな。			眠らずの勇士							
なあ、もしまたレオフィーヌの情報が入ったら教えてくれよ。今回はありがとう。			なあ、もしまたレオフィーヌの情報が入ったら教えてくれよ。今回はありがとう。			眠らずの勇士							
こちらこそ、本当に助かりました。引き続き警戒は続けてまいりますので、また何か情報があったらお報せしましょう。			こちらこそ、本当に助かりました。引き続き警戒は続けてまいりますので、また何か情報があったらお報せしましょう。			眠らずの勇士							
オマエには、イッカクの祭器のことを、もっと話しておいた方がよさそうだ。向こうでちょっと話そう。			オマエには、イッカクの祭器のことを、もっと話しておいた方がよさそうだ。向こうでちょっと話そう。			眠らずの勇士							
補給部隊を襲ったのは、さらなる作戦の準備段階とも考えられますね。引き続き警戒を強めてまいります！			補給部隊を襲ったのは、さらなる作戦の準備段階とも考えられますね。引き続き警戒を強めてまいります！			眠らずの勇士							
さて、イッカクの祭器を使えば、相手を強制的に眠りにつかせられるってのはわかったと思う。			さて、イッカクの祭器を使えば、相手を強制的に眠りにつかせられるってのはわかったと思う。			眠らずの勇士							
