キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			キャンプ・クラウドトップのカリボーは、畑の世話をしながら手隙の者を探している。			一石二鳥の鳥退治							
貴公がいなければ、いまごろは……。救援に、感謝を。			貴公がいなければ、いまごろは……。救援に、感謝を。			奪還部隊の奪還							
おお、Surname殿！戻られたか！			おお、Surname殿！戻られたか！			奪還部隊の奪還							
これは、奪われた物資……。なるほど、それで貴公が先に帰還したのだな。			これは、奪われた物資……。なるほど、それで貴公が先に帰還したのだな。			奪還部隊の奪還							
しかし、イシュガルド製の武器に目をつけられるとは……。金属加工技術が低いバヌバヌ族にしてみれば、危険を冒してでも欲しい物ということか。			しかし、イシュガルド製の武器に目をつけられるとは……。金属加工技術が低いバヌバヌ族にしてみれば、危険を冒してでも欲しい物ということか。			奪還部隊の奪還							
今後は、キャンプ内だからと油断せず、警戒を強めるとしよう。我らに与えられた任務は、ドラゴン族の監視……バヌバヌ族との小競り合いは避けたいからな。			今後は、キャンプ内だからと油断せず、警戒を強めるとしよう。我らに与えられた任務は、ドラゴン族の監視……バヌバヌ族との小競り合いは避けたいからな。			奪還部隊の奪還							
さて、改めて礼を言わせてくれ。我らの失態を挽回し、部下の命を救ってくれ、感謝する。フフッ、本当に貴公には、助けられてばかりだな。			さて、改めて礼を言わせてくれ。我らの失態を挽回し、部下の命を救ってくれ、感謝する。フフッ、本当に貴公には、助けられてばかりだな。			奪還部隊の奪還							
ローズハウスのギルドンは、なにやら怒っている。			ローズハウスのギルドンは、なにやら怒っている。			雲海の騎兵と怒りの矛先							
ギルドンから、悪事を働くワイリー・パイッサの討伐を頼まれた。アバラシア雲海のラストステップにいる「ワイリー・パイッサ」を3体討伐しよう。			ギルドンから、悪事を働くワイリー・パイッサの討伐を頼まれた。アバラシア雲海のラストステップにいる「ワイリー・パイッサ」を3体討伐しよう。			雲海の騎兵と怒りの矛先							
ワイリー・パイッサを討伐した。ローズハウスの「ギルドン」に報告しよう。			ワイリー・パイッサを討伐した。ローズハウスの「ギルドン」に報告しよう。			雲海の騎兵と怒りの矛先							
ギルドンに報告した。ワイリー・パイッサが悪事を働くのは、木に巣を作るためだったようだ。			ギルドンに報告した。ワイリー・パイッサが悪事を働くのは、木に巣を作るためだったようだ。			雲海の騎兵と怒りの矛先							
ワイリー・パイッサを討伐			ワイリー・パイッサを討伐			雲海の騎兵と怒りの矛先							
ギルドンに報告			ギルドンに報告			雲海の騎兵と怒りの矛先							
……歩哨任務がなければ自分が駆除してやるものを！むむっ、ちょうど良いところに！あなたに、お願いしたいことがあ～る！			……歩哨任務がなければ自分が駆除してやるものを！むむっ、ちょうど良いところに！あなたに、お願いしたいことがあ～る！			雲海の騎兵と怒りの矛先							
最近、この辺りに住む「ワイリー・パイッサ」が、悪事を働くようになったのである！オバちゃんの弁当をダメにしおって、断じて許せ～ん！			最近、この辺りに住む「ワイリー・パイッサ」が、悪事を働くようになったのである！オバちゃんの弁当をダメにしおって、断じて許せ～ん！			雲海の騎兵と怒りの矛先							
「ワイリー・パイッサ」に、人を舐めると大変だと思い知らせていただきたい！ひとまず、3匹ほど討伐していただければ十分であ～る！			「ワイリー・パイッサ」に、人を舐めると大変だと思い知らせていただきたい！ひとまず、3匹ほど討伐していただければ十分であ～る！			雲海の騎兵と怒りの矛先							
「ワイリー・パイッサ」に、人を舐めると大変だと思い知らせていただきたい！ひとまず、3匹ほど討伐していただければ十分であ～る！			「ワイリー・パイッサ」に、人を舐めると大変だと思い知らせていただきたい！ひとまず、3匹ほど討伐していただければ十分であ～る！			雲海の騎兵と怒りの矛先							
ワイリー・パイッサを駆除していただけたか！感謝するのであ～る！			ワイリー・パイッサを駆除していただけたか！感謝するのであ～る！			雲海の騎兵と怒りの矛先							
……もしかしたらあいつらは、ここに巣を作ろうとしていたのかもしれぬ。アバラシア雲海で大きな木は貴重だからな。			……もしかしたらあいつらは、ここに巣を作ろうとしていたのかもしれぬ。アバラシア雲海で大きな木は貴重だからな。			雲海の騎兵と怒りの矛先							
だからといって、この地を譲るわけにはいかん！人の食事中に襲いかかってくるような魔物と、仲良くするのは無理なのであ～る！			だからといって、この地を譲るわけにはいかん！人の食事中に襲いかかってくるような魔物と、仲良くするのは無理なのであ～る！			雲海の騎兵と怒りの矛先							
