双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			双剣士ギルドのジャックは、「黒の棺」の奪還に乗り出すようだ。			手を伸ばす先の勝利							
もとはといえば、あなたたちが、あたしたちの邪魔をしてくるのが悪いんでしょぉ？今さら「掟」なんて守って、何になるんだか……。			もとはといえば、あなたたちが、あたしたちの邪魔をしてくるのが悪いんでしょぉ？今さら「掟」なんて守って、何になるんだか……。			闇黒の死							
それよりも、あたしたち急進派の野望の方が、ずぅっと素敵。メルウィブと協定を結んで腑抜けになった「断罪党」を、アイシービル船長が、新たな首領となって立て直すの！			それよりも、あたしたち急進派の野望の方が、ずぅっと素敵。メルウィブと協定を結んで腑抜けになった「断罪党」を、アイシービル船長が、新たな首領となって立て直すの！			闇黒の死							
新首領アイシービルの元で、あたしたちは楔から解放される……！自由な海を取り戻し、再び海賊の時代を築くのよ！			新首領アイシービルの元で、あたしたちは楔から解放される……！自由な海を取り戻し、再び海賊の時代を築くのよ！			闇黒の死							
……その野望のためなら、なんだってするわ！死んで腐った「掟」なんて、粉々に打ち砕けばいい！古臭い双剣士ともども「断罪」してあげるッ！			……その野望のためなら、なんだってするわ！死んで腐った「掟」なんて、粉々に打ち砕けばいい！古臭い双剣士ともども「断罪」してあげるッ！			闇黒の死							
(-？？？？-)させるかよ！ここで終いなのは、お前の方だ……！			(-？？？？-)させるかよ！ここで終いなのは、お前の方だ……！			闇黒の死							
あら、いつのまに……。双剣士、まだいたのねぇ。			あら、いつのまに……。双剣士、まだいたのねぇ。			闇黒の死							
お前らの野望とやらは聞かせてもらった。自由な海とか、海賊の時代とか……聞こえはいいが、どうも勘違いしちゃいねぇか？			お前らの野望とやらは聞かせてもらった。自由な海とか、海賊の時代とか……聞こえはいいが、どうも勘違いしちゃいねぇか？			闇黒の死							
お前らが死んだと言った「掟」こそ、海賊たちの魂だ。連中が血みどろの戦いを重ねてやっと掴んだ、この地で仲間と生きる誇りなんだよ……！			お前らが死んだと言った「掟」こそ、海賊たちの魂だ。連中が血みどろの戦いを重ねてやっと掴んだ、この地で仲間と生きる誇りなんだよ……！			闇黒の死							
……それを踏みにじる奴に、海賊を名乗る資格はねぇッ！			……それを踏みにじる奴に、海賊を名乗る資格はねぇッ！			闇黒の死							
はぁ……お説教は嫌いよぉ……。……でも、2対1じゃ、大した時間稼ぎもできなさそうね。			はぁ……お説教は嫌いよぉ……。……でも、2対1じゃ、大した時間稼ぎもできなさそうね。			闇黒の死							
殺せないのは心残りだけど……まあ、いいわぁ。双剣士をふたり、こんな辺境へ連れ出したんだもの。時間稼ぎのお役目としては、十分だと思わない？			殺せないのは心残りだけど……まあ、いいわぁ。双剣士をふたり、こんな辺境へ連れ出したんだもの。時間稼ぎのお役目としては、十分だと思わない？			闇黒の死							
どういうことだ……！			どういうことだ……！			闇黒の死							
ウフフ……ハハ……フハハハハハッ！あんたたちは、あたしたちが持ってる「黒の棺」を、奪還したいんでしょう……？			ウフフ……ハハ……フハハハハハッ！あんたたちは、あたしたちが持ってる「黒の棺」を、奪還したいんでしょう……？			闇黒の死							
あれは今、我らがアイシービル船長の手元にあるわぁ。彼は「黒の棺」を使って、自分こそが「断罪党」の次期首領にふさわしいと証明するの！			あれは今、我らがアイシービル船長の手元にあるわぁ。彼は「黒の棺」を使って、自分こそが「断罪党」の次期首領にふさわしいと証明するの！			闇黒の死							
そう……「断罪党」を腑抜けにした、憎い女……メルウィブを処刑することによってねぇッ！			そう……「断罪党」を腑抜けにした、憎い女……メルウィブを処刑することによってねぇッ！			闇黒の死							
……お前ら、まさか提督を狙って……ッ！？リムサ・ロミンサの提督室を、爆破するつもりかッ！			……お前ら、まさか提督を狙って……ッ！？リムサ・ロミンサの提督室を、爆破するつもりかッ！			闇黒の死							
わかったなら、せいぜい慌ててみればぁ？ここであたしと遊んでたいなら、喜んで相手するけどねぇ！ウフフ……フハハハハッ！			わかったなら、せいぜい慌ててみればぁ？ここであたしと遊んでたいなら、喜んで相手するけどねぇ！ウフフ……フハハハハッ！			闇黒の死							
