槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			槍術士ギルドのイウェインは、旧友を助けてもらいたいようだ。			竜の眼							
そして、その時こそ「竜の眼」を取り戻す時だ。だが、今は焦らず、力を御すことに専念してほしい。その力が身に馴染んだ頃、再び私のもとを訪れてくれ。			そして、その時こそ「竜の眼」を取り戻す時だ。だが、今は焦らず、力を御すことに専念してほしい。その力が身に馴染んだ頃、再び私のもとを訪れてくれ。			消えぬ爪痕							
敵の気配を感じた！！			敵の気配を感じた！！			消えぬ爪痕							
アルベリクは、冒険者を探していたようだ。			アルベリクは、冒険者を探していたようだ。			双竜の邂逅							
アルベリクから依頼を受けた。クルザス中央高地の巨石の丘にある「指定地点」で「エスティニアン」の到着を待とう。			アルベリクから依頼を受けた。クルザス中央高地の巨石の丘にある「指定地点」で「エスティニアン」の到着を待とう。			双竜の邂逅							
エスティニアンから、邪竜ニーズヘッグ討伐の協力を依頼された。そのためには、4つの「竜騎士の甲冑」を入手しなければならない。入手方法について、クルザス中央高地のアドネール占星台にいる「アルベリク」と話そう。			エスティニアンから、邪竜ニーズヘッグ討伐の協力を依頼された。そのためには、4つの「竜騎士の甲冑」を入手しなければならない。入手方法について、クルザス中央高地のアドネール占星台にいる「アルベリク」と話そう。			双竜の邂逅							
アルベリクと話した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」と話そう。			アルベリクと話した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」と話そう。			双竜の邂逅							
ブルスモンの試練を達成した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」から「竜騎士の甲冑」を受け取ろう。			ブルスモンの試練を達成した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」から「竜騎士の甲冑」を受け取ろう。			双竜の邂逅							
ブルスモンから、「竜騎士の甲冑」を受け取った。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ウスティエヌ」と話そう。			ブルスモンから、「竜騎士の甲冑」を受け取った。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ウスティエヌ」と話そう。			双竜の邂逅							
ウスティエヌの試練を達成した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ウスティエヌ」から「竜騎士の甲冑」を受け取ろう。			ウスティエヌの試練を達成した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ウスティエヌ」から「竜騎士の甲冑」を受け取ろう。			双竜の邂逅							
ウスティエヌから、「竜騎士の甲冑」を受け取った。もう一度、クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」と話そう。			ウスティエヌから、「竜騎士の甲冑」を受け取った。もう一度、クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」と話そう。			双竜の邂逅							
ブルスモンの試練を達成した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」から「竜騎士の甲冑」を受け取ろう。			ブルスモンの試練を達成した。クルザス中央高地の悪鬼の胃袋にいる神殿騎士「ブルスモン」から「竜騎士の甲冑」を受け取ろう。			双竜の邂逅							
ブルスモンから、「竜騎士の甲冑」を受け取った。クルザス中央高地のアドネール占星台にいる「アルベリク」と話そう。			ブルスモンから、「竜騎士の甲冑」を受け取った。クルザス中央高地のアドネール占星台にいる「アルベリク」と話そう。			双竜の邂逅							
アルベリクと話した。スチールヴィジル北西にある積み石に囲まれた広場で、「竜の魔笛」を吹き、呼び寄せられた魔物を討伐しよう。			アルベリクと話した。スチールヴィジル北西にある積み石に囲まれた広場で、「竜の魔笛」を吹き、呼び寄せられた魔物を討伐しよう。			双竜の邂逅							
魔物を討伐した。クルザス中央高地のアドネール占星台にいる「アルベリク」に「竜の魔笛」と「ドラゴン眷属の頭骨」を渡し、「竜騎士の甲冑」を受け取ろう。			魔物を討伐した。クルザス中央高地のアドネール占星台にいる「アルベリク」に「竜の魔笛」と「ドラゴン眷属の頭骨」を渡し、「竜騎士の甲冑」を受け取ろう。			双竜の邂逅							
アルベリクに竜の魔笛、ドラゴン眷属の頭骨を渡した。4つの「竜騎士の甲冑」を手に入れ、竜騎士の奥義を修得できる状態となった。しかし、アルベリクは、冒険者の覚悟を心配しているようだ。エスティニアンとともに、ニーズヘッグと戦う覚悟があるならば、アルベリクに申し出よう。			アルベリクに竜の魔笛、ドラゴン眷属の頭骨を渡した。4つの「竜騎士の甲冑」を手に入れ、竜騎士の奥義を修得できる状態となった。しかし、アルベリクは、冒険者の覚悟を心配しているようだ。エスティニアンとともに、ニーズヘッグと戦う覚悟があるならば、アルベリクに申し出よう。			双竜の邂逅							
